0	Index      	 *	Score 	Summary	Detail	
1	32261 13251	 * 	229.07	DCR|3DMG|2VULN|1AART|2CDMG|1DUR	13aDMG|2aCGEN|4AART|56VULN|7DUR|8RCR|9aCDMG|aBPWR
2	44132 43331	 * 	228.89	DCR|4VULN|3CDMG|1AART|3DUR	158CDMG|2AELBLL|38aDUR|4568VULN|58BPWR|7RCR|9AART
3	34213 13533	 * 	227.61	DCR|4VULN|2DMG|2ASPD	1aDMG|2BELT|358aVULN|46RCVC|7RCR|9aASPD|aBPWR
4	34213 43533	   	227.61	DCR|4VULN|2DMG|2ASPD	1aDMG|2BELT|358aVULN|4RCVC|6DMSP|7RCR|9aASPD|aBPWR
5	34213 13133	 * 	227.42	DCR|3VULN|3DMG|2ASPD	18aDMG|2BELT|35aVULN|46RCVC|7RCR|9aASPD|aBPWR
6	34213 43133	   	227.42	DCR|3VULN|3DMG|2ASPD	18aDMG|2BELT|35aVULN|4RCVC|6DMSP|7RCR|9aASPD|aBPWR
7	43326 22233	 * 	225.85	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	1CDMG|2aDMG|3AART|47VULN|5DUR|6LWND|8RCR|9ASPD
8	41132 43331	 * 	223.94	DCR|4VULN|1MDPS|3CDMG|3DUR	189CDMG|2RCVC|358DUR|4568VULN|58BPWR|7RCR|aMDPS
9	44132 43332	   	223.84	DCR|4VULN|3CDMG|1AART|2DUR	158CDMG|2AELBLL|38DUR|4568VULN|58BPWR|7RCR|9AART|aRPLT
10	44132 43333	   	223.74	DCR|4VULN|3CDMG|1AART|2DUR	158CDMG|2AELBLL|38DUR|4568VULN|58BPWR|7RCR|9AART|aERES
11	43326 22263	 * 	223.61	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2aDMG|3AART|479VULN|5DUR|6LWND|8RCR
12	41133 43421	   	222.19	DCR|2VULN|2DMG|1AART|2CDMG|1AAC|1DUR	19CDMG|2RCVC|3DUR|49VULN|59DMG|6AART|7RCR|8BELT|9BPWR|aAAC
13	32261 11251	   	220.76	DCR|3DMG|2VULN|1AART|2CDMG	13aDMG|2aCGEN|4AART|56VULN|7LWND|8RCR|9aCDMG|aBPWR
14	32213 53251	   	220.76	DCR|3DMG|2VULN|1AART|2CDMG	13aDMG|2CGEN|4aVULN|5AELBLL|6LWND|7AART|8RCR|9aCDMG|aBPWR
15	32153 53251	   	220.66	DCR|3DMG|2VULN|1AART|2CDMG	14aDMG|26CGEN|3LEGI|5aVULN|7AART|8RCR|9aCDMG|aBPWR
16	32153 63251	   	220.66	DCR|3DMG|2VULN|1AART|2CDMG	14aDMG|2CGEN|3LEGI|5aVULN|6RCVC|7AART|8RCR|9aCDMG|aBPWR
17	31622 16613	 * 	220.39	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1ZMB	12DMG|2BPWR|3DMSP|4SPLARM|5AELBLL|6ASPD|7AART|8RCR|9ZMB|aVULN
18	33622 16613	   	220.39	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1ZMB	12DMG|3DMSP|4SPLARM|5AELBLL|6ASPD|7AART|8RCR|9ZMB|aVULN
19	43322 13261	 * 	220.26	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1CDMG|2DMG|3AART|4VULN|5TLV|6ASPD|7RCR|8MDPS|9BELT|aNUKE
20	44132 43321	 * 	220.12	DCR|4VULN|3CDMG|1ASPD|2DUR	158CDMG|2AELBLL|38DUR|4568VULN|58BPWR|7RCR|9RCVC|aASPD
21	43212 13252	 * 	219.84	DCR|3DMG|2ASPD|3CDMG|1VULN	159CDMG|269DMG|3LHND|45ERES|59BPWR|7RCR|89ASPD|aVULN
22	41132 43342	 * 	219.47	DCR|5VULN|3CDMG|3DUR	189CDMG|2RCVC|358DUR|45689VULN|589BPWR|7RCR|aLWND
23	41132 43341	   	219.37	DCR|5VULN|3CDMG|3DUR|1SELL	189CDMG|2RCVC|358DUR|45689VULN|589BPWR|7RCR|aSELL
24	41132 43343	   	219.37	DCR|5VULN|3CDMG|3DUR	189CDMG|2RCVC|358DUR|45689VULN|589BPWR|7RCR|aTLV
25	44332 43331	   	218.40	DCR|4VULN|3CDMG|1AART|1DUR	158CDMG|2AELBLL|38DUST|4568VULN|58BPWR|7RCR|9AART|aDUR
26	41132 43312	 * 	218.12	DCR|4VULN|2CDMG|1DMG|3DUR	18CDMG|2RCVC|358DUR|4568VULN|58BPWR|7RCR|9MLV|aDMG
27	34262 23143	   	218.10	DCR|3VULN|2DMG|2ASPD|1ZMB	1aDMG|26BELT|38aVULN|4ZMB|5LIT|7aASPD|9RCR|aBPWR
28	41132 43352	   	218.02	DCR|4VULN|2CDMG|1DMG|3DUR	18CDMG|2RCVC|358DUR|4568VULN|58BPWR|7RCR|9ERES|aDMG
29	32261 25263	   	217.80	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	13DMG|2CGEN|4AART|5VULN|6DUR|7RCR|8ZMB|9ASPD|aCDMG
30	32263 15263	   	217.80	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	13DMG|2CGEN|4AART|5DUR|6VULN|7RCR|8ZMB|9ASPD|aCDMG
31	43321 22233	   	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|2aDMG|3AART|47VULN|5BEXP|6LWND|8RCR|9ASPD
