0	Index      	 *	Score 	Summary	Detail	
1	51632 16233	 * 	213.57	DCR|4VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3RPLT|457aVULN|6CDMG|8RCR|9ASPD
2	41135 12822	 * 	210.21	DCR|4VULN|1ASPD|1DMG|3DUR	138DUR|238aVULN|38BPWR|4ASPD|5DMG|6MBVNT|78TLV|9RCR
3	15443 45333	   	209.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4DUR|589VULN|6RCR|7AART|aASPD
4	41135 18144	 * 	208.81	DCR|3VULN|1ASPD|1DMG|3DUR|1CDMG	138DUR|238VULN|38BPWR|4ASPD|5DMG|6MBVNT|78LHND|9CDMG|aRCR
5	41135 12823	 * 	208.58	DCR|3VULN|2ASPD|1DMG|3DUR	138DUR|238VULN|38BPWR|4aASPD|5DMG|6MBVNT|78TLV|9RCR
6	15443 45133	 * 	208.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4DUR|59VULN|6RCR|78AART|aASPD
7	41142 13334	 * 	206.96	DCR|3VULN|2ASPD|3DUR|1CDMG	139DUR|239VULN|39BPWR|4BELT|5DUST|6LIT|79ASPD|8RCR|aCDMG
8	41135 23421	 * 	206.61	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|79CDMG|8RCR|aMDPS
9	41135 33421	   	206.61	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|79CDMG|8RCR|aMDPS
10	41234 12612	 * 	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|249VULN|3AME|5ERES|6CDMG|7DMG|8RCR|aAART
11	32417 71444	 * 	205.78	DCR|2AART|1VULN|1DMG|1NUKE|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|4VULN|59AART|6DMG|7ZMB|8RCR|aNUKE
12	32445 71444	   	205.78	DCR|2AART|1VULN|1DMG|1NUKE|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|49AART|5VULN|6DMG|7ZMB|8RCR|aNUKE
