0	Index      	 *	Score 	Summary	Detail	
1	26622 31213	 * 	203.56	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LIT|9DUR|aRCR
2	25221 61411	 * 	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|589VULN|6RCR|7CDMG|aASPD
3	26331 61411	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3DMSP|4LHND|589VULN|6RCR|7CDMG|aASPD
4	24121 61411	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|589VULN|6RCR|7CDMG|aASPD
5	26121 61411	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3MLV|4ERES|589VULN|6RCR|7CDMG|aASPD
6	26622 31233	   	195.26	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LIT|9FEWX|aRCR
7	26622 31253	   	195.26	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LIT|9LWND|aRCR
8	26622 31161	   	195.16	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8DUST|9RMIN|aRCR
9	26622 31243	   	195.16	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LIT|9DUST|aRCR
10	26622 31431	   	195.16	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LHND|9ERES|aRCR
11	26622 31531	   	195.16	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8BEXP|9ERES|aRCR
12	26622 31631	   	195.16	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8TLV|9LHND|aRCR
13	26622 31141	   	195.06	DCR|3VULN|2DMG|1AART	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8DUST|9ERES|aRCR
14	26351 62322	 * 	194.91	DCR|4VULN|1AART|2DUR	1RPLT|2AART|3DMSP|48DUR|589aVULN|6RCR|7BELT|8BPWR
15	16621 41211	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|3AART|48aVULN|5LWND|6RCR|7ERES|9DMG
16	16621 41221	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2DUR|3AART|48aVULN|5LWND|6RCR|7ERES|9ASPD
17	16623 41211	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|3AART|48aVULN|5FEWX|6RCR|7ERES|9DMG
18	16623 41221	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2DUR|3AART|48aVULN|5FEWX|6RCR|7ERES|9ASPD
19	16624 21132	 * 	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	178DUST|2DUR|3AART|47VULN|57CDMG|6RCVC|7BPWR|9RCR|aDMG
20	16622 41211	   	193.48	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|3AART|48aVULN|5LEGI|6RCR|7ERES|9DMG
21	16622 41221	   	193.48	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2DUR|3AART|48aVULN|5LEGI|6RCR|7ERES|9ASPD
22	26351 61211	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|3DMSP|4DUR|5aVULN|6RCR|7CDMG|8DUST|9DMG
23	26351 61221	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|2AART|3DMSP|4DUR|5aVULN|6RCR|7CDMG|8DUST|9ASPD
24	26351 61311	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|3DMSP|4DUR|5aVULN|6RCR|7CDMG|8LEGI|9DMG
25	26351 61321	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|2AART|3DMSP|4DUR|5aVULN|6RCR|7CDMG|8LEGI|9ASPD
26	24161 61311	 * 	191.32	DCR|2VULN|1AART|2CDMG|1ASPD	1RPLT|2AME|3AART|4MLV|59VULN|6RCR|78CDMG|aASPD
27	26121 61311	   	191.22	DCR|2VULN|1AART|2CDMG|1ASPD	1RPLT|2AART|3MLV|4ERES|59VULN|6RCR|78CDMG|aASPD
28	25221 61412	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1RPLT|23FEWX|4AART|589VULN|6RCR|7CDMG|aDUR
29	36116 23223	 * 	189.75	DCR|2VULN|2AART|1DMG|1ZMB	1LEGI|29VULN|3TLV|47AART|5ZMB|6DLOT|8RCR|aDMG
30	26351 62122	   	189.56	DCR|4VULN|1AART|1DUR	1RPLT|2AART|3DMSP|4DUR|589aVULN|6RCR|7BELT
31	16612 22351	 * 	188.92	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1DUST|24DUR|3AART|5ERES|6VULN|7ASPD|8CDMG|9DMG|aRCR
32	25221 61413	 * 	188.43	DCR|3VULN|1AART|1CDMG|1AAC	1RPLT|23FEWX|4AART|589VULN|6RCR|7CDMG|aAAC
