0	Index      	 *	Score 	Summary	Detail	
1	12228 44824	 * 	222.13	DCR|3DMG|3ASPD|3ZMB|1VULN	179ZMB|2VULN|3LEGI|4MBVNT|579DMG|679ASPD|79BPWR|8RMIN|aRCR
2	12228 44375	 * 	221.11	DCR|3VULN|2DMG|2ASPD|2ZMB	17ZMB|28aVULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR
3	22211 44225	 * 	220.93	DCR|3VULN|3DMG|1CDMG|2ZMB	16aDMG|29aVULN|3LEGI|4CDMG|56LHND|6aBPWR|7aZMB|8RCR
4	22214 34225	 * 	220.93	DCR|4VULN|2DMG|1CDMG|2ZMB	1aDMG|259aVULN|3LEGI|4CDMG|6DUST|7aZMB|8RCR|aBPWR
5	22213 44225	   	220.73	DCR|3VULN|3DMG|1CDMG|2ZMB	16aDMG|29aVULN|3LEGI|4CDMG|56DUST|6aBPWR|7aZMB|8RCR
6	12228 44376	 * 	219.53	DCR|2VULN|2DMG|2ASPD|1CDMG|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aCDMG
7	16126 24211	 * 	219.24	DCR|2AART|3ZMB|1VULN|1DMG|1CDMG|2DUR	159ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|8VULN|aCDMG
8	12428 44434	 * 	218.45	DCR|3VULN|3ASPD|1DMG|2ZMB	17ZMB|27aVULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR
9	12228 44434	 * 	218.21	DCR|3ASPD|2VULN|2DMG|2ZMB	17ZMB|2aVULN|3LEGI|4MBVNT|57DMG|679ASPD|7BPWR|8RCR
10	16112 24336	 * 	217.00	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|89VULN|aASPD
11	63228 43372	   	215.77	DCR|3VULN|2DMG|2ASPD|1DUR	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aDUR
12	63228 44472	   	215.77	DCR|3VULN|2DMG|2ASPD|1DUR	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aDUR
13	22122 44225	 * 	212.81	DCR|3VULN|2DMG|2CDMG|2ZMB	1aDMG|269VULN|3aCDMG|4LHND|56BEXP|6aBPWR|7aZMB|8RCR
14	22123 44225	   	212.61	DCR|3VULN|2DMG|2CDMG|2ZMB	1aDMG|269VULN|3aCDMG|4LHND|56DUST|6aBPWR|7aZMB|8RCR
15	22124 34225	   	212.61	DCR|3VULN|2DMG|2CDMG|2ZMB	1aDMG|259VULN|3aCDMG|4LHND|6DUST|7aZMB|8RCR|aBPWR
16	12428 44372	   	211.83	DCR|3VULN|2ASPD|1DMG|2ZMB|1DUR	17ZMB|278VULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|9RCR|aDUR
17	12228 44372	   	211.59	DCR|2VULN|2DMG|2ASPD|2ZMB|1DUR	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aDUR
18	16126 24231	   	210.91	DCR|2VULN|2AART|1DMG|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|89VULN|aLWND
19	16126 24232	   	210.91	DCR|2VULN|2AART|1DMG|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|89VULN|aFEWX
20	16126 24233	   	210.91	DCR|2VULN|2AART|1DMG|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|89VULN|aCGEN
21	23523 42333	 * 	210.63	DCR|3DMG|2VULN|1AART|2DUR	17aDMG|2RPLT|3AME|4aVULN|5AART|6aDUR|8RCR|9RMIN|aBPWR
22	16126 24132	   	210.60	DCR|2AART|1VULN|1ASPD|1DMG|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|8LWND|9VULN|aASPD
23	16126 24222	   	210.50	DCR|2AART|1VULN|1ASPD|1DMG|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|8VULN|9MBVNT|aASPD
24	12315 53133	 * 	209.37	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	17ZMB|278VULN|3TLV|4AART|5CDMG|67CGEN|7BPWR|9RCR|aDMG
25	22113 21356	 * 	208.58	DCR|3VULN|2ASPD|1DMG|1CDMG	1DMG|268VULN|3CDMG|4CANARM|5RCVC|7aASPD|9RCR
26	22113 61356	   	208.34	DCR|2VULN|2DMG|2ASPD|1CDMG	16DMG|28VULN|3CDMG|46CANARM|5RCVC|6BPWR|7aASPD|9RCR
27	16126 24224	 * 	208.02	DCR|2AART|2DMG|1VULN|2DUR|2ZMB	15ZMB|23AART|45DUR|5BPWR|6RCR|7aDMG|8VULN|9MBVNT
28	22212 44225	   	207.64	DCR|3VULN|2DMG|1CDMG|2ZMB	1aDMG|29aVULN|3LEGI|4CDMG|5RCVC|6FEWX|7aZMB|8RCR|aBPWR
29	25124 21126	   	207.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2ERES|3RMIN|4AAC|5DMSP|68aVULN|78ASPD|8BPWR|9RCR
30	22212 34225	   	207.54	DCR|3VULN|2DMG|1CDMG|2ZMB	1aDMG|29aVULN|3LEGI|4CDMG|5RCVC|6DUST|7aZMB|8RCR|aBPWR
31	25126 21126	   	207.46	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|25ERES|3RMIN|4AAC|68aVULN|78ASPD|8BPWR|9RCR
32	63228 43371	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aAME
33	63228 43373	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aBEXP
34	63228 43374	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aRMIN
35	63228 44471	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aAME
36	63228 44473	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aBEXP
37	63228 44474	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aRMIN
