0	Index      	 *	Score 	Summary	Detail	
1	63236 25112	 * 	299.06	DCR|DCR|2LIT|1TLV|1VULN|1SELL	1SELL|259ERES|35LIT|4RPLT|5BPWR|68RCR|7TLV|aVULN
2	42123 21124	 * 	298.34	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1TBNT|2RPLT|38VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|9AART|aMLV
3	42123 61124	   	298.34	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1TBNT|2RPLT|38VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|9AART|aMLV
4	63236 25131	 * 	296.79	DCR|DCR|2LIT|1TLV|1DMG|1SELL	1SELL|25ERES|35LIT|4RPLT|5BPWR|68RCR|7TLV|9DUR|aDMG
5	63236 25133	 * 	290.38	DCR|DCR|2LIT|1TLV|1ASPD|1SELL	1SELL|25ERES|35LIT|4RPLT|5BPWR|68RCR|7TLV|9DUR|aASPD
6	42123 11157	   	289.73	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1TBNT|2RPLT|38VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|9MBVNT|aMLV
7	42123 21112	 * 	288.29	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|aAART
8	42123 21121	   	288.29	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|38aVULN|4LIT|58TLV|68LWND|7RCR|8BPWR|9AART
9	42123 61112	   	288.29	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|aAART
10	42123 61121	   	288.29	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|38aVULN|4LIT|58TLV|68LHND|7RCR|8BPWR|9AART
11	42123 11112	   	288.09	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aAART
12	42123 21142	 * 	286.46	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LWND|7RCR|8BPWR|aAART
13	42123 61142	   	286.46	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LHND|7RCR|8BPWR|aAART
14	42123 11142	   	286.26	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aAART
15	22424 11316	 * 	283.38	DCR|4VULN|2TLV|1MLV	1MDPS|2359VULN|39BPWR|49GSSTOX|69TLV|7RCR|8RPLT|aMLV
16	22424 11315	 * 	283.29	DCR|4VULN|2TLV|1LIT	1MDPS|2359VULN|39BPWR|49GSSTOX|69TLV|7RCR|8RPLT|aLIT
17	45232 21632	 * 	281.73	DCR|3VULN|2TLV|1MLV|2CDMG	1TBNT|27TLV|3DMSP|4FEWX|57CDMG|679VULN|7BPWR|8RCR|aMLV
18	42123 21111	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|aCGEN
19	42123 21114	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|aRMIN
20	42123 21116	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|aDMSP
21	42123 61111	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|aCGEN
22	42123 61114	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|aRMIN
23	42123 61116	   	279.98	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|aDMSP
24	42123 21113	   	279.88	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|aERES
25	42123 61113	   	279.88	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68LHND|7RCR|8BPWR|aERES
26	42123 11111	   	279.78	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aCGEN
27	42123 11114	   	279.78	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aRMIN
28	42123 11115	   	279.78	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aDMSP
29	42123 11116	   	279.78	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aBELT
30	42123 11113	   	279.68	DCR|3VULN|2TLV|1LIT|1RPLT	1TBNT|2RPLT|389VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|aERES
31	56124 13123	 * 	279.00	DCR|3VULN|2LIT|1TLV|1CDMG	1DUR|2CDMG|3BELT|4aLIT|5TLV|678VULN|9RCR
32	42123 21141	   	278.16	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LWND|7RCR|8BPWR|aCGEN
33	42123 21144	   	278.16	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LWND|7RCR|8BPWR|aRMIN
34	42123 21146	   	278.16	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LWND|7RCR|8BPWR|aDMSP
35	42123 61141	   	278.16	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LHND|7RCR|8BPWR|aCGEN
36	42123 21143	   	278.06	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LWND|7RCR|8BPWR|aERES
37	42123 61143	   	278.06	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68LHND|7RCR|8BPWR|aERES
38	42123 11141	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aCGEN
39	42123 11144	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aRMIN
40	42123 11145	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aDMSP
41	42123 11146	   	277.96	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aBELT
42	42123 11134	   	277.86	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|4aLIT|58TLV|68DUST|7RCR|8BPWR|9LSRREG
43	42123 11143	   	277.86	DCR|2VULN|2TLV|2LIT|1RPLT	1TBNT|2RPLT|38VULN|49LIT|58TLV|68DUST|7RCR|8BPWR|aERES
44	63236 25132	 * 	276.63	DCR|DCR|2LIT|1TLV|1SELL	1SELL|25aERES|35LIT|4RPLT|5BPWR|68RCR|7TLV|9DUR
45	35223 61352	 * 	275.42	ACR|DCR|2VULN|1TLV|1LIT|1MLV	1LHND|27VULN|38CGEN|4MLV|59RCR|6TLV|aLIT
46	63236 25113	 * 	272.53	DCR|DCR|2LIT|1TLV|1SELL	1SELL|259ERES|35LIT|4RPLT|5BPWR|68RCR|7TLV|aTBNT
47	42123 21158	   	271.39	DCR|2VULN|2TLV|1LIT|1RPLT|1CDMG	1TBNT|2RPLT|38VULN|4LIT|58TLV|68LWND|7RCR|8BPWR|9MBVNT|aCDMG
48	42123 11136	   	271.19	DCR|2VULN|2TLV|1LIT|1RPLT|1CDMG	1TBNT|2RPLT|38VULN|4LIT|58TLV|68DUST|7RCR|8BPWR|9LSRREG|aCDMG
49	42123 11633	   	271.19	DCR|2VULN|2TLV|1LIT|1RPLT|1ASPD	1TBNT|2RPLT|3aVULN|4LIT|59TLV|6DUST|7RCR|8ASPD
50	51322 12345	 * 	270.81	DCR|2LIT|1TLV|1VULN|1MLV|2RPLT|2DUR	15DUR|29RPLT|3BBNT|45LIT|5BPWR|6TLV|7MLV|8VULN|aRCR
