0	Index      	 *	Score 	Summary	Detail	
1	23233 22132	 * 	352.79	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD|1CDMG	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aCDMG
2	23233 22135	   	339.14	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aRMIN
3	23233 22136	   	339.14	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aFEWX
4	23233 22131	   	339.04	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aDUST
5	23233 22133	   	339.04	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aERES
6	23233 22134	   	339.04	DCR|DCR|2VULN|2MLV|1TLV|1LIT|1ASPD	1TLV|24MLV|37VULN|5ASPD|6LIT|89RCR|aSNIFST
7	23332 26135	 * 	335.15	DCR|DCR|2TLV|2LIT|1MLV|1ASPD	15TLV|2MLV|3ASPD|4DUR|6aLIT|7DMSP|89RCR
8	23332 25135	   	335.05	DCR|DCR|2TLV|2LIT|1MLV|1ASPD	15TLV|2MLV|3ASPD|4DUR|6aLIT|7AEFBLL|89RCR
9	23332 26132	   	328.48	DCR|DCR|2TLV|1LIT|1MLV|1ASPD|1CDMG	15TLV|2MLV|3ASPD|4DUR|6LIT|7DMSP|89RCR|aCDMG
10	23332 25132	   	328.38	DCR|DCR|2TLV|1LIT|1MLV|1CDMG|1ASPD	15TLV|2MLV|3ASPD|4DUR|6LIT|7AEFBLL|89RCR|aCDMG
11	23332 26134	 * 	327.87	DCR|DCR|2TLV|2MLV|1LIT|1ASPD	15TLV|2aMLV|3ASPD|4DUR|6LIT|7DMSP|89RCR
12	23332 25134	   	327.77	DCR|DCR|2TLV|2MLV|1LIT|1ASPD	15TLV|2aMLV|3ASPD|4DUR|6LIT|7AEFBLL|89RCR
13	22233 33123	 * 	323.84	DCR|3VULN|2TLV|2LIT|1MLV	17TLV|2TBNT|37LIT|4DUR|5CGEN|678VULN|7BPWR|9RCR|aMLV
