0	Index      	 *	Score 	Summary	Detail	
1	13523 11141	 * 	285.44	DCR|DCR|2VULN|2TLV	1aERES|2CGEN|3aVULN|4DUST|5RCVC|69RCR|7ZMB|8aTLV|aBPWR
2	51521 32621	 * 	276.14	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1MGNSTR|29VULN|3FEWX|4LIT|5ASPD|6DMG|7aRCR|8MDPS
3	21521 32621	   	276.04	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1BASARM|29VULN|3FEWX|4LIT|5ASPD|6DMG|7aRCR|8MDPS
4	31521 32621	   	276.04	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1TSLFST|29VULN|3FEWX|4LIT|5ASPD|6DMG|7aRCR|8MDPS
5	22226 26412	 * 	271.26	DCR|2TLV|2LIT|1MLV|1DMG|1CDMG|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aCDMG
6	32226 26412	   	271.26	DCR|2TLV|2LIT|1MLV|1DMG|1CDMG|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aCDMG
7	52226 23412	   	264.94	DCR|2TLV|2LIT|1MLV|1ASPD|1CDMG|1BBNT	1MGNSTR|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7ASPD|8MLV|9RCR|aCDMG
8	43236 43231	 * 	264.92	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DMG|3AART|48VULN|5DUR|6FRZARM|7RCR|9LIT|aTLV
9	22226 23412	   	264.84	DCR|2TLV|2LIT|1MLV|1ASPD|1CDMG|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7ASPD|8MLV|9RCR|aCDMG
10	32226 23412	   	264.84	DCR|2TLV|2LIT|1MLV|1ASPD|1CDMG|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7ASPD|8MLV|9RCR|aCDMG
11	22226 21534	 * 	260.76	DCR|2TLV|2LIT|1VULN|1CDMG|1DUR|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7RCR|8CDMG|9VULN|aDUR
12	32226 21534	   	260.76	DCR|2TLV|2LIT|1VULN|1CDMG|1DUR|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7RCR|8CDMG|9VULN|aDUR
13	65312 22231	 * 	259.49	DCR|2VULN|2TLV|1MLV|2CDMG	1TBNT|29VULN|3ERES|4DMSP|59TLV|6FEWX|7MLV|89CDMG|9BPWR|aRCR
14	21322 25452	 * 	257.73	DCR|2TLV|1LIT|1VULN|1MLV|1DUR	19BASARM|2VULN|39LHND|4LIT|5MLV|69TLV|7RCR|8RPLT|9BPWR|aDUR
15	31322 25452	   	257.73	DCR|2TLV|1LIT|1VULN|1MLV|1DUR	19TSLFST|2VULN|39LHND|4LIT|5MLV|69TLV|7RCR|8RPLT|9BPWR|aDUR
