0	Index      	 *	Score 	Summary	Detail	
1	24113 41412	 * 	326.80	DCR|DCR|2MLV|1TLV|1LIT|1VULN|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9aMLV
2	24113 41432	 * 	325.03	DCR|DCR|2LIT|1TLV|1VULN|2CDMG	1VULN|2AART|3aLIT|4TLV|5TBNT|69CDMG|78RCR
3	21133 62415	 * 	324.39	DCR|DCR|2VULN|1TLV|1LIT|1ASPD|1CDMG	12VULN|2BPWR|3ASPD|4LIT|5AAC|6CGEN|79RCR|8TLV|aCDMG
4	21134 32415	   	324.29	DCR|DCR|2VULN|1TLV|1LIT|1ASPD|1CDMG	12VULN|2BPWR|3ASPD|4LIT|5ERES|6AAC|79RCR|8TLV|aCDMG
5	21133 62414	 * 	323.19	DCR|DCR|2VULN|1TLV|1LIT|2ASPD	12VULN|2BPWR|3aASPD|4LIT|5AAC|6CGEN|79RCR|8TLV
6	21134 32414	   	323.09	DCR|DCR|2VULN|1TLV|1LIT|2ASPD	12VULN|2BPWR|3aASPD|4LIT|5ERES|6AAC|79RCR|8TLV
7	21223 36136	 * 	316.30	DCR|DCR|2VULN|2DMG|1TLV|1ASPD	12VULN|2BPWR|3RMIN|4RCVC|5TLV|6ASPD|7aDMG|89RCR
8	24113 41411	   	313.77	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9MLV|aLWND
9	24113 41413	   	313.67	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9MLV|aLEGI
10	24113 41422	   	313.67	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9AME|aMLV
11	21223 36133	   	312.36	DCR|DCR|2VULN|1TLV|1DMG|1ASPD|1CDMG	12VULN|2BPWR|3RMIN|4RCVC|5TLV|6ASPD|7DMG|89RCR|aCDMG
12	21133 62412	   	310.74	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5aAAC|6CGEN|79RCR|8TLV
13	21133 62411	   	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5AAC|6CGEN|79RCR|8TLV|aLEGI
14	21133 62413	   	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5AAC|6CGEN|79RCR|8TLV|aSPLREG
15	21133 62416	   	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5AAC|6CGEN|79RCR|8TLV|aMBVNT
16	21134 32412	   	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5ERES|6aAAC|79RCR|8TLV
17	21134 32411	   	310.54	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5ERES|6AAC|79RCR|8TLV|aLEGI
18	21134 32413	   	310.54	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5ERES|6AAC|79RCR|8TLV|aSPLREG
19	21134 32416	   	310.54	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	12VULN|2BPWR|3ASPD|4LIT|5ERES|6AAC|79RCR|8TLV|aMBVNT
20	34113 41422	 * 	307.17	DCR|DCR|2TLV|2LIT|1CDMG	1LWND|2AART|3aLIT|49TLV|5TBNT|6CDMG|78RCR
21	21223 36134	   	307.01	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3RMIN|4RCVC|5TLV|6ASPD|7DMG|89RCR|aRPLT
22	15236 42413	 * 	306.37	DCR|DCR|2LIT|1TLV|1VULN|1MLV	1DMSP|2MLV|3DUST|48LIT|5MBVNT|69RCR|7TLV|aVULN
23	24113 41431	   	304.71	DCR|DCR|1TLV|1LIT|1VULN|2CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|69CDMG|78RCR|aBEXP
24	24113 41433	   	304.61	DCR|DCR|1TLV|1LIT|1VULN|2CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|69CDMG|78RCR|aERES
25	21632 33562	 * 	301.99	DCR|DCR|3VULN|1LIT|1MLV|1CDMG	12aVULN|2BPWR|3CGEN|4LIT|5CDMG|6AART|79RCR|8MLV
26	13123 47148	 * 	301.08	DCR|DCR|2TLV|1VULN|1MLV	1DMSP|25TLV|3DUR|4RCVC|6MBVNT|7MLV|8aRCR|9VULN
27	12236 42813	   	300.76	DCR|DCR|2LIT|1TLV|1VULN	1DMSP|2DUR|3RMIN|48LIT|5MBVNT|69RCR|7TLV|aVULN
28	21123 21136	   	298.71	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3ASPD|4RCVC|5TLV|6AAC|7RMIN|89RCR|aDMG
29	21223 36131	   	298.71	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3RMIN|4aRCVC|5TLV|6ASPD|7DMG|89RCR
30	21123 11136	   	298.61	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3ASPD|4RCVC|5TLV|6NUKE|7RMIN|89RCR|aDMG
31	21223 36132	   	298.61	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3RMIN|4RCVC|5TLV|6ASPD|7DMG|89RCR|aLEGI
32	21223 36135	   	298.61	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|2BPWR|3RMIN|4RCVC|5TLV|6ASPD|7DMG|89RCR|aDUST
33	24113 41421	   	298.30	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9AME|aLWND
34	24113 41423	   	298.20	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1VULN|2AART|3LIT|4TLV|5TBNT|6CDMG|78RCR|9AME|aDUST
