0	Index      	 *	Score 	Summary	Detail	
1	63521 52112	 * 	237.11	ACR|3VULN|3DMG|2ASPD|1AART|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|89aVULN
2	63521 42112	   	228.80	ACR|3VULN|3DMG|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6LHND|89aVULN
3	63521 62112	   	228.80	ACR|3VULN|3DMG|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6BEXP|89aVULN
4	16224 36232	 * 	227.80	DCR|4VULN|2ASPD|1AART|1DMG	1278VULN|3FEWX|4AART|57LHND|67ASPD|7BPWR|9DMG|aRCR
5	25222 12234	 * 	226.40	DCR|3ASPD|2DMG|1VULN|1AART|1CDMG	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9CDMG|aAART
6	65252 22323	 * 	226.34	DCR|3VULN|3ASPD|2DMG|1SELL	1aDMG|29aASPD|3BELT|4LEGI|57aVULN|6RCR|8SELL|aBPWR
7	11324 36232	   	225.50	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	178VULN|23DUR|4AART|57LHND|67ASPD|7BPWR|9DMG|aRCR
8	25222 12163	 * 	224.59	DCR|3VULN|3ASPD|2DMG	124ASPD|34DMG|4BPWR|5LIT|69aVULN|7RCR|8LHND
9	63521 52122	   	224.52	ACR|3DMG|2VULN|2ASPD|1AART|2DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|69DUR|8aVULN
10	63521 31162	 * 	224.39	ACR|3ASPD|2VULN|2DMG|1AART|1CDMG	15DMG|2RCR|356ASPD|4AART|5BPWR|7CDMG|8DUST|9aVULN
11	63521 31632	   	224.39	ACR|3ASPD|2VULN|2DMG|1AART|1CDMG	15DMG|2RCR|356ASPD|4AART|5BPWR|7CDMG|8aVULN|9DUST
12	11324 36632	 * 	223.75	DCR|2VULN|2AART|2ASPD|1DMG|2DUR	17VULN|23DUR|48AART|57LHND|67ASPD|7BPWR|9DMG|aRCR
13	11624 36232	   	223.57	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	178VULN|2DUR|3RCVC|4AART|57LHND|67ASPD|7BPWR|9DMG|aRCR
14	12651 31423	 * 	222.90	DCR|3ASPD|2VULN|1AART|2CDMG|1ZMB	13VULN|23CDMG|3BPWR|468ASPD|5BEXP|7ZMB|9RCR|aAART
15	31153 32631	 * 	222.10	DCR|3VULN|2AART|1ASPD|1CDMG|1DUR	1LIT|2ASPD|3CDMG|49aVULN|56AART|7DUR|8RCR
16	31153 41631	   	222.10	DCR|3VULN|2AART|1ASPD|1CDMG|1DUR	1LIT|2ASPD|3CDMG|49aVULN|57AART|6DUR|8RCR
17	45123 11116	 * 	220.94	DCR|3DMG|2VULN|1AART|1ASPD	1AART|234DMG|4BPWR|5RMIN|6RCR|7LHND|89VULN|aASPD
18	45323 11116	   	220.94	DCR|3DMG|2VULN|1AART|1ASPD	1AART|234DMG|34BPWR|5RMIN|6RCR|7LHND|89VULN|aASPD
19	12614 32125	 * 	220.61	DCR|3VULN|3CDMG|1AART|1ASPD|1DUR	13aVULN|237CDMG|3BPWR|4CGEN|5DUR|6ASPD|8RCR|9AART
20	12662 32125	   	220.51	DCR|3VULN|3CDMG|1AART|1ASPD|1DUR	13aVULN|237CDMG|3BPWR|4DUR|5TLV|6ASPD|8RCR|9AART
