0	Index      	 *	Score 	Summary	Detail	
1	62342 43713	 * 	217.01	DCR|4VULN|2DMG|2DUR|1ZMB	1589VULN|29DUR|3DLOT|4MBVNT|69DMG|7RCR|9BPWR|aZMB
2	63131 62152	 * 	216.31	DCR|3ASPD|2VULN|2DMG|2DUR	18VULN|278ASPD|36DMG|4ERES|58DUR|8BPWR|9RCR|aRCVC
3	63131 62153	   	216.31	DCR|3ASPD|2VULN|2DMG|2DUR	18VULN|278ASPD|36DMG|4ERES|58DUR|8BPWR|9RCR|aRPLT
4	63131 62151	   	216.21	DCR|3ASPD|2VULN|2DMG|2DUR|1MSE	18VULN|278ASPD|36DMG|4ERES|58DUR|8BPWR|9RCR|aMSE
5	63515 22323	 * 	216.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1aVULN|23ASPD|4LIT|5DMG|6LHND|7RCR|8CDMG|9AART
6	62223 32363	 * 	216.11	DCR|4VULN|2ASPD|3DUR|2ZMB	1358VULN|249DUR|68ZMB|78ASPD|8BPWR|aRCR
7	31133 43622	 * 	215.65	DCR|3VULN|2ASPD|1AART|1DMG	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9AART|aDMG
8	31133 46622	   	215.65	DCR|3VULN|2ASPD|1AART|1DMG	14ERES|256VULN|36ASPD|6BPWR|7CGEN|8RCR|9AART|aDMG
9	63121 23213	 * 	214.40	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|39DMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB
10	63121 43213	   	214.40	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|39DMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB
11	62223 32111	 * 	213.89	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	135VULN|24DUR|6ZMB|7ASPD|8CDMG|9DMG|aRCR
12	21521 14613	 * 	211.91	ACR|3VULN|2ASPD|3ZMB|1AART|1DUR	1RCR|2RMIN|389VULN|4DUR|59aZMB|69ASPD|7AART|9BPWR
13	31133 43621	 * 	211.67	DCR|3VULN|2AART|2ASPD	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9aAART
14	31133 46621	   	211.67	DCR|3VULN|2AART|2ASPD	14ERES|256VULN|36ASPD|6BPWR|7CGEN|8RCR|9aAART
15	63133 32623	 * 	210.46	DCR|2VULN|1MDPS|2DMG|2ASPD	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9DMSP|aMDPS
16	63121 23215	 * 	209.67	DCR|3DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1VULN|2ASPD|39aDMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB
17	63121 43215	   	209.67	DCR|3DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1VULN|2ASPD|39aDMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB
18	63133 32653	 * 	209.46	DCR|3VULN|2DMG|2ASPD	16aVULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9AME
