0	Index      	 *	Score 	Summary	Detail	
1	42151 12362	 * 	235.83	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG|1AAC	138VULN|24ASPD|5CDMG|6DMG|7RCR|9MDPS|aAAC
2	42151 11363	 * 	230.38	DCR|4VULN|2ASPD|1DMG|1CDMG|1DUR	138aVULN|24ASPD|5CDMG|6DMG|7DUR|9RCR
3	42151 12361	   	228.95	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	138VULN|24ASPD|5CDMG|6DMG|7RCR|9MDPS|aDUR
4	42151 12363	   	228.95	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG	138VULN|24ASPD|5CDMG|6DMG|7RCR|9MDPS|aERES
5	42151 12321	   	226.07	DCR|4VULN|2ASPD|1DMG|1CDMG	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aDMSP
6	42151 12322	   	226.07	DCR|4VULN|2ASPD|1DMG|1CDMG	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aFEWX
7	42151 12325	   	226.07	DCR|4VULN|2ASPD|1DMG|1CDMG	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aCGEN
8	42151 12323	   	225.97	DCR|4VULN|2ASPD|1DMG|1CDMG|1MSE	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aMSE
9	42151 12324	   	225.97	DCR|4VULN|2ASPD|1DMG|1CDMG	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aTLV
10	42151 12326	   	225.97	DCR|4VULN|2ASPD|1DMG|1CDMG	1389VULN|24ASPD|5CDMG|6DMG|7RCR|aERES
11	53131 22164	 * 	224.84	DCR|4VULN|2DMG|1ASPD|2ZMB	1aZMB|237aVULN|4BEXP|5ASPD|6MBVNT|8RCR|9aDMG|aBPWR
12	53152 22164	   	224.84	DCR|4VULN|2DMG|1ASPD|2ZMB	1aZMB|237aVULN|4ASPD|5LHND|6MBVNT|8RCR|9aDMG|aBPWR
13	53161 22164	   	224.84	DCR|4VULN|2DMG|1ASPD|2ZMB	1aZMB|237aVULN|4LWND|5ASPD|6MBVNT|8RCR|9aDMG|aBPWR
14	53311 22164	   	224.84	DCR|4VULN|2DMG|1ASPD|2ZMB	1aZMB|247aVULN|3LWND|5ASPD|6MBVNT|8RCR|9aDMG|aBPWR
15	53411 22164	   	224.84	DCR|4VULN|2DMG|1ASPD|2ZMB	1aZMB|247aVULN|3BEXP|5ASPD|6MBVNT|8RCR|9aDMG|aBPWR
16	42161 12362	   	224.71	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC	138VULN|2ASPD|4RCVC|5CDMG|6DMG|7RCR|9MDPS|aAAC
17	42151 12421	 * 	224.48	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	13VULN|24ASPD|5CDMG|6DMG|7RCR|8SPLJET|9DUR|aAART
18	42156 32113	 * 	223.34	DCR|3VULN|3ASPD|2DMG|1MDPS|1AART	137VULN|246ASPD|56DMG|6BPWR|8MDPS|9AART|aRCR
19	42151 12143	 * 	223.15	DCR|3VULN|3ASPD|1DMG|1CDMG	139VULN|24aASPD|5CDMG|6DMG|7RCR|8MLV
20	42131 62363	   	222.07	DCR|4VULN|2ASPD|1DMG|1CDMG	138aVULN|25ASPD|4BEXP|6CDMG|7DMG|9RCR
21	42151 13363	   	222.07	DCR|4VULN|2ASPD|1DMG|1CDMG	138aVULN|24ASPD|5CDMG|6DMG|7BEXP|9RCR
22	53341 22164	 * 	221.45	DCR|3VULN|2DMG|3ZMB|1ASPD	14aZMB|27aVULN|3LWND|5ASPD|6MBVNT|8RCR|9aDMG|aBPWR
23	42151 11361	   	221.31	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC|1DUR	138VULN|24ASPD|5CDMG|6DMG|7DUR|9RCR|aAAC
24	42161 11363	   	219.26	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	138aVULN|2ASPD|4RCVC|5CDMG|6DMG|7DUR|9RCR
25	42151 12422	   	218.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	13aVULN|24ASPD|5CDMG|6DMG|7RCR|8SPLJET|9DUR
26	42151 12623	   	218.43	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	13aVULN|24ASPD|5CDMG|6DMG|7RCR|8DUST|9DUR
27	42161 12361	   	217.84	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	138VULN|2ASPD|4RCVC|5CDMG|6DMG|7RCR|9MDPS|aDUR
28	42161 12363	   	217.84	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	138VULN|2ASPD|4RCVC|5CDMG|6DMG|7RCR|9MDPS|aERES
29	43131 43326	 * 	217.22	DCR|3VULN|2DMG|2CDMG|1ASPD	138VULN|2AME|48BEXP|5ASPD|6aCDMG|78DMG|8BPWR|9RCR
30	42133 43326	   	217.12	DCR|3VULN|2DMG|2CDMG|1ASPD	138VULN|2ASPD|48BEXP|5ERES|6aCDMG|78DMG|8BPWR|9RCR
31	42151 12341	   	216.90	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	138VULN|24ASPD|5CDMG|6DMG|7RCR|9AAC|aLHND
32	42151 12342	   	216.90	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	138VULN|24ASPD|5CDMG|6DMG|7RCR|9AAC|aMBVNT
33	42151 12343	   	216.90	DCR|3VULN|3ASPD|1DMG|1CDMG|1AAC	138VULN|24aASPD|5CDMG|6DMG|7RCR|9AAC
34	42151 12411	   	216.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	13VULN|24ASPD|5CDMG|6DMG|7RCR|8SPLJET|9DUST|aAART
35	42361 42111	   	216.07	DCR|3VULN|3ASPD|1MDPS|1DUR	178VULN|245ASPD|34LWND|4BPWR|6RCR|9DUR|aMDPS
