0	Index      	 *	Score 	Summary	Detail	
1	11242 23442	 * 	223.75	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2RMIN|38DUR|479VULN|59CGEN|6RCR|9BPWR|aAART
2	43145 21221	 * 	223.02	DCR|3VULN|2DMG|1AART|1ASPD	1LHND|2TLV|37DMG|458VULN|6RCR|9AART|aASPD
3	21211 65311	 * 	219.77	DCR|2VULN|2DMG|2ASPD|1AART	1RPLT|2aDMG|3AART|4AME|5aVULN|6RMIN|7aASPD|8RCR|9LEGI|aBPWR
4	11242 23142	   	219.68	DCR|3VULN|2DMG|1AART|1DUR	19DMG|2RMIN|3DUR|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aAART
5	21251 65311	   	219.67	DCR|2VULN|2DMG|2ASPD|1AART	1RPLT|2aDMG|3AART|4TLV|5aVULN|6RMIN|7aASPD|8RCR|9LEGI|aBPWR
6	11244 23142	   	219.48	DCR|3VULN|2DMG|1AART|1DUR	19DMG|2RMIN|3DUR|479VULN|59ERES|6RCR|8RCVC|9BPWR|aAART
7	12343 21264	 * 	218.91	DCR|3VULN|3DMG|1AART	179DMG|2LWND|39MLV|489VULN|5DMSP|6RCR|9BPWR|aAART
8	31245 23142	 * 	216.11	DCR|3VULN|2ASPD|1AART|1DUR	19ERES|2RMIN|3DUR|479VULN|59ASPD|6RCR|8RCVC|9BPWR|aAART
9	11245 26222	   	214.68	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2RMIN|3DUR|45aVULN|6TLV|7AART|8ASPD|9RCR
10	16125 23224	 * 	213.62	DCR|3DMG|2VULN|1MDPS|2ASPD|1ZMB	137DMG|28DUST|48VULN|58ASPD|6MDPS|8BPWR|9ZMB|aRCR
11	14245 21221	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17DMG|2CGEN|3DUR|45VULN|6RCR|8AELBLL|9AART|aASPD
12	16126 23321	 * 	213.31	DCR|3DMG|2VULN|1ASPD|1CDMG	139DMG|2DUST|47VULN|5FEWX|6RCR|8ASPD|aCDMG
13	53122 41623	 * 	213.18	ACR|3DMG|2VULN|1AART|1ASPD|2ZMB	15ZMB|2RCR|357DMG|4RCVC|5BPWR|6ASPD|8AART|9aVULN
14	13123 43331	 * 	213.10	ACR|3DMG|2VULN|1AART|1NUKE|1CDMG	138DMG|2RCR|48VULN|5DMSP|6AART|78CGEN|8BPWR|9CDMG|aNUKE
15	13123 43335	 * 	213.10	ACR|3DMG|2VULN|1AART|1ASPD|1CDMG	138DMG|2RCR|48VULN|5DMSP|6AART|78CGEN|8BPWR|9CDMG|aASPD
16	13125 21184	   	212.80	ACR|3DMG|2VULN|1AART|1ASPD|1CDMG	137DMG|2RCR|48VULN|5ASPD|6MBVNT|9AART|aCDMG
17	52216 53232	 * 	212.46	DCR|3VULN|2ASPD|3ZMB|1CDMG	138ZMB|234LWND|38BPWR|58ASPD|678VULN|9RCR|aCDMG
18	11326 23142	   	211.38	DCR|3VULN|2DMG|1AART	19DMG|2RMIN|3AME|479VULN|59FEWX|6RCR|8RCVC|9BPWR|aAART
19	11442 23142	   	211.38	DCR|3VULN|2DMG|1AART	19DMG|2RMIN|3LWND|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aAART
20	12542 23142	   	211.38	DCR|3VULN|2DMG|1AART	19DMG|2LWND|3RMIN|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aAART
21	16126 23323	   	211.28	DCR|3DMG|2VULN|2ASPD	139DMG|2DUST|47VULN|5FEWX|6RCR|8aASPD
22	11642 23142	   	211.28	DCR|3VULN|2DMG|1AART	19DMG|2RMIN|3DUST|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aAART
23	12343 21266	 * 	210.98	DCR|4VULN|3DMG	179DMG|2LWND|39MLV|489aVULN|5DMSP|6RCR|9BPWR
24	12345 21261	   	210.98	DCR|4VULN|3DMG	179DMG|2LWND|39MLV|4589VULN|6RCR|9BPWR|aBEXP
25	12345 21263	   	210.98	DCR|4VULN|3DMG	179DMG|2LWND|39MLV|4589VULN|6RCR|9BPWR|aLHND
26	12345 21262	   	210.88	DCR|4VULN|3DMG|1MSE	179DMG|2LWND|39MLV|4589VULN|6RCR|9BPWR|aMSE
27	13125 31225	 * 	210.87	ACR|3DMG|2VULN|2ASPD|2CDMG	137DMG|2RCR|4aVULN|5aASPD|6BEXP|8ERES|9aCDMG|aBPWR
28	13125 21188	 * 	210.77	ACR|3DMG|2VULN|2ASPD|1AART	137DMG|2RCR|48VULN|5aASPD|6MBVNT|9AART
29	13125 11225	   	210.77	ACR|3DMG|2VULN|2ASPD|2CDMG	137DMG|2RCR|4aVULN|5aASPD|6DUST|8ERES|9aCDMG|aBPWR
30	13123 43312	 * 	210.69	ACR|3VULN|3DMG|2AART	138DMG|2RCR|48aVULN|5DMSP|69AART|78CGEN|8BPWR
31	11242 23443	   	210.30	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2RMIN|38DUR|479VULN|59CGEN|6RCR|9BPWR|aZMB
32	11642 23242	   	210.00	DCR|3VULN|2DMG|1AART	19DMG|2RMIN|38DUST|479VULN|59CGEN|6RCR|9BPWR|aAART
33	43145 21223	   	209.73	DCR|3VULN|2DMG|1AART|1AAC	1LHND|2TLV|37DMG|458VULN|6RCR|9AART|aAAC
34	16125 21325	 * 	209.41	DCR|3DMG|2VULN|1MDPS|1ASPD|1CDMG	13aDMG|2DUST|4aVULN|5ASPD|6MDPS|7CDMG|8RCR|9aCGEN|aBPWR
35	12156 25322	 * 	209.33	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|28LWND|4AME|5BELT|6CDMG|78VULN|8BPWR|9AART|aRCR
36	53145 31221	 * 	209.16	ACR|3VULN|2DMG|1AART|1ASPD|1ZMB	1ZMB|2RCR|37DMG|458VULN|6LWND|9AART|aASPD
37	53143 31221	   	209.16	ACR|3VULN|2DMG|1AART|1ASPD|1ZMB	1ZMB|2RCR|37DMG|468VULN|5LHND|9AART|aASPD
38	53122 15631	   	209.05	ACR|3DMG|1VULN|1AART|1NUKE|1CDMG|2ZMB	15ZMB|2RCR|357DMG|4RCVC|5BPWR|6VULN|8AART|9CDMG|aNUKE
39	14243 23142	   	208.46	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19DMG|29CGEN|3DUR|47VULN|59ZMB|6RCR|8RCVC|9BPWR|aAART
40	12345 23136	 * 	207.77	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2LWND|3MLV|45VULN|6RCR|7LHND|8AART|9ASPD|aNUKE
41	12345 21252	   	207.65	DCR|3VULN|2DMG|1ASPD|1DUR	17DMG|2LWND|3MLV|458VULN|6RCR|9DUR|aASPD
42	32145 23162	   	206.61	DCR|3VULN|1AART|1ASPD|1DMG	1ERES|2LWND|3DMG|479VULN|5ASPD|6RCR|8RCVC|aAART
43	11245 31623	   	206.59	DCR|3VULN|2DMG|1ASPD|1DUR	19DMG|2RMIN|3DUR|456VULN|7MULARM|8ASPD|aRCR
44	16126 23325	   	206.43	DCR|3DMG|2VULN|1MDPS|1ASPD	139DMG|2DUST|47VULN|5FEWX|6RCR|8ASPD|aMDPS
45	11242 23143	   	206.24	DCR|3VULN|2DMG|1ZMB|1DUR	19DMG|2RMIN|3DUR|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aZMB
46	11244 23143	   	206.04	DCR|3VULN|2DMG|1ZMB|1DUR	19DMG|2RMIN|3DUR|479VULN|59ERES|6RCR|8RCVC|9BPWR|aZMB
47	11242 23462	   	205.96	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2RMIN|38DUR|479VULN|5CGEN|6RCR|aAART
48	13445 31221	   	205.77	ACR|3VULN|2DMG|1AART|1ASPD	17DMG|2RCR|3LWND|4RMIN|568VULN|9AART|aASPD
49	12345 23133	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|2LWND|3MLV|45aVULN|6RCR|7LHND|8AART|9ASPD
50	62145 23133	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|2LWND|3DMG|45aVULN|6RCR|7LHND|8AART|9ASPD
51	43145 23221	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	17LHND|2TLV|3DMG|458VULN|6RCR|9AART|aASPD
52	13123 45213	 * 	205.38	ACR|2VULN|2AART|2DMG|1ASPD|1DUR	13DMG|2RCR|4aVULN|5DMSP|69AART|7DUR|8ASPD
53	14243 23162	   	205.29	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2CGEN|3DUR|479VULN|5ZMB|6RCR|8RCVC|aAART
54	62145 21221	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2LWND|37DMG|45VULN|6RCR|8AELBLL|9AART|aASPD
55	12154 25133	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2LWND|4AME|5LHND|6RCR|7aVULN|8AART|9ASPD
56	46143 21221	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2AME|37DMG|48VULN|5DMSP|6RCR|9AART|aASPD
57	21222 22346	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1RPLT|29DMG|3AART|45LIT|6RCR|7aVULN|8ASPD
58	11242 23146	 * 	205.27	DCR|3VULN|2DMG|1MDPS|1DUR	19DMG|2RMIN|3DUR|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aMDPS
59	16126 23311	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2DUST|47VULN|5FEWX|6RCR|8ASPD|9CGEN|aAART
60	16126 23341	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2DUST|47VULN|5FEWX|6RCR|8ASPD|9AME|aAART
61	43143 21221	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2TLV|37DMG|48VULN|5DMSP|6RCR|9AART|aASPD
62	13123 43353	   	205.16	ACR|3DMG|2VULN|1AART|1ASPD|1DUR	138DMG|2RCR|48VULN|5DMSP|6AART|78CGEN|8BPWR|9DUR|aASPD
63	13125 21182	   	204.86	ACR|3DMG|2VULN|1AART|1ASPD|1DUR	137DMG|2RCR|48VULN|5ASPD|6MBVNT|9AART|aDUR
64	13125 21284	 * 	204.82	ACR|3VULN|3DMG|2ASPD	137DMG|2RCR|49aVULN|59ASPD|6MBVNT|89ERES|9BPWR
65	13121 23435	 * 	204.70	ACR|3VULN|3DMG|1CDMG|2DUR	13aDMG|2RCR|49aVULN|5ERES|6CDMG|7RMIN|8aDUR|aBPWR
66	21211 65333	 * 	204.12	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2DMG|3AART|4AME|5aVULN|6RMIN|7ASPD|8RCR|9CDMG
67	21251 65333	   	204.02	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2DMG|3AART|4TLV|5aVULN|6RMIN|7ASPD|8RCR|9CDMG
68	14245 21121	   	203.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17DMG|2CGEN|3DUR|45VULN|6RCR|8FEWX|9ZMB|aAART
69	16122 21154	   	203.59	DCR|3DMG|2VULN|1CDMG|1ZMB	137DMG|2DUST|48VULN|5MLV|6RCR|9CDMG|aZMB
70	16121 21154	   	203.49	DCR|3DMG|2VULN|1CDMG|1ZMB	137DMG|2DUST|48VULN|5ERES|6RCR|9CDMG|aZMB
71	13123 43332	   	203.37	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB	138DMG|2RCR|48VULN|5DMSP|6AART|78CGEN|8BPWR|9CDMG|aZMB
72	16125 23234	   	203.28	DCR|3DMG|2VULN|1MDPS|2ASPD	137DMG|28DUST|48VULN|58ASPD|6MDPS|8BPWR|9AME|aRCR
