0	Index      	 *	Score 	Summary	Detail	
1	22235 43251	 * 	219.04	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8aVULN|9AART
2	25241 36233	 * 	217.13	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|24AME|38VULN|58CANARM|6RCR|8BPWR|9CDMG|aAART
3	25251 36233	   	217.13	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|2AME|38VULN|4DMSP|58CANARM|6RCR|8BPWR|9CDMG|aAART
4	22235 43262	 * 	216.17	DCR|3DMG|2VULN|1ASPD|3DUR	17aDMG|27aLIT|3LWND|4ASPD|579DUR|6RCR|7aBPWR|8aVULN
5	13313 25531	 * 	214.66	DCR|4VULN|2DMG|1AART|1SELL	1FEWX|2579VULN|3SELL|46DMG|8RCR|aAART
6	52132 51613	 * 	212.62	DCR|3VULN|2AART|3CDMG	19aCDMG|2AME|34AART|5BELT|6RCR|79aLHND|89aVULN|9aBPWR
7	52132 52613	   	212.62	DCR|3VULN|2AART|3CDMG	19aCDMG|2AME|34AART|5BELT|6RCR|79aLWND|89aVULN|9aBPWR
8	52132 54213	   	212.62	DCR|3VULN|2AART|3CDMG	19aCDMG|2AME|34AART|5BELT|6RCR|79aVULN|89aBEXP|9aBPWR
9	13313 25521	 * 	210.75	DCR|3VULN|3DMG|1NUKE|1SELL	1FEWX|257VULN|3SELL|469DMG|8RCR|aNUKE
10	22531 43613	 * 	208.23	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	18DMG|2LIT|3ASPD|4DUR|5RMIN|69AART|7VULN|aRCR
11	26322 23551	 * 	207.36	DCR|2DMG|1VULN|1AART|1NUKE|1CDMG|1DUR	16DMG|2ERES|3CDMG|4DUR|5AME|7RCR|8VULN|9AART|aNUKE
12	22313 64421	 * 	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1DMG|2LIT|3MLV|46aASPD|5CDMG|7AART|8RCR|9VULN
13	32312 23551	 * 	206.59	DCR|2DMG|1AART|1VULN|2CDMG|1NUKE	1BEXP|25CDMG|3LHND|46DMG|7RCR|8VULN|9AART|aNUKE
14	53312 23551	   	206.59	DCR|2DMG|1AART|1VULN|2CDMG|1NUKE	15CDMG|2BEXP|3LHND|46DMG|7RCR|8VULN|9AART|aNUKE
15	13313 25522	 * 	206.54	DCR|4VULN|3DMG|1SELL	1FEWX|257aVULN|3SELL|469DMG|8RCR
16	13313 25533	 * 	206.54	DCR|4VULN|3DMG|1SELL	1FEWX|2579VULN|3SELL|46aDMG|8RCR
17	22131 44531	 * 	206.10	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	19DMG|2LIT|3CGEN|4VULN|5RMIN|6AART|7RCR|8CDMG|aASPD
18	22331 44531	   	206.10	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	19DMG|2LIT|3MLV|4VULN|5RMIN|6AART|7RCR|8CDMG|aASPD
19	52132 51612	   	205.36	DCR|3VULN|2AART|2CDMG	19CDMG|2AME|34AART|5BELT|6RCR|79LHND|89aVULN|9BPWR
20	52132 52612	   	205.36	DCR|3VULN|2AART|2CDMG	19CDMG|2AME|34AART|5BELT|6RCR|79LWND|89aVULN|9BPWR
21	52132 54212	   	205.36	DCR|3VULN|2AART|2CDMG	19CDMG|2AME|34AART|5BELT|6RCR|79aVULN|89BEXP|9BPWR
22	52132 54323	   	205.24	DCR|2VULN|2AART|2CDMG|2ZMB	1aCDMG|2AME|34AART|5BELT|6RCR|7aVULN|8aZMB|9RMIN|aBPWR
23	13313 25534	 * 	205.14	DCR|5VULN|2DMG|1SELL	1FEWX|2579aVULN|3SELL|46DMG|8RCR
24	33315 31136	 * 	204.54	DCR|1SPLARM|2VULN|1MDPS|1AART|1CDMG	1BEXP|26VULN|3ERES|4AART|5CDMG|7RCR|8LHND|9SPLARM|aMDPS
25	13437 41417	 * 	204.25	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD	1FEWX|27VULN|3ERES|4MBVNT|5SPLARM|6AART|8ASPD|9RCR|aMDPS
26	33337 41417	   	204.25	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD	1BEXP|27VULN|3ERES|4MBVNT|5SPLARM|6AART|8ASPD|9RCR|aMDPS
27	24435 23132	 * 	203.50	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	16DMG|2RCVC|3CDMG|4DUR|5LWND|7RCR|89AART|aASPD
28	24436 23132	   	203.50	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	16DMG|2RCVC|3CDMG|4DUR|5LHND|7RCR|89AART|aASPD
29	13313 15231	 * 	203.29	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1FEWX|258VULN|3SELL|4DMG|6LIT|7RCR|9AART|aASPD
30	25241 36223	 * 	203.24	DCR|3VULN|3DMG|1DUR	178DMG|24AME|38aVULN|58CANARM|6RCR|8BPWR|9DUR
31	25251 36223	   	203.24	DCR|3VULN|3DMG|1DUR	178DMG|2AME|38aVULN|4DMSP|58CANARM|6RCR|8BPWR|9DUR
32	25241 36232	 * 	202.71	DCR|3DMG|2VULN|1MDPS|1CDMG	178DMG|24AME|38VULN|58CANARM|6RCR|8BPWR|9CDMG|aMDPS
33	25251 36232	   	202.71	DCR|3DMG|2VULN|1MDPS|1CDMG	178DMG|2AME|38VULN|4DMSP|58CANARM|6RCR|8BPWR|9CDMG|aMDPS
34	33315 32336	   	202.54	DCR|1SPLARM|2VULN|1MDPS|1AART|1CDMG	1BEXP|26VULN|3ERES|4AART|5CDMG|7LHND|8RCR|9SPLARM|aMDPS
35	32312 23532	 * 	202.18	DCR|3DMG|1AART|1VULN|2CDMG	1BEXP|25CDMG|3LHND|469DMG|7RCR|8VULN|aAART
36	53312 23532	   	202.18	DCR|3DMG|1AART|1VULN|2CDMG	15CDMG|2BEXP|3LHND|469DMG|7RCR|8VULN|aAART
37	13413 31311	 * 	201.85	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG	1FEWX|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aNUKE
38	21313 45231	 * 	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1DMG|2CGEN|3CDMG|4LIT|58VULN|6AAC|7RCR|9AART|aASPD
39	33315 31311	   	201.85	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG	1BEXP|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aNUKE
40	26313 45231	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1DMG|2ERES|3CDMG|4LIT|58VULN|6AAC|7RCR|9AART|aASPD
41	25232 35422	 * 	201.63	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|2AME|3VULN|4LWND|5FEWX|6CDMG|7RCR|8ASPD|9AART|aNUKE
42	22516 13221	 * 	201.57	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	18DMG|28LIT|34ASPD|5VULN|6RCVC|78CDMG|8BPWR|9DUR|aRCR
43	33212 35442	   	201.53	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1BEXP|2VULN|3FEWX|4ERES|5DMG|6CDMG|7RCR|8ASPD|9AART|aNUKE
44	51423 31531	 * 	201.33	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG	16CDMG|2MDPS|3LHND|457VULN|8RCR|9ASPD|aDMG
45	22116 31166	   	200.98	DCR|2AART|2DMG|1VULN|1ASPD	18DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|9AME|aVULN
46	22316 31362	   	200.98	DCR|2AART|2DMG|1VULN|1ASPD	1aDMG|2LIT|3MLV|4ASPD|57AART|6RCR|8LWND|9VULN
47	13312 53252	 * 	200.91	DCR|3VULN|2DMG|2CDMG|1SELL	168FEWX|29aVULN|3SELL|48DMG|58CDMG|7RCR|8BPWR
48	22116 31126	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	18DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|9ERES|aVULN
49	13423 35142	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2VULN|3ERES|4DUR|5ASPD|6CDMG|7RCR|8ZMB|9AART|aDMG
50	13613 35142	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2VULN|3DUR|4ERES|5ASPD|6CDMG|7RCR|8ZMB|9AART|aDMG
