0	Index      	 *	Score 	Summary	Detail	
1	61124 13422	 * 	228.03	DCR|3ASPD|2AART|2DMG|2CDMG	17AART|25aBASARM|345ASPD|5aBPWR|6RCR|8aDMG|9aCDMG
2	61124 13421	 * 	226.69	DCR|3ASPD|2AART|1VULN|1DMG|1CDMG	17AART|25BASARM|345ASPD|5BPWR|6RCR|8DMG|9CDMG|aVULN
3	61623 23211	 * 	223.08	DCR|1SPLARM|2VULN|2AART|2ASPD	1aAART|29BASARM|3CGEN|49ASPD|5SPLARM|6LIT|79VULN|8RCR|9BPWR
4	36623 12133	 * 	215.26	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2RCVC|35VULN|4DMG|6ZMB|7ASPD|8SPLARM|9CDMG|aRCR
5	52215 13621	 * 	211.91	DCR|2VULN|2DMG|1AART|2CDMG	1BELT|2aCDMG|3LIT|4aDMG|5RCVC|6RCR|7RMIN|8AART|9aVULN|aBPWR
6	33623 12133	   	211.55	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2DMSP|35VULN|4DMG|6ZMB|7ASPD|8SPLARM|9CDMG|aRCR
7	31271 34458	 * 	210.81	DCR|4VULN|2DMG|2CDMG	1LEGI|2RPLT|3MBVNT|4589VULN|59BPWR|69CDMG|79DMG|aRCR
8	31274 34458	   	210.81	DCR|4VULN|2DMG|2CDMG	1LEGI|2RPLT|3MBVNT|4589VULN|69CDMG|79DMG|9BPWR|aRCR
9	61124 13235	 * 	210.76	DCR|3ASPD|2VULN|2AART	17AART|25BASARM|345ASPD|5BPWR|6RCR|8LHND|9aVULN
10	61124 12334	   	210.51	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	1AART|25BASARM|345ASPD|5BPWR|6RCR|7TLV|8VULN|9DMG|aCDMG
11	61124 13342	   	210.44	DCR|3ASPD|2AART|1VULN|1DMG	17AART|25BASARM|345ASPD|5BPWR|6RCR|8MLV|9DMG|aVULN
