0	Index      	 *	Score 	Summary	Detail	
1	11224 23521	 * 	222.78	DCR|3VULN|2DMG|1MDPS|1AART|1ASPD|1SELL	1MDPS|29aVULN|3SELL|45DMG|6RCR|7AART|8ASPD
2	11264 23521	 * 	221.04	DCR|4VULN|1MDPS|1AART|1ASPD|1DMG|1SELL	1MDPS|249aVULN|3SELL|5DMG|6RCR|7AART|8ASPD
3	11264 23522	 * 	219.41	DCR|3VULN|1MDPS|2ASPD|1AART|1DMG|1SELL	1MDPS|249VULN|3SELL|5DMG|6RCR|7AART|8aASPD
4	11224 23522	 * 	219.16	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1SELL	1MDPS|29VULN|3SELL|45DMG|6RCR|7AART|8aASPD
5	11224 23561	 * 	219.16	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1SELL	1MDPS|2aVULN|3SELL|45DMG|6RCR|7AART|89ASPD
6	11451 36222	 * 	215.57	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2459VULN|34LHND|4BPWR|6AART|7RCR|8CDMG|aASPD
7	11264 23432	 * 	215.52	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB|1SELL	1MDPS|248VULN|3SELL|5DMG|6RCR|7AART|9ZMB|aASPD
8	11411 36222	   	215.47	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2459VULN|3LHND|6AART|7RCR|8CDMG|aASPD
9	11411 36261	   	215.47	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|245aVULN|3LHND|6AART|7RCR|8CDMG|9ASPD
10	11511 36222	   	215.37	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2459VULN|3LEGI|6AART|7RCR|8CDMG|aASPD
11	11511 36261	   	215.37	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|245aVULN|3LEGI|6AART|7RCR|8CDMG|9ASPD
12	11551 36222	   	215.37	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2459VULN|3LEGI|4BPWR|6AART|7RCR|8CDMG|aASPD
13	11224 23432	 * 	215.28	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB|1SELL	1MDPS|28VULN|3SELL|45DMG|6RCR|7AART|9ZMB|aASPD
14	11224 23431	 * 	213.05	DCR|3VULN|2DMG|1MDPS|1AART|1ZMB|1SELL	1MDPS|28aVULN|3SELL|45DMG|6RCR|7AART|9ZMB
15	11224 23562	 * 	211.71	DCR|3ASPD|2DMG|1MDPS|1VULN|1AART|1SELL	1MDPS|2VULN|3SELL|45DMG|6RCR|7AART|89aASPD
16	11264 23431	 * 	211.31	DCR|4VULN|1MDPS|1AART|1DMG|1ZMB|1SELL	1MDPS|248aVULN|3SELL|5DMG|6RCR|7AART|9ZMB
17	11224 23461	 * 	211.02	DCR|3VULN|2DMG|1MDPS|1AART|1DUR|1SELL	1MDPS|28aVULN|3SELL|45DMG|6RCR|7AART|9DUR
18	11126 52134	 * 	210.23	DCR|3VULN|1SPLARM|1MDPS|1AART|1ASPD|1ZMB	1MDPS|257VULN|3BELT|4AART|6RCR|8ZMB|9ASPD|aSPLARM
