0	Index      	 *	Score 	Summary	Detail	
1	34233 33246	 * 	225.41	DCR|3VULN|3DMG|2CDMG|1AAC|1SELL	1RMIN|24aVULN|3aCDMG|5AAC|6RCR|78aDMG|9SELL|aBPWR
2	11631 12672	 * 	221.60	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	1BELT|29ASPD|3AART|4MBVNT|5DUST|69VULN|79CDMG|8RCR|9BPWR|aDMG
3	11631 12673	 * 	220.36	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1BELT|29ASPD|3AART|4MBVNT|5DUST|69VULN|79CDMG|8RCR|9BPWR|aMDPS
4	34233 33115	 * 	218.42	DCR|4VULN|2DMG|1CDMG|1AAC	1RMIN|249aVULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR
5	34233 33312	   	218.42	DCR|4VULN|2DMG|1CDMG|1AAC	1RMIN|249aVULN|3CDMG|5AAC|6RCR|79DMG|89CGEN|9BPWR
6	34233 35215	   	218.22	DCR|4VULN|2DMG|1CDMG|1AAC	1RMIN|249aVULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR
7	34251 33216	 * 	217.96	DCR|2VULN|2DMG|3CDMG|1ZMB|1DUR	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7CGEN|89DMG|9BPWR|aDUR
8	34261 31216	   	217.96	DCR|2VULN|2DMG|3CDMG|1ZMB|1DUR	1RMIN|29VULN|359CDMG|4CGEN|6RCR|7ZMB|89DMG|9BPWR|aDUR
9	34312 31215	   	215.89	DCR|3VULN|2DMG|1CDMG|1ZMB	1RMIN|29aVULN|39MLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR
10	34512 31212	   	215.69	DCR|3VULN|2DMG|1CDMG|1ZMB	1RMIN|29aVULN|39ERES|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR
11	34322 31215	   	214.27	DCR|3VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29aVULN|39MLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR
12	34522 31212	   	214.07	DCR|3VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29aVULN|39ERES|5CDMG|6RCR|7ZMB|89DMG|9BPWR
13	11225 24161	 * 	209.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1BELT|2ASPD|3AME|4DMG|5AART|67aVULN|8ZMB|9RCR
14	34251 33211	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7aCGEN|89DMG|9BPWR
15	34251 33213	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7CGEN|89DMG|9BPWR|aDMSP
16	34251 33214	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7CGEN|89DMG|9BPWR|aBELT
17	34261 31211	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4aCGEN|6RCR|7ZMB|89DMG|9BPWR
18	34261 31213	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4CGEN|6RCR|7ZMB|89DMG|9BPWR|aDMSP
19	34261 31214	   	209.65	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4CGEN|6RCR|7ZMB|89DMG|9BPWR|aBELT
20	34251 33212	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB|1MSE	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7CGEN|89DMG|9BPWR|aMSE
21	34251 33215	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7CGEN|89DMG|9BPWR|aMBVNT
22	34251 35211	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7TLV|89DMG|9BPWR|aCGEN
23	34251 35212	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7TLV|89DMG|9BPWR|aBELT
24	34251 35213	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4ZMB|6RCR|7TLV|89DMG|9BPWR|aAELBLL
25	34261 31212	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB|1MSE	1RMIN|29VULN|359CDMG|4CGEN|6RCR|7ZMB|89DMG|9BPWR|aMSE
26	34261 31215	   	209.55	DCR|2VULN|2DMG|3CDMG|1ZMB	1RMIN|29VULN|359CDMG|4CGEN|6RCR|7ZMB|89DMG|9BPWR|aMBVNT
27	32256 23511	 * 	207.18	DCR|3VULN|3ZMB|1DMG|1CDMG	1RMIN|279LHND|3CDMG|479ZMB|5DLOT|679VULN|79BPWR|8RCR|aDMG
28	13513 66213	 * 	207.03	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB|1DUR	1BELT|2DUR|3MDPS|46VULN|56ASPD|6BPWR|7DMG|8ZMB|9RCR|aCDMG
29	11661 33153	 * 	206.17	DCR|2VULN|2AART|1MDPS|2ASPD|1ZMB	1BELT|25ASPD|36AART|4MDPS|5BPWR|7RCR|8ZMB|9aVULN
30	33426 13232	 * 	206.00	DCR|2VULN|2AART|2DMG|1SELL	1RMIN|2SELL|34AART|59DMG|6AME|7RCR|8aVULN
31	34241 41312	   	205.00	DCR|3VULN|2DMG|1CDMG|1ZMB	1RMIN|289VULN|3CDMG|49LHND|5ZMB|6CGEN|79DMG|9BPWR|aRCR
32	34216 31236	 * 	204.94	DCR|3VULN|1ASPD|1DMG|1CDMG	1RMIN|27aVULN|3CDMG|4LWND|5DMG|6RCR|8ASPD|9CGEN
33	34226 31236	   	204.94	DCR|3VULN|1ASPD|1DMG|1CDMG	1RMIN|27aVULN|3CDMG|4BEXP|5DMG|6RCR|8ASPD|9CGEN
34	34216 31223	 * 	204.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	1RMIN|27VULN|3CDMG|4LWND|5aDMG|6RCR|8ASPD|9SELL
35	34226 31223	 * 	204.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	1RMIN|27VULN|3CDMG|4BEXP|5aDMG|6RCR|8ASPD|9SELL
36	34246 31223	 * 	204.46	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	1RMIN|27VULN|3CDMG|4LHND|5aDMG|6RCR|8ASPD|9SELL
37	11225 33241	 * 	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1BELT|2ASPD|3AME|48DMG|5AART|6MLV|7RCR|9aVULN
38	23351 35212	 * 	203.06	DCR|3VULN|2DMG|2CDMG	139AELBLL|23CDMG|39BPWR|49aVULN|5DUST|6RCR|7ERES|89DMG
39	32256 23512	 * 	202.97	DCR|4VULN|3ZMB|1CDMG	1RMIN|279LHND|3CDMG|479ZMB|5DLOT|679aVULN|79BPWR|8RCR
40	34233 33111	   	202.57	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR|aLHND
41	34233 33116	   	202.57	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR|aMLV
42	34233 33311	   	202.57	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89CGEN|9BPWR|aLHND
43	34233 33313	   	202.57	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89CGEN|9BPWR|aFEWX
44	34233 33316	   	202.57	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89CGEN|9BPWR|aMLV
45	34233 33112	   	202.47	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR|aERES
46	34233 33113	   	202.47	DCR|3VULN|2DMG|1CDMG|1AAC|1MSE	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR|aMSE
47	34233 33114	   	202.47	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89AME|9BPWR|aDUST
