0	Index      	 *	Score 	Summary	Detail	
1	44331 32433	 * 	221.50	DCR|2VULN|2ASPD|1AART|2CDMG|1NUKE	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aNUKE
2	35625 21121	 * 	220.82	DCR|3VULN|1MDPS|2ASPD|2CDMG|1DUR	18ASPD|26CDMG|3DUR|4LIT|567VULN|6BPWR|9RCR|aMDPS
3	41331 62633	 * 	219.68	DCR|3VULN|1AART|1ASPD|1NUKE|1CDMG	1TLV|2FEWX|3CDMG|4ASPD|5AART|689VULN|7RCR|aNUKE
4	34133 13335	 * 	219.01	DCR|3ASPD|2VULN|2DMG|1CDMG	14aASPD|2RPLT|3ERES|5aDMG|6MLV|7CDMG|8aVULN|9RCR|aBPWR
5	32155 61233	 * 	218.79	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ASPD|23AART|4DMG|5ZMB|6RCVC|7RCR|8DUR|9CDMG|aVULN
6	32621 11243	 * 	217.29	DCR|2AART|2ASPD|1VULN|2CDMG|1DMG	1aASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9VULN
7	32131 43363	 * 	216.27	DCR|3VULN|2AART|1MDPS|1ASPD	1ASPD|23AART|4LIT|5TLV|679VULN|8RCR|aMDPS
8	23253 13363	 * 	216.24	DCR|4VULN|1MDPS|1AART|1ASPD	1379VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|aMDPS
9	23353 13363	   	216.14	DCR|4VULN|1MDPS|1AART|1ASPD	1379VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|aMDPS
10	23433 13363	   	216.04	DCR|4VULN|1MDPS|1AART|1ASPD	1479VULN|2LIT|3ERES|5ASPD|6AART|8RCR|aMDPS
11	32155 61131	 * 	215.75	DCR|3AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|23aAART|4DMG|5ZMB|6RCVC|7RCR|8VULN|9CDMG
12	35242 43112	 * 	214.91	DCR|2VULN|2DMG|2ASPD|2CDMG	18ASPD|28CDMG|3RCVC|49VULN|5ERES|6RPLT|78DMG|8BPWR|aRCR
13	32621 11462	 * 	214.26	DCR|2AART|2DMG|2ASPD|3CDMG	19ASPD|24AART|368CDMG|59DMG|7DMSP|9BPWR|aRCR
14	32631 11243	 * 	214.14	DCR|3ASPD|1VULN|1AART|2CDMG|1DMG	14aASPD|2AART|36CDMG|5DMG|7DMSP|8RCR|9VULN
15	44332 42433	   	213.97	DCR|2VULN|2ASPD|1AART|1NUKE|1CDMG	1TLV|2MBVNT|3CDMG|45ASPD|6AART|79VULN|8RCR|aNUKE
16	31224 43632	 * 	212.83	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1ASPD|2FEWX|3BEXP|4DMG|59VULN|6DUR|7RCR|8AART|aMDPS
17	32611 22232	   	212.04	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1aASPD|2AART|3aCDMG|4RMIN|5LHND|6DUR|7RCR|8RPLT|9aVULN|aBPWR
18	21333 84837	 * 	211.86	DCR|4VULN|2ASPD|3ZMB	168aVULN|28aTLV|3LWND|4MBVNT|56ASPD|68aBPWR|78aZMB|9RCR
19	32412 12641	 * 	211.81	DCR|3ASPD|2VULN|1MDPS|1AART	159ASPD|2AART|39VULN|4LWND|6AME|7RCR|89CGEN|9BPWR|aMDPS
20	32412 22641	   	211.71	DCR|3ASPD|2VULN|1MDPS|1AART	159ASPD|2AART|39VULN|4LWND|6ERES|7RCR|89CGEN|9BPWR|aMDPS
21	32621 11244	   	211.38	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1ASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aDUR
22	36332 24732	 * 	211.34	DCR|3VULN|2ASPD|1AART|2DUR	1aASPD|29aVULN|3LWND|4MBVNT|5FEWX|6aDUR|7RCR|8AART|aBPWR
23	23222 43532	 * 	211.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	136VULN|23LIT|36BPWR|4DUST|56DUR|7DMG|8ASPD|9AART|aRCR
24	32631 11461	 * 	211.11	DCR|3ASPD|2DMG|3CDMG|1AART	149ASPD|2AART|368CDMG|59DMG|7DMSP|9BPWR|aRCR
25	23322 43532	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	136VULN|2LIT|4DUST|56DUR|6BPWR|7DMG|8ASPD|9AART|aRCR
26	24232 43532	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	136VULN|23DUST|36BPWR|4LIT|56DUR|7DMG|8ASPD|9AART|aRCR
27	32621 36613	 * 	211.03	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD|1CDMG	1ASPD|24AART|3CDMG|5aDMG|6MDPS|7VULN|8TLV|9RCR
28	21333 87115	 * 	210.52	DCR|3VULN|3ASPD|1AART	168VULN|2TLV|3LWND|4MBVNT|569ASPD|6BPWR|7RCR|aAART
29	32155 61132	   	210.48	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|23AART|4DMG|5ZMB|6RCVC|7RCR|8VULN|9CDMG|aAME
30	32155 61133	   	210.48	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|23AART|4DMG|5ZMB|6RCVC|7RCR|8VULN|9CDMG|aAELBLL
31	32621 11246	 * 	210.13	DCR|2AART|3CDMG|1VULN|1ASPD|1DMG	1ASPD|24AART|36aCDMG|5DMG|7DMSP|8RCR|9VULN
32	32621 51243	   	209.86	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1aASPD|24AART|3CDMG|5DMG|6AELBLL|7DMSP|8RCR|9VULN
33	44331 32434	   	209.74	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aDUR
34	32225 61241	 * 	209.67	DCR|1SPLARM|2ASPD|1VULN|1AART|1AAC|1ZMB|1DUR	14ASPD|2AART|3AAC|5ZMB|6RCVC|7RCR|8DUR|9SPLARM|aVULN
