0	Index      	 *	Score 	Summary	Detail	
1	12126 51523	 * 	213.68	DCR|2VULN|2ASPD|3CDMG|1AART	1RMIN|259CDMG|39VULN|4RCVC|69ASPD|7RCR|8RPLT|9BPWR|aAART
2	55133 42321	 * 	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2FEWX|3DUR|4RMIN|5DMG|69aVULN|7RCR|8AART
3	22633 42321	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ERES|2DUR|3DMG|4BEXP|5ASPD|69aVULN|7RCR|8AART
4	52631 42321	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|3DMG|4BEXP|5TLV|69aVULN|7RCR|8AART
5	12153 43413	 * 	211.51	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB	1RMIN|2CDMG|3aVULN|4AME|5LIT|6RCR|7aZMB|8ASPD|9aDMG|aBPWR
6	52164 31332	 * 	211.49	DCR|3ASPD|2VULN|2CDMG|3DUR	16aASPD|23aDUR|4ERES|56CDMG|6aBPWR|7RCR|8DMSP|9aVULN
7	12163 43413	   	211.41	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB	1RMIN|2CDMG|3aVULN|4TLV|5LIT|6RCR|7aZMB|8ASPD|9aDMG|aBPWR
8	51134 33343	 * 	210.43	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1ASPD|2AAC|3DMG|4AART|5AELBLL|6RCR|7aVULN|8SPLARM|9DUR
9	55133 42323	 * 	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3DUR|4RMIN|5DMG|69VULN|7RCR|8AART|aCDMG
10	22633 42323	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2DUR|3DMG|4BEXP|5ASPD|69VULN|7RCR|8AART|aCDMG
11	52631 42323	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|3DMG|4BEXP|5TLV|69VULN|7RCR|8AART|aCDMG
