0	Index      	 *	Score 	Summary	Detail	
1	24256 32211	 * 	222.06	DCR|4VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD
2	24234 32235	 * 	218.79	DCR|2VULN|2DMG|2ASPD|2CDMG	1DMSP|2aDMG|34VULN|5aASPD|6RPLT|7RCR|8RCVC|9aCDMG|aBPWR
3	13322 43515	 * 	216.60	DCR|3VULN|2DMG|2ASPD	1RMIN|2aDMG|3FEWX|49aVULN|5TLV|6CGEN|7aASPD|8RCR|aBPWR
4	32513 51114	   	215.98	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|39aVULN|4ZMB|5ASPD|7RCR|8LWND
5	24231 52216	 * 	214.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1DMSP|27DMG|34VULN|56DUR|8RCR|9ASPD|aAART
6	24254 32122	 * 	213.90	DCR|3DMG|2VULN|1ASPD|1ZMB|1DUR	1DMSP|24aDMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8DUR|9ZMB
7	24256 33211	   	213.75	DCR|4VULN|2DMG|1ASPD	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7BEXP|8RCR|9ASPD
8	14134 32433	 * 	213.65	DCR|3VULN|3ASPD|1AART	1RMIN|278ASPD|3ERES|467VULN|57MLV|7BPWR|9RCR|aAART
9	15132 32433	   	213.65	DCR|3VULN|3ASPD|1AART	1RMIN|27AME|3ERES|467VULN|578ASPD|7BPWR|9RCR|aAART
10	14633 32433	   	213.55	DCR|3VULN|3ASPD|1AART	1RMIN|278ASPD|3AME|467VULN|57TLV|7BPWR|9RCR|aAART
11	14133 32433	   	213.45	DCR|3VULN|3ASPD|1AART	1RMIN|278ASPD|3ERES|467VULN|57TLV|7BPWR|9RCR|aAART
12	24236 32216	 * 	212.30	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DMSP|2DMG|346VULN|5RCVC|7DUR|8RCR|9ASPD|aAART
13	11643 22235	 * 	211.27	DCR|3VULN|2DMG|2CDMG	1RMIN|2RPLT|3aDMG|45aVULN|68RCVC|7RCR|9aCDMG|aBPWR
14	24253 23612	 * 	211.00	DCR|3VULN|3DMG|1MDPS|1ASPD	1DMSP|246DMG|347VULN|4BPWR|5MDPS|8RCR|9MLV|aASPD
