0	Index      	 *	Score 	Summary	Detail	
1	23436 11613	 * 	247.08	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|2ZMB	139VULN|29DUR|4ASPD|5DMG|69ZMB|7RCR|8AART|9BPWR|aCDMG
2	23433 11613	 * 	235.90	DCR|3VULN|2ASPD|1AART|1CDMG|2ZMB|1AAC|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aCDMG
3	23436 11611	   	230.83	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|2ZMB	139VULN|29DUR|4ASPD|5DMG|69ZMB|7RCR|8AART|9BPWR|aAELBLL
4	23436 11612	   	230.83	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|2ZMB	139VULN|29DUR|4ASPD|5DMG|69ZMB|7RCR|8AART|9BPWR|aMLV
5	23436 14321	   	226.44	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|2ZMB	137VULN|27DUR|4ASPD|5DMG|67ZMB|7BPWR|8AART|9RCVC|aRCR
6	23436 14311	   	224.83	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|2ZMB	137VULN|27DUR|4ASPD|5DMG|67ZMB|7BPWR|8AART|9CGEN|aRCR
7	61436 28141	 * 	220.08	DCR|3DMG|2VULN|1AART|2DUR|2ZMB	17ZMB|2MBVNT|36DUR|47VULN|579DMG|7BPWR|8AART|aRCR
8	23433 11611	   	219.65	DCR|3VULN|2ASPD|1AART|1AAC|2ZMB|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aAELBLL
9	23433 11612	   	219.65	DCR|3VULN|2ASPD|1AART|1AAC|2ZMB|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aMLV
10	23433 11614	   	219.65	DCR|3VULN|2ASPD|1AART|1AAC|2ZMB|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aLIT
11	23433 11615	   	219.55	DCR|3VULN|2ASPD|1AART|1AAC|2ZMB|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aLEGI
12	23433 11616	   	219.55	DCR|3VULN|2ASPD|1AART|1AAC|2ZMB|1DUR	139VULN|2DUR|49ASPD|5AAC|69ZMB|7RCR|8AART|9BPWR|aERES
13	61413 28141	   	217.64	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	17ZMB|2MBVNT|3DUR|479DMG|5RCVC|67VULN|7BPWR|8AART|aRCR
14	61436 38141	   	217.34	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	17ZMB|2MBVNT|3DUR|47VULN|579DMG|6RCVC|7BPWR|8AART|aRCR
