0	Index      	 *	Score 	Summary	Detail	
1	35112 25341	 * 	237.61	DCR|2VULN|2AART|2DMG|1ASPD|1CDMG	19VULN|2ASPD|38DMG|4LWND|5aAART|6RCR|7CDMG
2	35112 25326	 * 	237.19	DCR|3DMG|2VULN|1AART|1ASPD|1CDMG	1aVULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG
3	35112 26222	 * 	233.50	DCR|3VULN|2ASPD|1AART|1DMG|2ZMB	18aVULN|2aASPD|3DMG|4LWND|5AART|6RCR|7aZMB|9BELT|aBPWR
4	35112 25343	   	229.85	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	19VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7CDMG|aDUR
5	35223 16413	   	224.22	DCR|3VULN|1AART|1ASPD|1DMG|2ZMB	148VULN|2ASPD|3RMIN|58LIT|68ZMB|7RCR|8BPWR|9AART|aDMG
6	35112 21642	 * 	224.12	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	19VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7LIT|aMDPS
7	15122 21642	   	224.02	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1DUST|2ASPD|38DMG|49VULN|5AART|6RCR|7LIT|aMDPS
8	21535 12241	   	223.86	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	1CGEN|2aAART|35DMG|4DUR|6CDMG|7RCR|89VULN
9	21535 12226	   	223.44	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	1CGEN|2AART|359DMG|4DUR|6CDMG|7RCR|8aVULN
10	35223 32461	 * 	223.01	DCR|3VULN|2DMG|2ASPD|1DUR	148VULN|28ASPD|3RMIN|5LIT|6BEXP|78DMG|8BPWR|9RCR|aDUR
11	35112 25143	 * 	222.78	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7CDMG|8FEWX|aMDPS
12	35112 25243	   	222.78	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7CDMG|8BEXP|aMDPS
13	15112 23343	   	222.68	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3DMG|4LWND|5AART|6RCR|79VULN|8CDMG|aMDPS
14	15161 23343	   	222.68	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3DMG|4AART|5LHND|6RCR|79VULN|8CDMG|aMDPS
15	35112 24343	   	222.68	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7DUST|8CDMG|aMDPS
16	35112 25342	   	221.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	19VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7CDMG|aLIT
17	21511 23344	   	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CGEN|2AART|38DMG|4CDMG|5DUST|6RCR|79VULN|aASPD
18	35223 16513	   	220.81	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	148VULN|2ASPD|3RMIN|5LIT|6ZMB|7RCR|9AART|aDMG
19	35112 21142	 * 	220.75	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	19VULN|28ASPD|3DMG|4LWND|5AART|6RCR|7LIT|aMDPS
20	15122 21142	   	220.65	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1DUST|28ASPD|3DMG|49VULN|5AART|6RCR|7LIT|aMDPS
21	21521 12363	 * 	220.42	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	19CGEN|2AART|39DMG|4RMIN|5ERES|6CDMG|7RCR|89ASPD|9BPWR|aVULN
22	51535 12222	 * 	219.03	DCR|3DMG|2AART|1VULN|1CDMG|1DUR	1TLV|2aAART|359DMG|4DUR|6CDMG|7RCR|8VULN
23	15122 21146	 * 	218.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DUST|28ASPD|3DMG|49VULN|5AART|6RCR|7LIT|aCDMG
24	21515 12363	   	217.64	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	19CGEN|2AART|39DMG|4CDMG|5ERES|6RMIN|7RCR|89ASPD|9BPWR|aVULN
25	21511 23341	   	217.45	DCR|2VULN|2AART|2DMG|1CDMG	1CGEN|2aAART|38DMG|4CDMG|5DUST|6RCR|79VULN
26	15222 66231	   	217.07	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|2aASPD|3RMIN|47VULN|5AART|6RCR|8DUR|9DMG
27	21511 23326	   	217.03	DCR|3DMG|2VULN|1AART|1CDMG	1CGEN|2AART|389DMG|4CDMG|5DUST|6RCR|7aVULN
