0	Index      	 *	Score 	Summary	Detail	
1	54311 21622	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7ASPD|8aVULN|9DMG
2	21162 42538	   	212.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3DUR|4AART|5CDMG|6RCR|7aVULN|8DMG|9ASPD
3	53211 26111	 * 	211.97	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78aVULN|9LIT
4	21162 42524	   	209.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3DUR|4AART|5CDMG|6RCR|79aVULN|8DMG
5	21865 13433	 * 	209.19	DCR|3VULN|2DMG|1AART|1ZMB	1ERES|2MBVNT|379VULN|4AART|5ZMB|6aDMG|8RCR
6	53331 26111	 * 	209.15	DCR|3VULN|1AART|2CDMG|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|78aVULN|9LIT
7	53411 11432	 * 	207.94	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1AART|28CDMG|3LHND|4BELT|58ASPD|68VULN|7LEGI|8BPWR|9RCR|aDUR
8	53211 26163	 * 	206.84	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9MDPS|aAAC
9	53211 26136	   	204.79	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aRCVC|4RMIN|5DMG|6RCR|78VULN|9ZMB
10	53211 26131	   	204.47	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9ZMB|aLWND
11	53211 26132	   	204.47	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9ZMB|aBEXP
12	53211 26133	   	204.47	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9ZMB|aRPLT
13	53211 26135	   	204.47	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9ZMB|aMLV
14	53331 26163	 * 	204.02	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9MDPS|aAAC
15	56612 23233	 * 	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MDPS|3aVULN|4CDMG|5DMG|6RCR|7BEXP|8ASPD|9LHND
16	53211 26161	   	203.40	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9MDPS|aFEWX
17	53211 26162	   	203.40	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9MDPS|aBEXP
18	52121 44633	   	203.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|456VULN|79DMG|8DUR|aRCR
19	52124 38633	   	203.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|467VULN|59DMG|8DUR|aRCR
20	56612 21113	 * 	203.20	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1AAC	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LWND|aAAC
21	56612 21123	   	203.20	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1AAC	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LHND|aAAC
22	56612 21133	   	203.10	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1AAC	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9ERES|aAAC
23	53233 13452	 * 	202.29	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	18AART|24CDMG|3RCVC|5ASPD|6VULN|7DUST|9DMG|aRCR
24	53311 26111	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|34MLV|5DMG|6RCR|78aVULN|9LIT
25	53331 26131	   	201.65	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9ZMB|aLHND
26	53331 26132	   	201.65	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9ZMB|aBEXP
27	53331 26133	   	201.65	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9ZMB|aRPLT
28	53331 26134	   	201.65	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9ZMB|aLWND
29	53331 26135	   	201.65	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3aMLV|5DMG|6RCR|78VULN|9ZMB
30	53331 26136	   	201.55	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9ZMB|aBASARM
31	52121 44673	 * 	201.52	DCR|4VULN|1AART|1DMG|1DUR	1AART|2LIT|3MBVNT|4569VULN|7DMG|8DUR|aRCR
32	52173 47333	 * 	201.51	DCR|2VULN|2AART|2DMG|1DUR	15AART|2LIT|3MBVNT|4DUR|67VULN|89DMG|aRCR
33	54311 21623	   	201.23	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1ZMB	1AART|2ZMB|3RPLT|4aCDMG|5LEGI|6RCR|7ASPD|8VULN|9DMG
34	53331 26161	   	200.58	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9MDPS|aFEWX
35	53331 26162	   	200.58	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9MDPS|aBEXP
36	56612 21112	   	199.86	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LWND|aLHND
37	56612 21122	   	199.86	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LHND|aLWND
38	56612 21111	   	199.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LWND|aDUST
