0	Index      	 *	Score 	Summary	Detail	
1	25414 22222	 * 	244.30	DCR|2SPLARM|2VULN|2DMG|2ASPD|1DUR	18ASPD|2RCVC|3DUR|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9aVULN
2	21226 26433	 * 	242.91	DCR|3VULN|1SPLARM|2DMG|2ASPD	1aASPD|2CGEN|3aDMG|4FEWX|5SPLARM|6RCR|79aVULN|8RPLT|aBPWR
3	25314 22222	   	235.90	DCR|2SPLARM|2VULN|2DMG|2ASPD	18ASPD|2RCVC|3DUST|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9aVULN
4	25414 22224	   	229.17	DCR|2SPLARM|2DMG|2ASPD|1VULN|2DUR	18ASPD|2RCVC|3aDUR|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9VULN
5	21226 26633	   	227.11	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG	1ASPD|2CGEN|3aDMG|4aFEWX|5SPLARM|6RCR|7aVULN|8CDMG|9BEXP|aBPWR
6	25414 22212	   	223.92	DCR|2SPLARM|2DMG|2ASPD|1VULN|1DUR	18ASPD|2RCVC|3DUR|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9LWND|aVULN
7	25414 22223	   	223.92	DCR|2SPLARM|2DMG|2ASPD|1VULN|1DUR	18ASPD|2RCVC|3DUR|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9VULN|aRMIN
8	25314 22224	   	223.82	DCR|2SPLARM|2DMG|2ASPD|1VULN|1DUR	18ASPD|2RCVC|3DUST|48DMG|58SPLARM|6RCR|7MBVNT|8BPWR|9VULN|aDUR
9	25314 24233	   	223.82	DCR|2SPLARM|2DMG|2ASPD|1VULN|1DUR	18ASPD|2RCVC|37DUST|48DMG|58SPLARM|6RCR|8BPWR|9VULN|aDUR
10	25314 24221	   	223.82	DCR|2SPLARM|2DMG|2ASPD|1VULN|1DUR	18ASPD|2RCVC|37DUST|48DMG|58SPLARM|6RCR|8BPWR|9DUR|aVULN
11	11123 42223	 * 	222.51	DCR|1SPLARM|3DMG|2VULN|1ASPD	167DMG|237CGEN|4RCVC|57VULN|7BPWR|8RCR|9ASPD|aSPLARM
12	15623 42223	   	222.51	DCR|1SPLARM|3DMG|2VULN|1ASPD	167DMG|24RCVC|37CGEN|57VULN|7BPWR|8RCR|9ASPD|aSPLARM
13	25414 22244	 * 	221.04	DCR|2SPLARM|3DMG|2ASPD|2DUR	18ASPD|2RCVC|3aDUR|489DMG|58SPLARM|6RCR|7MBVNT|8BPWR
14	25414 23222	   	221.04	DCR|1SPLARM|2VULN|2ASPD|1DMG|2DUR	18ASPD|2RCVC|38DUR|4DMG|5SPLARM|6RCR|78FEWX|8BPWR|9aVULN
15	21661 42112	 * 	218.88	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG|1ZMB	1ASPD|2CGEN|35AART|4RPLT|6ZMB|7SPLARM|8RCR|9DMG|aVULN
16	21226 21635	 * 	216.85	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1ASPD|2CGEN|3DMG|4FEWX|5SPLARM|6RCR|7MLV|8AART|9aVULN
17	21226 22236	   	216.75	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1ASPD|2CGEN|3DMG|4FEWX|5SPLARM|6RCR|7DUST|8aVULN|9AART
18	21226 26136	   	216.75	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1ASPD|2CGEN|3DMG|4FEWX|5SPLARM|6RCR|7aVULN|8DUST|9AART
19	14131 41613	 * 	215.31	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|1DUR	1aDMG|2BEXP|3aCDMG|4LWND|5AART|6DUR|7RCR|8MDPS|9aVULN|aBPWR
20	16111 41613	   	215.31	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|1DUR	1aDMG|2LHND|3aCDMG|4BEXP|5AART|6DUR|7RCR|8MDPS|9aVULN|aBPWR
21	16121 51613	   	215.21	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1DUR	1aDMG|2LHND|3aCDMG|4DUR|5AART|6DUST|7RCR|8MDPS|9aVULN|aBPWR
22	21166 33631	   	214.85	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1ASPD|23CGEN|4BEXP|59VULN|6SPLARM|7RCR|8AART|aDMG
23	32136 33631	   	214.85	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1LHND|2DMSP|3CGEN|4ASPD|59VULN|6SPLARM|7RCR|8AART|aDMG
24	36136 33631	   	214.85	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1LHND|2RCVC|3CGEN|4ASPD|59VULN|6SPLARM|7RCR|8AART|aDMG
25	21366 33631	   	214.65	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1ASPD|2CGEN|34DUST|59VULN|6SPLARM|7RCR|8AART|aDMG
