0	Index      	 *	Score 	Summary	Detail	
1	26413 32151	 * 	249.13	DCR|3VULN|3DMG|1AART|1ASPD|1CDMG	1AART|235DMG|35BPWR|45aVULN|6ASPD|7CGEN|8CDMG|9RCR
2	21413 32151	 * 	243.03	DCR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45aVULN|6DMG|7CGEN|8CDMG|9RCR
3	52413 32151	   	243.03	DCR|3VULN|3ASPD|1AART|1DMG|1CDMG	135ASPD|2AART|35BPWR|45aVULN|6DMG|7CGEN|8CDMG|9RCR
4	23114 11321	   	240.34	DCR|3VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|28aVULN|3DMG|4ZMB|57ASPD|6CDMG|9RCR
5	26413 22151	   	239.40	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB	1AART|235DMG|35BPWR|45aVULN|6ZMB|7CGEN|8CDMG|9RCR
6	23114 11325	 * 	238.58	DCR|2VULN|2AART|2ASPD|1DMG|1CDMG|1ZMB	1aAART|28VULN|3DMG|4ZMB|57ASPD|6CDMG|9RCR
7	21413 31451	 * 	237.56	DCR|3ASPD|2VULN|1AART|2CDMG|1DMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7SPLREG|89CDMG|aRCR
8	21413 62153	 * 	234.76	DCR|3ASPD|2VULN|2AART|1CDMG|2DUR	17AART|235ASPD|35BPWR|45VULN|6aDUR|8CDMG|9RCR
9	26413 21351	 * 	233.93	DCR|3DMG|2VULN|1AART|2CDMG|1ZMB	1AART|235DMG|35BPWR|45VULN|6ZMB|7SPLREG|89CDMG|aRCR
10	21413 22151	   	233.30	DCR|3VULN|3ASPD|1AART|1CDMG|1ZMB	1AART|235ASPD|35BPWR|45aVULN|6ZMB|7CGEN|8CDMG|9RCR
11	52413 22151	   	233.30	DCR|3VULN|3ASPD|1AART|1CDMG|1ZMB	135ASPD|2AART|35BPWR|45aVULN|6ZMB|7CGEN|8CDMG|9RCR
12	26413 32152	   	231.29	DCR|3DMG|2VULN|1AART|1ASPD|1CDMG	1AART|235DMG|35BPWR|45VULN|6ASPD|7CGEN|8CDMG|9RCR|aRPLT
13	26413 32153	   	231.29	DCR|3DMG|2VULN|1AART|1ASPD|1CDMG	1AART|235DMG|35BPWR|45VULN|6ASPD|7CGEN|8CDMG|9RCR|aRCVC
14	21212 26343	   	230.81	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|25ASPD|3DUR|4ZMB|6CDMG|7DMG|8aVULN|9RCR
15	52212 26343	   	230.81	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	15ASPD|2AART|3DUR|4ZMB|6CDMG|7DMG|8aVULN|9RCR
16	26212 11343	   	230.81	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DMG|3DUR|4ZMB|57ASPD|6CDMG|8aVULN|9RCR
17	23114 11324	   	229.93	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1ZMB	1AART|28VULN|3DMG|4ZMB|57ASPD|6aCDMG|9RCR
18	26413 21331	   	229.72	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	1AART|235DMG|35BPWR|45VULN|69ZMB|7SPLREG|8CDMG|aRCR
19	21413 52153	   	229.51	DCR|3ASPD|2VULN|2AART|1CDMG|1DUR	17AART|235ASPD|35BPWR|45VULN|6BEXP|8CDMG|9RCR|aDUR
20	21413 62152	   	229.51	DCR|3ASPD|2VULN|2AART|1CDMG|1DUR	17AART|235ASPD|35BPWR|45VULN|6DUR|8CDMG|9RCR|aRMIN
21	21413 62151	   	229.41	DCR|3ASPD|2VULN|2AART|1CDMG|1DUR	17AART|235ASPD|35BPWR|45VULN|6DUR|8CDMG|9RCR|aERES
22	23114 16321	   	229.33	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|2ZMB	1AART|28aVULN|3DMG|47ZMB|5ASPD|6CDMG|9RCR
23	26413 12151	   	228.96	DCR|3VULN|3DMG|1AART|1CDMG|1AAC	1AART|235DMG|35BPWR|45aVULN|6AAC|7CGEN|8CDMG|9RCR
24	21422 22156	 * 	228.84	DCR|3ASPD|2VULN|2AART|2CDMG	14AART|236ASPD|36aBPWR|56aLWND|7aCDMG|8aVULN|9RCR
25	21413 21351	   	227.83	DCR|3ASPD|2VULN|1AART|2CDMG|1ZMB	1AART|235ASPD|35BPWR|45VULN|6ZMB|7SPLREG|89CDMG|aRCR
26	52413 21351	   	227.83	DCR|3ASPD|2VULN|1AART|2CDMG|1ZMB	135ASPD|2AART|35BPWR|45VULN|6ZMB|7SPLREG|89CDMG|aRCR
27	23114 16325	   	227.58	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|2ZMB	1aAART|28VULN|3DMG|47ZMB|5ASPD|6CDMG|9RCR
28	21212 26341	   	226.50	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|25ASPD|3DUR|4ZMB|6CDMG|7DMG|8VULN|9RCR
29	52212 26341	   	226.50	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	15ASPD|2aAART|3DUR|4ZMB|6CDMG|7DMG|8VULN|9RCR
30	26212 11341	   	226.50	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2DMG|3DUR|4ZMB|57ASPD|6CDMG|8VULN|9RCR
31	23114 14123	   	226.12	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|28aVULN|3DMG|4ZMB|5ASPD|6CDMG|7FEWX|9RCR
32	23114 15143	   	226.12	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|28aVULN|3DMG|4ZMB|5ASPD|6CDMG|7BEXP|9RCR
33	26512 15123	   	226.12	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2DMG|3FEWX|4ZMB|5ASPD|6CDMG|78aVULN|9RCR
34	23114 12143	   	226.02	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|28aVULN|3DMG|4ZMB|5ASPD|6CDMG|7DUST|9RCR
35	23232 24651	   	225.66	DCR|3VULN|2DMG|1AART|1ASPD|1ZMB	1AART|267VULN|3LIT|47CGEN|57DMG|7BPWR|8ASPD|9ZMB|aRCR
36	32332 24651	   	225.66	DCR|3VULN|2DMG|1AART|1ASPD|1ZMB	17CGEN|2AART|3LIT|467VULN|57DMG|7BPWR|8ASPD|9ZMB|aRCR
37	21413 32152	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aRPLT
38	21413 32153	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aRCVC
39	21413 32154	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aAELBLL
40	21413 32155	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aLIT
41	52413 32152	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	135ASPD|2AART|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aRPLT
42	52413 32153	   	225.20	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	135ASPD|2AART|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aRCVC
43	21413 32156	   	225.10	DCR|3ASPD|2VULN|1AART|1DMG|1CDMG	1AART|235ASPD|35BPWR|45VULN|6DMG|7CGEN|8CDMG|9RCR|aTSLARM
44	26413 22153	   	224.78	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	1AART|235DMG|35BPWR|45VULN|6aZMB|7CGEN|8CDMG|9RCR
45	23114 14121	   	224.36	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|28VULN|3DMG|4ZMB|5ASPD|6CDMG|7FEWX|9RCR
46	23114 15141	   	224.36	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|28VULN|3DMG|4ZMB|5ASPD|6CDMG|7BEXP|9RCR
47	26512 15121	   	224.36	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|2DMG|3FEWX|4ZMB|5ASPD|6CDMG|78VULN|9RCR
48	23114 12141	   	224.26	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1ZMB	1aAART|28VULN|3DMG|4ZMB|5ASPD|6CDMG|7DUST|9RCR
49	21413 21331	   	223.62	DCR|3ASPD|2VULN|1AART|1CDMG|2ZMB	1AART|235ASPD|35BPWR|45VULN|69ZMB|7SPLREG|8CDMG|aRCR
50	52413 21331	   	223.62	DCR|3ASPD|2VULN|1AART|1CDMG|2ZMB	135ASPD|2AART|35BPWR|45VULN|69ZMB|7SPLREG|8CDMG|aRCR
51	26413 11351	   	223.50	DCR|3DMG|2VULN|1AART|2CDMG|1AAC	1AART|235DMG|35BPWR|45VULN|6AAC|7SPLREG|89CDMG|aRCR
52	21413 12151	   	222.87	DCR|3VULN|3ASPD|1AART|1CDMG|1AAC	1AART|235ASPD|35BPWR|45aVULN|6AAC|7CGEN|8CDMG|9RCR
53	21413 42151	   	222.87	DCR|3VULN|3ASPD|1AART|1CDMG	1AART|235ASPD|35BPWR|45aVULN|6ERES|7CGEN|8CDMG|9RCR
54	52413 12151	   	222.87	DCR|3VULN|3ASPD|1AART|1CDMG|1AAC	135ASPD|2AART|35BPWR|45aVULN|6AAC|7CGEN|8CDMG|9RCR
55	23114 11322	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|28VULN|3DMG|4ZMB|57ASPD|6CDMG|9RCR|aFEWX
56	23114 11323	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|28VULN|3DMG|4ZMB|57ASPD|6CDMG|9RCR|aMULARM
57	23114 11326	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|28VULN|3DMG|4ZMB|57ASPD|6CDMG|9RCR|aRCVC
58	21512 26323	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|25ASPD|3FEWX|4ZMB|6CDMG|7DMG|8aVULN|9RCR
