0	Index      	 *	Score 	Summary	Detail	
1	31332 43353	 * 	228.58	DCR|3VULN|3ASPD|2CDMG|1DMG	169VULN|25CDMG|3TLV|46aASPD|6BPWR|7DMG|8RCR
2	31132 53353	   	225.99	DCR|3VULN|2ASPD|2CDMG|1DMG|1ZMB	169VULN|25CDMG|3ZMB|4aASPD|7DMG|8RCR
3	31114 62532	 * 	223.99	DCR|3VULN|1MDPS|2ASPD|2CDMG|1DMG|1ZMB	17aVULN|27CDMG|3ZMB|4DUST|57ASPD|6MDPS|7BPWR|8DMG|9RCR
4	31332 43356	 * 	222.71	DCR|3VULN|2ASPD|3CDMG|1DMG	169VULN|25aCDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR
5	11531 22225	 * 	220.84	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG|1DUR	1DUR|267CDMG|3LHND|4DMG|56VULN|6BPWR|8ASPD|9RCR|aAART
6	31132 53356	   	218.82	DCR|3VULN|3CDMG|1ASPD|1DMG|1ZMB	169VULN|25aCDMG|3ZMB|4ASPD|7DMG|8RCR
7	31132 53333	   	217.71	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	16VULN|25CDMG|3ZMB|4ASPD|7DMG|8RCR|9MLV|aAART
8	31132 53363	   	217.71	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	16VULN|25CDMG|3ZMB|4ASPD|7DMG|8RCR|9CGEN|aAART
9	31332 43332	   	216.55	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9BASARM|aMDPS
10	31332 43341	   	216.55	DCR|3VULN|1MDPS|2ASPD|2CDMG|1DMG	16aVULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9MDPS
11	31332 43342	   	216.55	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9MDPS|aERES
12	31332 43343	   	216.55	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9MDPS|aCGEN
13	31332 43344	   	216.55	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9MDPS|aRMIN
14	31332 43345	   	216.55	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9MDPS|aDMSP
15	31332 43346	 * 	216.55	DCR|3ASPD|2VULN|1MDPS|2CDMG|1DMG	16VULN|25CDMG|3TLV|46aASPD|6BPWR|7DMG|8RCR|9MDPS
16	31332 43313	   	216.46	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	16VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|9DUR|aZMB
17	11132 34216	 * 	216.33	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3ZMB|49ASPD|5MDPS|6RCR|7VULN|8AART|aDMG
18	31332 43352	   	215.98	DCR|3VULN|2ASPD|2CDMG|1DMG	169VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|aRCVC
19	31332 43351	   	215.65	DCR|3VULN|2ASPD|2CDMG|1DMG	169VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|aLIT
20	31332 43354	   	215.65	DCR|3VULN|2ASPD|2CDMG|1DMG	169VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|aFEWX
21	31332 43355	   	215.55	DCR|3VULN|2ASPD|2CDMG|1DMG	169VULN|25CDMG|3TLV|46ASPD|6BPWR|7DMG|8RCR|aERES
22	11531 22223	   	214.90	DCR|3VULN|3CDMG|1ASPD|1DMG|1DUR	1DUR|267CDMG|3LHND|4DMG|56aVULN|6BPWR|8ASPD|9RCR
