0	Index      	 *	Score 	Summary	Detail	
1	22611 36261	 * 	203.33	DCR|3VULN|1AART|1NUKE|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9ASPD|aNUKE
2	34221 43153	 * 	202.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1LWND|24AART|3CANARM|5DUR|6aVULN|7ASPD|8CDMG|9RCR
3	34151 17222	 * 	201.71	DCR|2VULN|2AART|2DMG|1DUR	158LWND|23AART|4MBVNT|68VULN|78DMG|8BPWR|9DUR|aRCR
4	34151 13222	 * 	198.34	DCR|2VULN|2AART|2ASPD|1DUR	158LWND|23AART|4MBVNT|68VULN|78ASPD|8BPWR|9DUR|aRCR
5	52112 36261	   	196.04	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	1BELT|23AME|46VULN|5ASPD|7RCR|8AART|9ZMB|aNUKE
6	25212 26124	 * 	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aASPD
7	25212 26114	   	195.71	DCR|3VULN|1ASPD|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aASPD
8	31553 23531	 * 	195.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1LWND|2CGEN|3CDMG|4MULARM|5DMG|6VULN|79AART|8RCR|aASPD
9	25212 23154	 * 	195.12	DCR|4VULN|1AART|1DMG	1TLV|2467VULN|3LEGI|5DMG|8FEWX|9RCR|aAART
10	25212 23634	   	195.12	DCR|4VULN|1AART|1DMG	1TLV|2467VULN|3LEGI|5DMG|8LWND|9RCR|aAART
11	25312 23152	 * 	194.01	DCR|5VULN|1DMG|1DUR	1TLV|2467aVULN|3DUR|5DMG|8FEWX|9RCR
12	34151 17232	   	193.40	DCR|2VULN|2AART|2DMG	158LWND|23AART|4MBVNT|68VULN|78DMG|8BPWR|9FEWX|aRCR
