0	Index      	 *	Score 	Summary	Detail	
1	12236 12321	 * 	315.99	橙2雷电4易伤2矿等	19矿等29挖尘3敌人爆炸456a易伤7核89雷电9序列升级
2	12236 12323	 * 	313.19	橙3雷电2矿等3易伤	19矿等29挖尘3敌人爆炸456易伤7核89a雷电9序列升级
3	12236 12322	   	300.85	橙2雷电2矿等3易伤1攻速	19矿等29挖尘3敌人爆炸456易伤7核89雷电9序列升级a攻速
4	14623 33324	 * 	298.76	橙2雷电3矿等2易伤3暴击	16a矿等24a暴击34易伤46a序列升级56等级7核8a雷电9加一
5	14662 33324	   	298.61	橙2雷电3矿等2易伤3暴击	14a矿等25a暴击35易伤5a序列升级6金币生成7核8a雷电9加一
6	14623 33335	   	293.59	橙2矿等3易伤1雷电2暴击	16矿等24暴击349易伤46序列升级56等级7核8雷电a策反
7	12232 12321	   	287.25	橙2雷电2矿等3易伤	19矿等29挖尘35敌人爆炸46a易伤7核89雷电9序列升级
8	12235 12321	   	287.25	橙2雷电2矿等3易伤	19矿等29挖尘3敌人爆炸46a易伤5立即金币7核89雷电9序列升级
9	12236 12326	   	287.25	橙2雷电2矿等3易伤	19矿等29挖尘3敌人爆炸456易伤7核89雷电9序列升级a低血量敌人
10	12236 32321	   	287.25	橙2雷电2矿等3易伤	19矿等29挖尘3敌人爆炸45a易伤6双倍矿7核89雷电9序列升级
11	12236 12325	   	287.10	橙2雷电2矿等3易伤	19矿等29挖尘3敌人爆炸456易伤7核89雷电9序列升级a掉矿
