0	Index      	 *	Score 	Summary	Detail	
1	15336 21133	 * 	299.43	橙2雷电4易伤1矿等1伤害	1458易伤29额外掉落35雷电5序列升级6伤害7矿等a核
2	13225 23623	   	286.67	橙2雷电4易伤1矿等	1259易伤39敌人爆炸4金币生成6核7基地爆炸89雷电9序列升级a矿等
3	13225 21623	   	286.57	橙2雷电4易伤1矿等	1259易伤39敌人爆炸4金币生成6核7时间89雷电9序列升级a矿等
4	13425 21623	   	286.57	橙2雷电4易伤1矿等	1259易伤39基地爆炸4金币生成6核7时间89雷电9序列升级a矿等
5	13525 22723	   	286.57	橙2雷电4易伤1矿等	1259易伤3低血量敌人49金币生成6核7加一89雷电9序列升级a矿等
6	21415 12721	 * 	285.99	紫2雷电2矿等3易伤1伤害	1双倍矿2核349易伤5最后敌人69矿等7加一89雷电9序列升级a伤害
7	21412 12721	   	285.84	紫2雷电2矿等3易伤1伤害	1双倍矿2核349易伤5时间69矿等7加一89雷电9序列升级a伤害
8	21664 48421	   	285.84	紫2雷电2矿等3易伤1伤害	1双倍矿2核39矿等4加一5挖尘69雷电789易伤9序列升级a伤害
9	51412 12721	   	285.84	紫2雷电2矿等3易伤1伤害	1立即金币2核349易伤5时间69矿等7加一89雷电9序列升级a伤害
10	21415 12724	 * 	284.64	紫2雷电4易伤2矿等	1双倍矿2核349a易伤5最后敌人69矿等7加一89雷电9序列升级
11	13216 63331	   	281.96	橙4易伤1雷电1矿等1伤害	1245易伤35敌人爆炸5序列升级6基地爆炸7核8雷电9矿等a伤害
12	13351 13231	   	281.86	橙4易伤1雷电1矿等1伤害	1268易伤3最后敌人4敌人爆炸5雷电7核9矿等a伤害
13	13216 63333	 * 	281.83	橙4易伤2矿等1雷电	1245易伤35敌人爆炸5序列升级6基地爆炸7核8雷电9a矿等
14	13341 13231	   	281.76	橙4易伤1雷电1矿等1伤害	1268易伤3最后敌人4挖尘5雷电7核9矿等a伤害
15	21412 12724	 * 	281.69	紫3雷电2矿等3易伤	1双倍矿2核349易伤5时间69矿等7加一89a雷电9序列升级
16	21664 48424	   	281.69	紫3雷电2矿等3易伤	1双倍矿2核39矿等4加一5挖尘69a雷电789易伤9序列升级
17	51412 12724	   	281.69	紫3雷电2矿等3易伤	1立即金币2核349易伤5时间69矿等7加一89a雷电9序列升级
18	15312 15312	 * 	280.28	橙3雷电2矿等2易伤	1a易伤2额外掉落356雷电4最后敌人7核8a矿等9a低血量敌人a序列升级
19	15312 15342	   	280.28	橙3雷电2矿等2易伤	1a易伤2额外掉落356雷电4最后敌人7核8a矿等9a基地爆炸a序列升级
20	15336 21533	   	280.27	橙2雷电3易伤1矿等1伤害	145易伤29额外掉落35雷电5序列升级6伤害7矿等8立即金币a核
21	13363 21226	   	278.83	橙4易伤2矿等1雷电	1257易伤3最后敌人47毒液对冰67矿等7序列升级8核9时间a雷电
22	21415 12152	 * 	278.06	紫2矿等3易伤1雷电2伤害	1双倍矿2核349易伤5最后敌人69矿等7加一89伤害9序列升级a雷电
23	21412 12152	   	277.91	紫2矿等3易伤1雷电2伤害	1双倍矿2核349易伤5时间69矿等7加一89伤害9序列升级a雷电
24	51412 12152	   	277.91	紫2矿等3易伤1雷电2伤害	1立即金币2核349易伤5时间69矿等7加一89伤害9序列升级a雷电
25	42311 31423	 * 	277.02	橙3雷电2易伤1矿等3时间2暴击	1额外掉落247时间348雷电47序列升级57暴击67易伤9核a矿等
26	13516 23423	 * 	276.99	橙5易伤1雷电1矿等	12456易伤357低血量敌人5序列升级8核9雷电a矿等
27	21652 23621	   	276.94	紫2雷电2矿等2易伤1伤害1攻速	1双倍矿2核39矿等4攻速59易伤6敌人爆炸7策反89雷电9序列升级a伤害
28	21652 33621	   	276.94	紫2雷电2矿等2易伤1伤害1攻速	1双倍矿2核39矿等4攻速59易伤6低血量敌人7策反89雷电9序列升级a伤害
29	15312 16332	   	274.88	橙3雷电2矿等2易伤	1a易伤2额外掉落356雷电4最后敌人7a基地爆炸8a矿等9核a序列升级
30	13225 23621	   	274.64	橙2雷电4易伤1伤害	1259易伤39敌人爆炸4金币生成6核7基地爆炸89雷电9序列升级a伤害
31	13316 22721	   	274.54	橙2雷电4易伤1伤害	1249易伤3最后敌人59等级6核7加一89雷电9序列升级a伤害
32	13225 21621	   	274.54	橙2雷电4易伤1伤害	1259易伤39敌人爆炸4金币生成6核7时间89雷电9序列升级a伤害
33	13325 22721	   	274.54	橙2雷电4易伤1伤害	1259易伤3最后敌人49金币生成6核7加一89雷电9序列升级a伤害
34	13425 21621	   	274.54	橙2雷电4易伤1伤害	1259易伤39基地爆炸4金币生成6核7时间89雷电9序列升级a伤害
35	13525 22721	   	274.54	橙2雷电4易伤1伤害	1259易伤3低血量敌人49金币生成6核7加一89雷电9序列升级a伤害
36	42311 31421	 * 	273.21	橙3雷电3易伤3时间3暴击	1额外掉落247时间348雷电47a序列升级57a暴击67a易伤9核
37	15336 13125	   	272.64	橙2雷电4易伤1伤害	145a易伤2额外掉落35雷电5序列升级6掉矿7核8金币生成9伤害
38	15336 13325	   	272.64	橙2雷电4易伤1伤害	145a易伤2额外掉落35雷电5序列升级6掉矿7核8等级9伤害
39	13316 22724	 * 	271.37	橙5易伤2雷电	1249a易伤3最后敌人59等级6核7加一89雷电9序列升级
40	13525 22724	   	271.37	橙5易伤2雷电	1259a易伤3低血量敌人49金币生成6核7加一89雷电9序列升级
41	15336 13621	 * 	271.06	橙2雷电3易伤2伤害	145易伤2a额外掉落35雷电5序列升级6掉矿7核89伤害
42	15336 13622	   	271.06	橙2雷电3易伤2伤害	145易伤2额外掉落35雷电5序列升级6掉矿7核89伤害a敌人爆炸
43	15336 13623	   	270.96	橙2雷电3易伤2伤害	145易伤2额外掉落35雷电5序列升级6掉矿7核89伤害a挖青
