0	Index      	 *	Score 	Summary	Detail	
1	32125 34252	 * 	310.61	DCR|2LIT|2MLV|2VULN|2DMG	18VULN|2NUKE|3CRUSTR|48MLV|58DMG|6AART|7RCR|8BPWR|9aLIT
2	36413 35313	 * 	296.67	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9RPLT|aASPD
3	36413 35321	   	296.67	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9BEXP|aASPD
4	36413 35331	   	296.67	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9LWND|aASPD
5	13536 12253	 * 	287.94	DCR|2LIT|2MLV|2VULN|3CDMG	126CDMG|2aBPWR|3RPLT|4aLIT|5FEWX|7aVULN|8aMLV|9RCR
6	32125 34251	   	286.71	DCR|2MLV|1LIT|2VULN|2DMG	18VULN|2NUKE|3CRUSTR|48MLV|58DMG|6AART|7RCR|8BPWR|9LIT|aZMB
7	36413 35122	 * 	286.61	DCR|2LIT|3VULN|1FLTARM|1CDMG	13aVULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MULARM|9CDMG
8	36421 63231	 * 	284.66	DCR|3LIT|3VULN|2DMG	13aVULN|235LIT|3aBPWR|4DUST|68aERES|7aDMG|9RCR
9	36413 35312	   	283.02	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9RPLT|aFEWX
10	36413 35323	   	283.02	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9BEXP|aLWND
11	36413 35333	   	283.02	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9LWND|aLHND
12	36413 35132	   	282.92	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MULARM|9MLV|aLWND
13	36413 35311	   	282.92	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9RPLT|aERES
14	36413 35131	   	282.82	DCR|2LIT|2VULN|1FLTARM|1MLV	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MULARM|9MLV|aERES
15	36413 35322	   	282.77	DCR|2LIT|2VULN|1FLTARM|1MLV|1SELL	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9BEXP|aSELL
16	36413 35332	   	282.77	DCR|2LIT|2VULN|1FLTARM|1MLV|1SELL	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MLV|9LWND|aSELL
17	36413 35133	   	282.67	DCR|2LIT|2VULN|1FLTARM|1MLV|1SELL	13VULN|23LIT|3BPWR|4BELT|5CGEN|6RCR|7FLTARM|8MULARM|9MLV|aSELL
18	32121 53641	 * 	282.53	DCR|3LIT|2MLV|2VULN	19VULN|2NUKE|3CRUSTR|49MLV|5LSRREG|6RCR|7DUST|89aLIT|9BPWR
