0	Index      	 *	Score 	Summary	Detail	
1	23252 32264	 * 	343.39	DCR|2MLV|3VULN|1LIT|2DMG|1CDMG|1ASPD	159VULN|2CDMG|39MLV|4ASPD|6RCR|7LHND|89DMG|9BPWR|aLIT
2	23135 21364	 * 	334.09	DCR|2LIT|3MLV|4VULN|1CDMG	1578VULN|2CDMG|38LIT|458MLV|58BPWR|6RMIN|9FEWX|aRCR
3	23135 21325	   	333.94	DCR|2LIT|3MLV|4VULN|1CDMG	1578VULN|2CDMG|38LIT|458MLV|58BPWR|6RMIN|9ERES|aRCR
4	23135 21334	   	333.94	DCR|2LIT|3MLV|4VULN|1CDMG	1578VULN|2CDMG|38LIT|458MLV|58BPWR|6RMIN|9DUST|aRCR
5	23214 33156	   	329.64	DCR|2MLV|3VULN|1LIT|2DMG|1CDMG	18aVULN|2CDMG|38MLV|4LHND|5ERES|6RCR|78DMG|8BPWR|9LIT
6	22636 61222	 * 	322.75	DCR|3LIT|3VULN|1MLV|2ASPD|1CDMG	12aVULN|3aASPD|4MLV|5CDMG|6AART|7RCR|89aLIT|aBPWR
7	24336 61222	   	322.75	DCR|3LIT|3VULN|1MLV|2ASPD|1CDMG	13aVULN|2aASPD|4MLV|5CDMG|6AART|7RCR|89aLIT|aBPWR
8	22643 52133	 * 	316.95	DCR|3LIT|3VULN|3ASPD|1MLV	127VULN|357ASPD|457LIT|57BPWR|6MBVNT|8CGEN|9RCR|aMLV
9	24343 52133	   	316.95	DCR|3LIT|3VULN|3ASPD|1MLV	137VULN|257ASPD|457LIT|57BPWR|6MBVNT|8CGEN|9RCR|aMLV
10	23252 61222	   	316.61	DCR|3LIT|3VULN|1MLV|2CDMG|1ASPD	15aVULN|2aCDMG|3MLV|4ASPD|6AART|7RCR|89aLIT|aBPWR
11	23233 63241	   	316.29	DCR|2LIT|3MLV|3VULN|1CDMG	17aVULN|2CDMG|37aMLV|47LWND|5RPLT|6RCR|7aBPWR|8FEWX|9aLIT
12	23233 63623	   	316.29	DCR|2LIT|3MLV|3VULN|1CDMG	17aVULN|2CDMG|37aMLV|47LWND|5RPLT|6RCR|7aBPWR|8TLV|9aLIT
13	22236 31533	 * 	315.67	DCR|3LIT|2MLV|3VULN|1SELL	128VULN|3ERES|48MLV|5SELL|6RCR|78aLIT|8BPWR|9FEWX
14	22236 31543	 * 	315.67	DCR|3LIT|2MLV|3VULN|1SELL	128VULN|3ERES|48MLV|5SELL|6RCR|78aLIT|8BPWR|9RCVC
15	22236 31563	 * 	315.52	DCR|3LIT|2MLV|3VULN|1SELL	128VULN|39ERES|48MLV|5SELL|6RCR|78aLIT|8BPWR
16	24422 62311	 * 	315.21	DCR|2LIT|3VULN|2DMG|1MLV|1ASPD	167VULN|2ASPD|3RMIN|47DMG|57LIT|7BPWR|8RCR|9LHND|aMLV
17	23135 22364	   	314.81	DCR|2LIT|3MLV|3VULN|2CDMG	158VULN|27CDMG|38LIT|458MLV|58BPWR|6RMIN|9FEWX|aRCR
18	23135 22325	   	314.66	DCR|2LIT|3MLV|3VULN|2CDMG	158VULN|27CDMG|38LIT|458MLV|58BPWR|6RMIN|9ERES|aRCR
19	23135 22334	   	314.66	DCR|2LIT|3MLV|3VULN|2CDMG	158VULN|27CDMG|38LIT|458MLV|58BPWR|6RMIN|9DUST|aRCR
