0	Index      	 *	Score 	Summary	Detail	
1	32341 12325	 * 	286.42	DCR|3LIT|3VULN|1DMG|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aDMG
2	32122 31272	 * 	285.72	DCR|4VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|3579VULN|4MBVNT|57BPWR|67DMG|8RCR|aLIT
3	32122 31872	   	283.92	DCR|4VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|3578VULN|4MBVNT|57BPWR|67DMG|9RCR|aLIT
4	51312 52631	 * 	282.00	DCR|2LIT|2MLV|3VULN	1DMSP|26aVULN|3aLIT|4DUST|58MLV|7aLWND|9RCR|aBPWR
5	32122 31264	   	280.20	DCR|3VULN|1LIT|2DMG|2CDMG|1ASPD	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT|aASPD
6	51352 14331	 * 	279.60	DCR|3LIT|3VULN|1MLV	1DMSP|28aVULN|38aLIT|4FEWX|5MLV|6RCVC|78aBEXP|8aBPWR|9RCR
7	16351 23631	 * 	274.88	DCR|3LIT|2MLV|2VULN	1aLWND|23aLIT|45FEWX|68MLV|7aVULN|9RCR|aBPWR
8	51312 42631	   	274.73	DCR|3LIT|2MLV|2VULN	1DMSP|2aVULN|36aLIT|4DUST|58MLV|7aLWND|9RCR|aBPWR
9	12315 43631	   	274.73	DCR|3LIT|2MLV|2VULN	12aLWND|2aBPWR|36aLIT|4DUST|58MLV|7aVULN|9RCR
10	16315 13631	   	274.73	DCR|3LIT|2MLV|2VULN	1aLWND|23aLIT|4DUST|58MLV|6RCVC|7aVULN|9RCR|aBPWR
11	16315 23331	   	274.58	DCR|3LIT|2MLV|2VULN	1aLWND|23aLIT|48DUST|56MLV|7aVULN|9RCR|aBPWR
12	22325 43631	   	274.43	DCR|3LIT|2MLV|2VULN	12aDUST|2aBPWR|36aLIT|4LWND|58MLV|7aVULN|9RCR
13	32341 12324	   	273.30	DCR|3LIT|3VULN|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aZMB
14	32441 31262	 * 	271.14	DCR|1LIT|2VULN|2DMG|2ASPD|1CDMG	17TLV|2CDMG|37ASPD|4ZMB|59VULN|67DMG|7BPWR|8RCR|aLIT
15	32341 11325	 * 	270.59	DCR|3LIT|2VULN|2CDMG|1DMG	19TLV|27CDMG|3AART|49VULN|589LIT|6RCR|9BPWR|aDMG
