0	Index      	 *	Score 	Summary	Detail	
1	62226 12612	 * 	262.85	橙橙1易伤1等级1伤害1时间	1随机矿2头目3时间4伤害5易伤6a核7等级8随机技能9策反
2	12342 36136	 * 	255.24	橙橙2易伤1等级	1挖尘2a易伤3随机矿4敌人爆炸5随机技能69核7等级8雷电
3	14222 36136	   	255.24	橙橙2易伤1等级	1挖尘2随机技能3a易伤4金币生成5敌人爆炸69核7等级8雷电
4	12522 36136	   	255.14	橙橙2易伤1等级	1挖尘2a易伤3敌人爆炸4技能点5随机技能69核7等级8雷电
5	13423 23616	 * 	251.08	橙橙2喷火对甲1易伤	1挖尘2基地爆炸3双倍秒伤4易伤5敌人爆炸68核7低血量敌人9a喷火对甲
6	11123 23652	 * 	249.00	橙橙2易伤1伤害	1挖尘2立即金币3赏金塔4a易伤5基地爆炸68核7低血量敌人9伤害
7	12331 23652	   	249.00	橙橙2易伤1伤害	1挖尘2a易伤3随机矿4赏金邻近5金币生成68核7低血量敌人9伤害
8	13423 23652	   	249.00	橙橙2易伤1伤害	1挖尘2基地爆炸3双倍秒伤4a易伤5敌人爆炸68核7低血量敌人9伤害
9	16331 22652	   	249.00	橙橙2易伤1伤害	1挖尘2低血量敌人3随机矿4赏金邻近5金币生成68核7a易伤9伤害
10	12335 23652	   	248.90	橙橙2易伤1伤害	1挖尘2a易伤3随机矿4赏金邻近5技能点68核7低血量敌人9伤害
11	12342 36134	   	242.69	橙橙1易伤1等级1时间	1挖尘2易伤3随机矿4敌人爆炸5随机技能69核7等级8雷电a时间
12	14222 36134	   	242.69	橙橙1易伤1等级1时间	1挖尘2随机技能3易伤4金币生成5敌人爆炸69核7等级8雷电a时间
13	12463 23613	   	242.59	橙橙1易伤1喷火对甲1全技能	1挖尘2易伤3双倍秒伤4基地爆炸5敌人爆炸68核7低血量敌人9喷火对甲a全技能
14	12522 36134	   	242.59	橙橙1易伤1等级1时间	1挖尘2易伤3敌人爆炸4技能点5随机技能69核7等级8雷电a时间
15	13423 23613	   	242.59	橙橙1易伤1喷火对甲1全技能	1挖尘2基地爆炸3双倍秒伤4易伤5敌人爆炸68核7低血量敌人9喷火对甲a全技能
16	24232 21352	 * 	240.59	橙橙2伤害1易伤1技能	1最后敌人2随机技能3易伤4技能5敌人爆炸68伤害7a核9头目
17	24152 21823	   	238.40	橙橙1易伤1伤害1矿等	1最后敌人2随机技能3矿等4加一5敌人爆炸6伤害7a核8喷火对愈9易伤
18	62226 11612	   	236.55	橙橙1易伤1伤害1时间	1随机矿2头目3时间4伤害5易伤6a核7技能点8随机技能9策反
19	11123 23654	   	236.45	橙橙1易伤1伤害1暴击	1挖尘2立即金币3赏金塔4易伤5基地爆炸68核7低血量敌人9伤害a暴击
20	12331 23654	   	236.45	橙橙1易伤1伤害1暴击	1挖尘2易伤3随机矿4赏金邻近5金币生成68核7低血量敌人9伤害a暴击
21	13331 22654	   	236.45	橙橙1易伤1伤害1暴击	1挖尘2基地爆炸3随机矿4赏金邻近5金币生成68核7易伤9伤害a暴击
22	23123 23654	   	236.35	橙橙1易伤1伤害1暴击	1最后敌人2暴雪减费3赏金塔4易伤5基地爆炸68核7挖青9伤害a暴击
23	12342 36131	   	235.98	橙橙1易伤1等级	1挖尘2易伤3随机矿4敌人爆炸5随机技能69核7等级8雷电a攻速
24	14222 36131	   	235.98	橙橙1易伤1等级	1挖尘2随机技能3易伤4金币生成5敌人爆炸69核7等级8雷电a攻速
25	15422 36131	   	235.98	橙橙1易伤1等级	1挖尘2金币生成3易伤4随机技能5敌人爆炸69核7等级8雷电a攻速
26	15432 36131	   	235.98	橙橙1易伤1等级	1挖尘2金币生成3易伤4敌人爆炸5随机技能69核7等级8雷电a攻速
27	12522 36131	   	235.88	橙橙1易伤1等级	1挖尘2易伤3敌人爆炸4技能点5随机技能69核7等级8雷电a攻速
28	14262 35131	   	235.88	橙橙1易伤1等级	1挖尘2随机技能3易伤4等级5敌人爆炸69核7掉矿8雷电a攻速
29	12242 36613	   	235.78	橙橙1易伤1等级	1挖尘2易伤3攻速4敌人爆炸5随机技能6a核7等级8狙击对黄9加一
30	12413 43611	 * 	234.77	紫橙2易伤1等级1全技能	1挖尘2a易伤3双倍秒伤4等级58核6赏金邻近7低血量敌人9全技能
31	62316 33632	 * 	234.15	橙2易伤2伤害2时间1等级	1随机矿2头目38伤害4基地爆炸58易伤68时间7核8序列升级9低血量敌人a等级
32	62316 33622	   	234.05	橙2易伤2伤害2时间1等级	1随机矿2头目38伤害4基地爆炸58易伤68时间7核8序列升级9挖青a等级
