0	Index      	 *	Score 	Summary	Detail	
1	33125 14512	 * 	271.54	DCR|3VULN|2DMG|2MLV|1TLV|1CDMG	128VULN|3TLV|48DMG|5CDMG|6ERES|78MLV|8BPWR|9DUST|aRCR
2	33162 33516	 * 	259.36	DCR|4VULN|3TLV|1DMG|1NUKE	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aNUKE
3	35236 62223	 * 	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1VULN|2AART|3MLV|4TLV|5FLTFST|6LWND|7LIT|8aRCR|9MDPS
4	36324 51331	 * 	257.09	DCR|3VULN|3DMG|3DUR	189VULN|2CGEN|378DMG|4BBNT|58aDUR|6RCR|8BPWR
5	33253 31241	 * 	256.34	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4DUR|5BOSS|6AART|7MULHEA|89RCR|aLWND
6	33253 31242	   	256.34	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4DUR|5BOSS|6AART|7MULHEA|89RCR|aRAT
7	33253 31243	   	256.34	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4DUR|5BOSS|6AART|7MULHEA|89RCR|aRCVC
8	33253 31244	   	256.34	DCR|DCR|2VULN|1DUR|1AART	12VULN|3aFEWX|4DUR|5BOSS|6AART|7MULHEA|89RCR
9	33263 31243	   	256.34	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR|aDUR
10	33253 31223	   	256.24	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4DUR|5BOSS|6AART|7MULHEA|8aRCR|9MDPS
11	33253 31246	   	256.24	DCR|DCR|2VULN|1DUR|1AART	12VULN|3FEWX|4DUR|5BOSS|6AART|7MULHEA|89RCR|aCANARM
12	11253 31245	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1TLV|2DUR|3DUST|4CGEN|5BOSS|6AART|7MULHEA|89RCR|aVULN
13	33243 22662	 * 	250.50	ACR|DCR|3VULN|1TLV	12aVULN|3FEWX|49RCR|5TLV|6RPLT|7ASPD|8BEXP
14	35232 34411	 * 	249.64	DCR|2VULN|2TLV|2DUR|1MLV|1AART|1CDMG|1NUKE	18VULN|2AART|3MLV|48TLV|5NUKE|68DUR|7RCR|8BPWR|9BEXP|aCDMG
15	35362 34212	 * 	249.40	DCR|2VULN|2DMG|2MLV|2AART|1DUR	1aVULN|25AART|3LWND|4aDMG|6DUR|7RCR|8MGNBOS|9aMLV|aBPWR
16	33162 33216	   	248.36	DCR|4VULN|3TLV|1DMG	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8CGEN|aDMG
17	33162 33511	   	248.36	DCR|4VULN|3TLV|1DMG	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aZMB
18	33162 33514	   	248.36	DCR|4VULN|3TLV|1DMG	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aFEWX
19	33162 33512	   	248.26	DCR|4VULN|3TLV|1DMG	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aAME
20	33162 33513	   	248.26	DCR|4VULN|3TLV|1DMG	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aAIRHEA
21	33162 33515	   	248.26	DCR|4VULN|3TLV|1DMG|1MSE	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|aMSE
22	33162 33541	   	248.26	DCR|4VULN|3TLV|1DMG	124aVULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9MDPS
23	11346 11264	 * 	246.32	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1TLV|2DUR|37DMG|4aRCR|5VULN|6ZMB|8MBVNT|9BBNT
24	36324 51333	   	245.64	DCR|3VULN|3DMG|2DUR	189VULN|2CGEN|378DMG|4BBNT|58DUR|6RCR|8BPWR|aZMB
25	36324 51332	   	245.54	DCR|3VULN|3DMG|2DUR	189VULN|2CGEN|378DMG|4BBNT|58DUR|6RCR|8BPWR|aERES
26	33523 36234	   	245.49	DCR|3VULN|2DMG|2DUR|1MLV	127VULN|3TBNT|47DMG|5BOSS|67DUR|7BPWR|8BBNT|9RCR|aMLV
27	33325 34512	   	245.33	DCR|3VULN|2DMG|2MLV|1CDMG	128VULN|3ERES|48DMG|5CDMG|6CGEN|78MLV|8BPWR|9DUST|aRCR
28	33123 46313	   	245.22	DCR|4VULN|1TLV|1DMG|1CDMG	1278VULN|3TLV|4DMG|5LHND|6BOSS|9CDMG|aRCR
29	33124 46313	   	245.22	DCR|4VULN|1TLV|1DMG|1CDMG	1278VULN|3TLV|4DMG|5BEXP|6BOSS|9CDMG|aRCR
30	33161 12252	   	245.13	DCR|3VULN|2TLV|1DMG|1MLV|1SELL	124VULN|34TLV|4BPWR|5BEXP|6MLV|7DMG|8ASPD|9SELL|aRCR
31	33165 12252	   	245.13	DCR|3VULN|2TLV|1DMG|1MLV|1SELL	124VULN|34TLV|4BPWR|5LHND|6MLV|7DMG|8ASPD|9SELL|aRCR
32	33162 33533	   	244.80	DCR|3VULN|3TLV|1DMG|1MLV|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aMLV
33	33162 33453	   	244.70	DCR|3VULN|3TLV|1DMG|1MLV	124VULN|345TLV|4BPWR|6TBNT|7RCR|8TSLARM|9DMG|aMLV
34	33162 55311	   	243.90	DCR|4VULN|3TLV|1MLV	124aVULN|345TLV|4BPWR|6ERES|7MLV|8RCR|9RMIN
35	33162 33353	   	243.90	DCR|4VULN|3TLV|1MLV	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8LHND|aMLV
36	33162 33653	   	243.80	DCR|4VULN|3TLV|1MLV	1249VULN|345TLV|4BPWR|6TBNT|7RCR|8AETHUN|aMLV
37	33161 61321	   	243.72	DCR|3VULN|2TLV|1DUR|1AART|1CDMG	124VULN|34TLV|4BPWR|5BEXP|6AART|7DUR|8LHND|9RCR|aCDMG
38	33162 33125	   	242.84	DCR|3VULN|3TLV|1DMG|1AART	124VULN|345TLV|4BPWR|6TBNT|7RCR|8AART|9BEXP|aDMG
39	33162 33154	   	242.84	DCR|3VULN|3TLV|1DMG|1AART	124VULN|345TLV|4BPWR|6TBNT|7RCR|8AART|9ZMB|aDMG
40	33162 33561	   	242.84	DCR|3VULN|3TLV|1DMG|1DUR	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9BEXP|aDUR
41	33162 33143	   	242.74	DCR|3VULN|3TLV|1DMG|1AART	124VULN|345TLV|4BPWR|6TBNT|7RCR|8AART|9LSRICY|aDMG
42	33162 33164	   	242.74	DCR|3VULN|3TLV|1DMG|1AART	124VULN|345TLV|4BPWR|6TBNT|7RCR|8AART|9ERES|aDMG
43	33162 33521	   	242.74	DCR|3VULN|3TLV|1DMG|1DUR	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9DUST|aDUR
44	33162 33531	   	242.74	DCR|3VULN|3TLV|1DMG|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aLWND
45	33162 33532	   	242.74	DCR|3VULN|3TLV|1DMG|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aBASARM
46	33162 33534	   	242.74	DCR|3VULN|3TLV|1DMG|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aERES
47	33162 33535	   	242.74	DCR|3VULN|3TLV|1DMG|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aFEWX
48	33162 33536	   	242.74	DCR|3VULN|3TLV|1DMG|1AAC	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AAC|aBEXP
49	33162 33551	   	242.74	DCR|3VULN|3TLV|1DMG|1DUR	124VULN|345TLV|4BPWR|6TBNT|7RCR|8DMG|9AETHUN|aDUR
50	33263 31241	   	242.69	DCR|DCR|2VULN|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR|aLWND
51	33263 31242	   	242.69	DCR|DCR|2VULN|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR|aRAT
52	33263 31244	   	242.69	DCR|DCR|2VULN|1AART	12VULN|3aFEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR
53	33263 31245	   	242.69	DCR|DCR|2VULN|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR|aRCVC
54	35632 31241	   	242.69	DCR|DCR|2VULN|1AART	15VULN|2AART|3BOSS|4LWND|6FEWX|7MULHEA|89RCR|aLHND
55	35632 31242	   	242.69	DCR|DCR|2VULN|1AART	15VULN|2AART|3BOSS|4LWND|6FEWX|7MULHEA|89RCR|aRAT
56	35632 31243	   	242.69	DCR|DCR|2VULN|1AART	15VULN|2AART|3BOSS|4LWND|6FEWX|7MULHEA|89RCR|aRCVC
57	35521 21612	 * 	242.68	DCR|2VULN|2MSLTOX|2MLV|2AART|1DUR	1aVULN|23AART|4RMIN|5aMSLTOX|6DUR|7LWND|8RCR|9aMLV|aBPWR
58	35521 12612	   	242.68	DCR|2VULN|2MSLTOX|2MLV|2AART|1DUR	1aVULN|23AART|4RMIN|5aMSLTOX|6BEXP|7DUR|8RCR|9aMLV|aBPWR
59	35521 32612	   	242.68	DCR|2VULN|2MSLTOX|2MLV|2AART|1DUR	1aVULN|23AART|4RMIN|5aMSLTOX|6FEWX|7DUR|8RCR|9aMLV|aBPWR
60	32142 52153	   	242.59	DCR|DCR|2VULN|1AART	15VULN|2SPLJET|3TBNT|4BOSS|6AART|79FEWX|8aRCR
61	33263 31223	   	242.59	DCR|DCR|2VULN|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|8aRCR|9MDPS
62	33263 31246	   	242.59	DCR|DCR|2VULN|1AART	12VULN|3FEWX|4BEXP|5BOSS|6AART|7MULHEA|89RCR|aCANARM
63	31253 31245	   	242.59	DCR|DCR|2VULN|1AART	1aVULN|2RMIN|3DUST|4CGEN|5BOSS|6AART|7AIRARM|89RCR
64	35323 31245	   	242.59	DCR|DCR|2VULN|1AART	1aVULN|2AART|3LWND|4RMIN|5LIT|6ERES|7AIRARM|89RCR
65	35632 31223	   	242.59	DCR|DCR|2VULN|1AART	15VULN|2AART|3BOSS|4LWND|6FEWX|7MULHEA|8aRCR|9MDPS
66	35652 31223	   	242.59	DCR|DCR|2VULN|1AART	15VULN|2AART|3BOSS|4LHND|6FEWX|7MULHEA|8aRCR|9MDPS
67	36343 23313	   	242.58	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1VULN|2CGEN|3DMG|49RCR|5TLV|6RPLT|7RAT|8DUR|aCDMG
68	35316 52223	   	242.49	DCR|DCR|2VULN|1AART	14VULN|2AART|3LWND|5AETHUN|6SPLJET|7LIT|8aRCR|9MDPS
69	16625 31223	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1TLV|2AART|3VULN|4BOSS|5ERES|6FEWX|7TSLFST|8aRCR|9MDPS
70	35112 34316	 * 	241.88	DCR|3VULN|2FLTARM|1DUR|1AART|1NUKE	14aVULN|2AART|3aFEWX|5NUKE|6DUR|7RCR|8LIT|9aFLTARM|aBPWR
71	33125 23652	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1CDMG	129VULN|3TLV|4DMG|5CDMG|6AETHUN|7ZMB|8RCR|aMLV
