0	Index      	 *	Score 	Summary	Detail	
1	32811 27162	 * 	288.86	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1MBVNT|2BEXP|35VULN|4LSRREG|69RCR|7DMG|8DUR|aTLV
2	34321 44128	   	285.20	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2AME|3DUR|4ASPD|5MLV|6DMG|79VULN|8aRCR
3	34321 86128	   	285.20	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2AME|3DUR|4ASPD|5MLV|69VULN|7DMG|8aRCR
4	37141 24177	   	282.44	DCR|DCR|2VULN|1TLV|1DUR|1AART	1MBVNT|27VULN|3CGEN|4TLV|5BASARM|6aRCR|8AART|9DUR
5	34371 44128	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2AME|3DUR|4ZMB|5MLV|6DMG|79VULN|8aRCR
6	34431 38165	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5DMG|6aVULN|79RCR|8DUR
7	34434 27165	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5aVULN|69RCR|7DMG|8DUR
8	34431 38162	   	278.16	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5DMG|6VULN|79RCR|8DUR|aTLV
9	34434 27162	   	278.16	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5VULN|69RCR|7DMG|8DUR|aTLV
10	34461 27162	   	278.16	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MBVNT|2AME|3MLV|4VULN|5BASARM|69RCR|7DMG|8DUR|aTLV
11	36243 44468	 * 	277.28	DCR|DCR|3VULN|1TLV	1MBVNT|2LWND|3ERES|4TLV|567VULN|8aRCR|9ZMB
12	37244 44468	   	277.28	DCR|DCR|3VULN|1TLV	1MBVNT|267VULN|3ERES|4TLV|5LWND|8aRCR|9ZMB
13	37412 72348	 * 	276.80	DCR|DCR|2VULN|2MLV|2CDMG	1MBVNT|2aVULN|3DLOT|4LEGI|5CANTOX|69RCR|7aMLV|8aCDMG|aBPWR
14	32811 27163	   	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	1MBVNT|2BEXP|35VULN|4LSRREG|69RCR|7DMG|8DUR|aCDMG
15	37141 23165	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2aVULN|3CGEN|4TLV|5BASARM|69RCR|7ASPD|8DUR
16	37541 23162	   	275.63	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|25VULN|3SPLARM|4DUST|69RCR|7ASPD|8DUR|aTLV
17	37241 23165	   	275.63	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2aVULN|3ERES|4TLV|5BASARM|69RCR|7ASPD|8DUR
18	31828 44128	 * 	275.01	DCR|DCR|2VULN|2DUR|1DMG|1NUKE	1MBVNT|2NUKE|3LEGI|45DUR|6DMG|79VULN|8aRCR
19	37143 47522	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|1AAC|1CDMG	1MBVNT|2VULN|3CGEN|49TLV|5AAC|6DMG|7CDMG|8aRCR
20	37141 27162	   	272.99	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1MBVNT|2VULN|3CGEN|4aTLV|5BASARM|69RCR|7DMG|8DUR
21	37243 47522	   	272.99	DCR|DCR|2TLV|1VULN|1DMG|1AAC|1CDMG	1MBVNT|2VULN|3ERES|49TLV|5AAC|6DMG|7CDMG|8aRCR
22	37241 27162	   	272.89	DCR|DCR|2TLV|1VULN|1DMG|1DUR	1MBVNT|2VULN|3ERES|4aTLV|5BASARM|69RCR|7DMG|8DUR
23	34434 24177	   	271.75	DCR|DCR|2VULN|1MLV|1DUR|1AART	1MBVNT|2AME|3MLV|4BASHEA|57VULN|6aRCR|8AART|9DUR
24	34461 24177	   	271.75	DCR|DCR|2VULN|1MLV|1DUR|1AART	1MBVNT|2AME|3MLV|47VULN|5BASARM|6aRCR|8AART|9DUR
25	34821 44128	   	271.55	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3LHND|4ASPD|5MLV|6DMG|79VULN|8aRCR
26	37141 24147	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1MBVNT|27VULN|3CGEN|4TLV|5BASARM|6aRCR|8AART|9FEWX
27	37141 24187	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1MBVNT|27VULN|3CGEN|4TLV|5BASARM|6aRCR|8AART|9BEXP
28	35641 12462	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2SNITOX|3DUR|4DUST|56VULN|79RCR|8ZMB|aTLV
29	37141 24117	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1MBVNT|27VULN|3CGEN|4TLV|5BASARM|6aRCR|8AART|9DUST
30	37241 24152	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1MBVNT|27VULN|3ERES|4TLV|5BASARM|6aRCR|8AART|9LIT
31	34464 44468	   	266.68	DCR|DCR|3VULN|1MLV	1MBVNT|2AME|3MLV|467VULN|5LWND|8aRCR|9ZMB
32	31136 44128	 * 	266.59	DCR|DCR|2VULN|2DMG|1NUKE	1MBVNT|2NUKE|3FEWX|4BEXP|56DMG|79VULN|8aRCR
33	31186 44128	   	266.59	DCR|DCR|2VULN|2DMG|1NUKE	1MBVNT|2NUKE|3FEWX|4LWND|56DMG|79VULN|8aRCR
34	31286 44128	   	266.59	DCR|DCR|2VULN|2DMG|1NUKE	1MBVNT|2NUKE|3BEXP|4LWND|56DMG|79VULN|8aRCR
35	31336 44128	   	266.59	DCR|DCR|2VULN|2DMG|1NUKE	1MBVNT|2NUKE|3LWND|4BEXP|56DMG|79VULN|8aRCR
36	31816 44128	   	266.49	DCR|DCR|2VULN|2DMG|1NUKE	1MBVNT|2NUKE|3LEGI|4BEXP|56DMG|79VULN|8aRCR
37	37516 24124	 * 	265.68	DCR|3VULN|2FLTARM|2DMG|1CDMG	1MBVNT|28aVULN|3SPLARM|4aFLTARM|5CDMG|6RCR|7ERES|9aDMG|aBPWR
38	37141 22464	 * 	265.68	DCR|DCR|2VULN|2TLV	1MBVNT|2aVULN|3CGEN|4aTLV|5BASARM|69RCR|7LHND|8aZMB|aBPWR
