0	Index      	 *	Score 	Summary	Detail	
1	43322 61431	 * 	249.91	DCR|2VULN|2TLV|1DMG|2CDMG|1MLV|1DUR	1DUR|2FEWX|3aTLV|4aCDMG|5AEFBLL|6aVULN|7RCR|8DMG|9MLV|aBPWR
2	61313 51531	 * 	233.98	DCR|3VULN|2MLV|1TLV|1AART|1AAC	1AAC|27MLV|3TLV|4LEGI|578VULN|67LIT|7BPWR|9AART|aRCR
3	11312 42831	 * 	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1LIT|2MLV|3FLTHEA|4DMG|5AEWIND|6aRCR|7MBVNT|8TLV|9AAC
4	11312 42881	   	232.42	DCR|DCR|1TLV|1DMG|1MLV	1LIT|2MLV|3FLTHEA|4DMG|5AEWIND|6aRCR|7MBVNT|8TLV|9ZMB
5	42222 31255	 * 	231.71	DCR|2VULN|2MLV|1TLV|1DMG|1DUR	1DUR|26SNIFST|3BEXP|4DMG|56MLV|6BPWR|78VULN|9RCR|aTLV
6	41134 62233	 * 	230.22	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|28RAT|3LHND|4RCVC|5CDMG|68VULN|7RCR|8BPWR|9DMG|aTLV
7	41234 62233	   	230.22	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|28RAT|3LWND|4RCVC|5CDMG|68VULN|7RCR|8BPWR|9DMG|aTLV
8	12323 46131	   	229.85	DCR|2VULN|2TLV|1DMG|1MLV|1DUR	15LIT|2aVULN|3SPLJET|45TLV|5BPWR|6MLV|7RCR|8DUR|9DMG
9	12335 56213	 * 	229.04	DCR|DCR|2VULN	1LIT|28VULN|3SPLJET|4LWND|5CGEN|6LHND|7aRCR|9BEXP
10	13236 32263	   	228.94	DCR|DCR|2VULN	1LIT|2LWND|3MDPS|4CGEN|5BASHEA|6aRCR|7RCVC|89VULN
11	12231 65343	 * 	228.94	DCR|DCR|1VULN|1TLV	1LIT|2VULN|3MDPS|49CGEN|5LHND|6aRCR|7TLV|8FRZFST
12	13213 65343	   	228.94	DCR|DCR|1VULN|1TLV	1LIT|2LWND|3MDPS|4VULN|59CGEN|6aRCR|7TLV|8FRZFST
13	13213 65353	   	228.94	DCR|DCR|1VULN|1TLV	1LIT|29LWND|3MDPS|4VULN|5CGEN|6aRCR|7TLV|8FRZFST
14	12325 46333	   	228.84	DCR|DCR|1VULN|1TLV	1LIT|2VULN|3SPLJET|4TLV|5DUST|6LEGI|7aRCR|8BEXP|9CGEN
15	12231 65323	   	228.84	DCR|DCR|1VULN|1TLV	1LIT|2VULN|3MDPS|4CGEN|5LHND|6aRCR|7TLV|8FRZFST|9AEWIND
16	13213 65323	   	228.84	DCR|DCR|1VULN|1TLV	1LIT|2LWND|3MDPS|4VULN|5CGEN|6aRCR|7TLV|8FRZFST|9AEWIND
17	13215 61633	   	228.84	DCR|DCR|1VULN|1TLV	1LIT|2LWND|3MDPS|4VULN|5TLV|6aRCR|7RCVC|8AEWIND|9MULHEA
18	13215 62633	   	228.84	DCR|DCR|1VULN|1TLV	1LIT|27LWND|3MDPS|4VULN|5TLV|6aRCR|8AEWIND|9MULHEA
19	11223 42235	 * 	224.10	DCR|DCR|2DMG|1MLV	1LIT|2MLV|3BEXP|45DMG|6FEWX|7BELT|8aRCR|9DMSP
20	11223 42265	   	224.10	DCR|DCR|2DMG|1MLV	1LIT|2MLV|3BEXP|45DMG|6FEWX|79BELT|8aRCR
21	11623 42235	   	224.10	DCR|DCR|2DMG|1MLV	1LIT|2MLV|35DMG|4BEXP|6FEWX|7BELT|8aRCR|9DMSP
22	11523 62235	   	224.00	DCR|DCR|2DMG|1MLV	1LIT|2MLV|3FEWX|45DMG|6DUST|7BELT|8aRCR|9DMSP
23	12323 46121	   	223.44	DCR|2VULN|2TLV|1MLV|1DUR|1AAC	15LIT|29VULN|3SPLJET|45TLV|5BPWR|6MLV|7RCR|8DUR|aAAC
24	41531 22611	   	223.43	DCR|DCR|1VULN|1DUR	1DUR|2RAT|3FRZICY|4BELT|5BEXP|6VULN|7aRCR|8ASPD|9VENFST
25	32222 61235	 * 	223.36	DCR|2VULN|2DMG|1TLV|1MLV	1LHND|2SNIFST|3BEXP|46DMG|5MLV|78VULN|9RCR|aTLV
26	32422 61235	   	223.36	DCR|2VULN|2DMG|1TLV|1MLV	1LHND|2SNIFST|3FEWX|46DMG|5MLV|78VULN|9RCR|aTLV
27	11321 26543	 * 	222.99	DCR|DCR|2TLV|1MLV	15LIT|2MLV|3FLTHEA|45TLV|5BPWR|6LWND|7aRCR|8CGEN|9FEWX
28	11321 26353	   	222.89	DCR|DCR|2TLV|1MLV	15LIT|2MLV|3FLTHEA|45TLV|5BPWR|6LWND|7aRCR|8BEXP|9ERES
29	11321 26563	   	222.89	DCR|DCR|2TLV|1MLV	15LIT|2MLV|3FLTHEA|45TLV|5BPWR|6LWND|7aRCR|8CGEN|9DUST
30	11321 26253	   	222.79	DCR|DCR|2TLV|1MLV	15LIT|2MLV|3FLTHEA|45TLV|5BPWR|6LWND|7aRCR|8DUST|9ERES
31	62132 61531	 * 	222.28	DCR|2VULN|2TLV|2MLV|1AART|1AAC	1AAC|27TLV|37LIT|4LHND|58VULN|67MLV|7BPWR|9AART|aRCR
32	43322 61351	   	221.19	DCR|2VULN|2TLV|2CDMG|1DUR	1DUR|2FEWX|3aTLV|4aCDMG|5AEFBLL|6aVULN|7RCR|8CGEN|9ASPD|aBPWR
