0	Index      	 *	Score 	Summary	Detail	
1	22234 31516	 * 	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG|1AAC	1AAC|2DUR|3MLV|49VULN|5CDMG|6TBNT|7aRCR|8LIT
2	51522 36131	 * 	262.28	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6FEWX|7RMIN|89RCR|aASPD
3	51522 51131	   	262.28	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6RMIN|7LWND|89RCR|aASPD
4	51522 34331	   	262.18	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6FEWX|79RCR|8ERES|aASPD
5	22234 31536	 * 	258.19	DCR|DCR|1VULN|2DUR|1MLV|1CDMG|1AAC	1AAC|29DUR|3MLV|4VULN|5CDMG|6TBNT|7aRCR|8LIT
6	51522 36132	   	255.34	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6FEWX|7RMIN|89RCR|aCGEN
7	51522 51132	   	255.34	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6RMIN|7LWND|89RCR|aCGEN
8	51522 34332	   	255.24	DCR|DCR|2VULN|1TLV	1BOSS|24VULN|3RPLT|5TLV|6FEWX|79RCR|8ERES|aCGEN
9	51522 36133	   	255.24	DCR|DCR|2VULN|1TLV|1MSE	1BOSS|24VULN|3RPLT|5TLV|6FEWX|7RMIN|89RCR|aMSE
10	51522 51133	   	255.24	DCR|DCR|2VULN|1TLV|1MSE	1BOSS|24VULN|3RPLT|5TLV|6RMIN|7LWND|89RCR|aMSE
11	51522 34333	   	255.14	DCR|DCR|2VULN|1TLV|1MSE	1BOSS|24VULN|3RPLT|5TLV|6FEWX|79RCR|8ERES|aMSE
12	51541 23131	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1BOSS|2VULN|3RPLT|4TLV|5MLV|6DUST|7RCVC|89RCR|aASPD
13	51323 21462	   	249.39	DCR|DCR|1VULN|1TLV|1AART|1SELL	1BOSS|2VULN|3SELL|4CGEN|5BLAICY|6AART|79RCR|8ASPD|aTLV
14	22234 31256	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG|1AAC	1AAC|2DUR|3MLV|4VULN|5CDMG|6TBNT|7aRCR|8AEFBLL|9BOSS
15	51541 23132	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1BOSS|2VULN|3RPLT|4TLV|5MLV|6DUST|7RCVC|89RCR|aCGEN
16	51541 23133	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1BOSS|2VULN|3RPLT|4TLV|5MLV|6DUST|7RCVC|89RCR|aBEXP
17	51433 23322	 * 	243.36	ACR|DCR|3VULN|1TLV	1BOSS|256VULN|3aRCR|4ERES|7TLV|8RMIN|9AIRBOS
18	23226 11536	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AAC|2CDMG|3TLV|4LHND|5LSRREG|6CGEN|7ERES|8aRCR|9VULN
