0	Index      	 *	Score 	Summary	Detail	
1	52614 21233	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2TLV|3RPLT|4DMSP|5DMG|6FRZICY|7DUST|89RCR|aVULN
2	13256 31341	 * 	244.64	DCR|DCR|2VULN|1MLV|1AAC	1DUST|28VULN|3RMIN|4AAC|5FEWX|69RCR|7MLV|aBEXP
3	13256 31343	   	244.64	DCR|DCR|2VULN|1MLV|1AAC	1DUST|28VULN|3RMIN|4AAC|5FEWX|69RCR|7MLV|aBELT
4	13256 31342	   	244.54	DCR|DCR|2VULN|1MLV|1AAC	1DUST|28VULN|3RMIN|4AAC|5FEWX|69RCR|7MLV|aMDPS
5	23532 24216	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DUR|2VULN|3BASICY|4BEXP|5FEWX|6BELT|7aRCR|8AART|9CDMG
6	52311 21316	 * 	242.53	DCR|3VULN|2TLV|2DUR|1AART	1TBNT|29TLV|3CGEN|469VULN|5AART|79DUR|8RMIN|9BPWR|aRCR
7	13124 12632	 * 	241.99	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|29VULN|3DUR|4TLV|5AART|67DMG|8ASPD|aRCR
8	23224 12632	   	241.99	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUR|29VULN|3DUST|4TLV|5AART|67DMG|8ASPD|aRCR
9	23151 16522	 * 	240.22	DCR|3VULN|3DUR|2TLV	13aDUR|26aVULN|4FEWX|59ERES|7aTLV|8RCR|aBPWR
10	52311 21626	 * 	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TBNT|2TLV|3CGEN|468VULN|5AART|7DUR|9DMG|aRCR
11	52311 23626	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TBNT|2TLV|3CGEN|467VULN|5AART|8DUR|9DMG|aRCR
12	21542 31261	 * 	239.31	DCR|2VULN|1FLTARM|1TLV|1MLV|1DUR|1CDMG|1AAC	1DUR|2AAC|3CDMG|4FLTARM|5FEWX|6MLV|7RCR|8aVULN|9TLV
13	33611 32233	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2RPLT|3ERES|4MULHEA|5DMG|6MLV|7TBNT|89RCR|aVULN
14	13124 14632	 * 	236.86	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1DUST|29VULN|37DUR|4TLV|5AART|6DMG|8ASPD|aRCR
15	23224 14632	   	236.86	DCR|2VULN|2DUR|1TLV|1DMG|1AART	17DUR|29VULN|3DUST|4TLV|5AART|6DMG|8ASPD|aRCR
16	11146 24212	   	236.45	DCR|DCR|1VULN|1DMG|1AART|1AAC	1DUST|2AAC|3BEXP|4DMG|5AART|6TBNT|7aRCR|8VULN|9BELT
17	53336 16233	   	235.88	DCR|DCR|1VULN|1TLV	1TBNT|2BLASTR|3BEXP|4RPLT|5TLV|6RCVC|7ASPD|89RCR|aVULN
