0	Index      	 *	Score 	Summary	Detail	
1	24313 24215	 * 	291.36	DCR|DCR|2VULN|1TLV|1DMG|1MSLTOX	1AEWIND|2TLV|3ERES|48VULN|5AIRHEA|6MSLTOX|7DMG|9aRCR
2	24215 33215	 * 	288.29	DCR|DCR|2VULN|1FLTARM|1TLV	1AEWIND|2TLV|3ASPD|48VULN|5CGEN|6FLTARM|7CANARM|9aRCR
3	12163 61315	   	279.00	DCR|DCR|2VULN|1DMG|1MSLTOX|1DUR	12RCVC|38VULN|4DUR|5BLAICY|6DMG|7MSLTOX|9aRCR
4	12213 61315	   	279.00	DCR|DCR|2VULN|1DMG|1MSLTOX|1DUR	12RCVC|3DUR|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
5	24313 63215	   	275.01	DCR|DCR|2VULN|1TLV|1DMG	1AEWIND|2TLV|3ERES|48VULN|5AIRHEA|6DMG|7CANARM|9aRCR
6	43131 61315	 * 	274.47	DCR|DCR|3VULN|1MSLTOX	1ASPD|2FEWX|3FRZICY|468VULN|5DMSP|7MSLTOX|9aRCR
7	43132 61315	   	274.37	DCR|DCR|3VULN|1MSLTOX	1ASPD|2FEWX|3FRZICY|468VULN|5AEWIND|7MSLTOX|9aRCR
8	12513 61315	   	265.35	DCR|DCR|2VULN|1DMG|1MSLTOX	12RCVC|3FEWX|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
9	16113 61315	   	265.15	DCR|DCR|2VULN|1DMG|1MSLTOX	1RCVC|2AEWIND|3DUST|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
10	25113 61315	   	265.15	DCR|DCR|2VULN|1DMG|1MSLTOX	1AEWIND|2RCVC|3DUST|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
11	23413 61315	   	265.05	DCR|DCR|2VULN|1DMG|1MSLTOX	1AEWIND|23DUST|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
12	23613 61315	   	265.05	DCR|DCR|2VULN|1DMG|1MSLTOX	1AEWIND|2DUST|3AEFBLL|48VULN|5BLAICY|6DMG|7MSLTOX|9aRCR
13	12163 24315	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	12RCVC|38VULN|4DUR|5BLAICY|6AIRHEA|7DMG|9aRCR
14	12213 24315	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	12RCVC|3DUR|48VULN|5BLAICY|6AIRHEA|7DMG|9aRCR
