0	Index      	 *	Score 	Summary	Detail	
1	53643 11331	 * 	231.46	3BASARM|3ASPD|3DMG|1VULN|2BEXP	168DMG|2RMIN|39aASPD|4VULN|569BASARM|69BPWR|79BEXP
2	54113 13231	 * 	224.91	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aAAC
3	54113 53231	   	224.91	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|9ASPD|aAAC
4	54113 13232	   	216.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aZMB
5	54113 13233	   	216.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aLHND
6	54113 13236	   	216.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aCGEN
7	54113 53232	   	216.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|9ASPD|aZMB
8	54113 53233	   	216.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|9ASPD|aLHND
9	54113 13234	   	216.51	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aERES
10	54113 13235	   	216.51	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9ASPD|aTLV
11	54113 13243	   	216.51	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9MDPS|aASPD
12	53643 11332	   	214.53	3BASARM|3DMG|2ASPD|1VULN|2BEXP	168DMG|2RMIN|39ASPD|4VULN|569BASARM|69BPWR|79BEXP|aLHND
13	53643 11333	   	214.53	3BASARM|3DMG|2ASPD|1VULN|2BEXP	168DMG|2RMIN|39ASPD|4VULN|569BASARM|69BPWR|79BEXP|aLIT
14	11631 15134	 * 	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1MDPS|2CDMG|3LIT|4RCR|58ASPD|6ZMB|7BASARM|9aBEXP
15	54522 33312	 * 	211.68	ACR|3VULN|3DMG|2CDMG	179DMG|27aVULN|3RCR|4aCDMG|5TLV|67FEWX|7aBPWR|8aLIT
16	54113 13114	   	210.19	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1DMG|2VULN|3LIT|4RCR|5aBEXP|6DUR|7BASARM|8ZMB|9CDMG
17	54113 13314	   	210.09	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1DMG|2VULN|3LIT|4RCR|5aBEXP|6DUR|7BASARM|8AAC|9CDMG
18	54531 11112	 * 	208.75	ACR|2VULN|3DMG|1ASPD|1BEXP	17aDMG|25VULN|3RCR|4aZMB|6ASPD|8BEXP|9aSPLREG|aBPWR
19	54523 32331	 * 	207.94	ACR|2VULN|2DMG|2BEXP|2CDMG	1aDMG|28VULN|3RCR|4aCDMG|5LIT|6MLV|7NUKE|9aBEXP|aBPWR
20	11631 15132	   	207.50	ACR|1BASARM|2ASPD|1BEXP|1CDMG|1AAC	1MDPS|2CDMG|3LIT|4RCR|58ASPD|6ZMB|7BASARM|9BEXP|aAAC
21	54113 13211	 * 	206.57	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|aMLV
22	54113 13215	   	206.57	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|aLWND
23	54113 53211	   	206.57	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|aMLV
24	54113 13212	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|aMDPS
25	54113 13213	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|aDUST
26	54113 13214	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|aTLV
27	54113 53212	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|aMDPS
28	54113 53213	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1DMG|29VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|aDUST
29	54113 13263	 * 	206.39	ACR|1BASARM|3BEXP|1VULN|1DMG	1DMG|2VULN|3LIT|4RCR|58aBEXP|6DUR|7BASARM|9DUST
30	11631 15152	 * 	205.61	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1MDPS|2CDMG|3aLIT|4RCR|58ASPD|6ZMB|7BASARM|9BASICY
31	11631 15153	   	205.61	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1MDPS|2CDMG|3LIT|4RCR|58ASPD|6ZMB|7BASARM|9BASICY|aCGEN
32	11631 15133	 * 	205.51	ACR|1BASARM|2ASPD|2CDMG|1BEXP	1MDPS|2aCDMG|3LIT|4RCR|58ASPD|6ZMB|7BASARM|9BEXP
33	54114 13213	   	203.70	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5MDPS|6RCVC|7BASARM|8BEXP|9LHND|aASPD
34	54113 13112	   	203.66	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8ZMB|9CDMG|aAAC
35	54113 53112	   	203.66	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6LWND|7BASARM|8ZMB|9CDMG|aAAC
36	54113 13412	   	203.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8TLV|9CDMG|aAAC
37	54113 13512	   	203.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8AME|9CDMG|aAAC
38	54113 13221	   	203.53	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|58BEXP|6DUR|7BASARM|9MLV|aAAC
39	54113 53221	   	203.53	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|58BEXP|6LWND|7BASARM|9MLV|aAAC
40	54113 13431	   	203.43	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|59BEXP|6DUR|7BASARM|8TLV|aAAC
41	54113 13531	   	203.43	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1DMG|2VULN|3LIT|4RCR|59BEXP|6DUR|7BASARM|8AME|aAAC
