0	Index      	 *	Score 	Summary	Detail	
1	53251 26122	 * 	236.12	ACR|2BASARM|3ASPD|2BEXP	147LIT|247DUR|3RCR|47aBPWR|5MDPS|67aASPD|8aBASARM|9aBEXP
2	54212 12632	 * 	226.41	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8ASPD|9aBEXP
3	54212 12132	   	211.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8LWND|9ASPD|aBEXP
4	54212 12622	   	211.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8ASPD|9DUR|aBEXP
5	54252 12132	   	211.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MDPS|4SNITOX|5VULN|6BASARM|7DMG|8LWND|9ASPD|aBEXP
6	54212 12631	   	211.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8ASPD|9BEXP|aERES
7	54212 12633	   	211.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8ASPD|9BEXP|aDUST
8	42341 63123	 * 	207.71	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1VENTOX|2BEXP|3DUST|4RCR|5CDMG|6aVULN|7ASPD|8MLV|9BASARM
9	53251 26132	   	207.63	ACR|2BASARM|3ASPD	147LIT|247DUR|3RCR|47aBPWR|5MDPS|67aASPD|8aBASARM|9aFEWX
10	53251 26112	   	207.43	ACR|2BASARM|3ASPD	147LIT|247DUR|3RCR|47aBPWR|5MDPS|67aASPD|8aBASARM|9LEGI
11	54212 12135	   	206.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1LIT|2RCR|3MDPS|4LSRREG|5VULN|6BASARM|7DMG|8LWND|9ASPD|aAAC
