0	Index      	 *	Score 	Summary	Detail	
1	62321 23451	 * 	220.01	ACR|1BASARM|3VULN|1ASPD|1DMG|1CDMG	127VULN|35FEWX|4RCR|6ASPD|8DMG|9CDMG|aBASARM
2	62323 13451	 * 	210.95	ACR|1BASARM|4VULN|1DMG|1CDMG	1267VULN|3FEWX|4RCR|5RMIN|8DMG|9CDMG|aBASARM
3	35311 33437	 * 	210.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aASPD
4	35311 38147	   	210.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aASPD
5	35318 33437	   	210.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aASPD
6	35317 33437	   	210.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aASPD
7	13216 22426	 * 	205.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	19ASPD|23ZMB|4RCR|5AEMAG|6AME|7BEXP|8DMG|aBASARM
8	26265 34214	 * 	205.16	ACR|3VULN|2BEXP|1ASPD|1DMG|1CDMG	1aLIT|2ASPD|3RCR|4aBEXP|5MBVNT|6DMG|7CDMG|89aVULN|aBPWR
9	62321 22351	 * 	204.17	ACR|1BASARM|2VULN|1ASPD|2AAC|1CDMG	12VULN|35FEWX|4RCR|6ASPD|78AAC|9CDMG|aBASARM
10	35311 33432	   	204.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aBEXP
11	35311 38142	   	204.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aBEXP
12	35318 33432	   	204.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aBEXP
