0	Index      	 *	Score 	Summary	Detail	
1	43611 23162	 * 	257.60	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9ASPD|aBEXP
2	43611 23133	 * 	247.85	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9AAC
3	43611 23533	   	247.85	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9AAC
4	43611 22362	 * 	247.01	ACR|3VULN|2ASPD|2DMG|1AART|1CDMG	159VULN|25DMG|3RCR|4AART|59BPWR|69LIT|7MBVNT|89ASPD|aCDMG
5	43611 23161	   	243.95	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9ASPD|aLHND
6	43611 23261	   	243.95	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8aLHND|9ASPD
7	43611 23263	   	243.95	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LHND|9ASPD|aBELT
8	43611 23163	   	243.85	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9ASPD|aNUKE
9	43611 23132	   	243.54	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9AAC|aBEXP
10	43611 23532	   	243.54	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9AAC|aBEXP
11	43611 31325	 * 	242.77	ACR|2VULN|3DMG|2AART|1ASPD|1BEXP	15VULN|258DMG|3RCR|49AART|5BPWR|6BEXP|7RMIN|aASPD
12	43611 31335	 * 	241.96	ACR|3VULN|3DMG|1ASPD|1BEXP|1AART	159VULN|258DMG|3RCR|4AART|5BPWR|6BEXP|7RMIN|aASPD
13	43611 23113	   	239.54	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9CGEN
14	43611 23323	   	239.54	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9DUR
15	43611 23413	   	239.54	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LWND|9CGEN
