0	Index      	 *	Score 	Summary	Detail	
1	53132 16241	 * 	308.96	ACR|DCR|2VULN|1TLV|2CDMG|2RAT	19CDMG|2MDPS|3LWND|49RAT|57RCR|6RPLT|89VULN|9BPWR|aTLV
2	42222 14622	 * 	307.70	DCR|DCR|2VULN|1TLV|2DUR|1CDMG	1TLV|25DUR|3RCVC|4BEXP|6CDMG|78RCR|9aVULN
3	42232 14622	   	307.70	DCR|DCR|2VULN|1TLV|2DUR|1CDMG	1TLV|25DUR|3RCVC|4FEWX|6CDMG|78RCR|9aVULN
4	42142 11362	 * 	297.14	DCR|DCR|2TLV|1VULN|2DUR	17TLV|27DUR|3VULN|4CANARM|578ERES|69RCR|7BPWR|aFRZICY
5	41513 14313	 * 	295.40	DCR|3TLV|3VULN|1ASPD|1CDMG	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LIT|aASPD
6	41513 41321	   	291.32	DCR|3VULN|2TLV|1ASPD|1CDMG	15TLV|2CDMG|3BEXP|459VULN|5BPWR|6MULHEA|7RCR|8DUR|aASPD
7	42142 11361	   	290.20	DCR|DCR|2TLV|1VULN|2DUR	17TLV|27DUR|3VULN|4CANARM|578ERES|69RCR|7BPWR|aRPLT
8	42142 11363	   	290.10	DCR|DCR|2TLV|1VULN|2DUR	17TLV|27DUR|3VULN|4CANARM|578ERES|69RCR|7BPWR|aMULARM
9	12434 16723	 * 	289.65	ACR|2TLV|2VULN|3FRZARM|1DMG|1AEBURN	1MDPS|2MBVNT|349FRZARM|49BPWR|5RCR|6DMG|79TLV|89VULN|aAEBURN
10	41513 14112	 * 	289.15	DCR|4VULN|2TLV|1CDMG	15TLV|2CDMG|3BEXP|456aVULN|5BPWR|7RCR|8LWND|9FEWX
11	41513 14223	   	289.05	DCR|4VULN|2TLV|1CDMG	15TLV|2CDMG|38BEXP|456aVULN|5BPWR|7RCR|9MGNSTR
12	41111 14622	   	289.00	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2CDMG|3AME|45LWND|6CGEN|78RCR|9aVULN
13	41513 13136	   	288.95	DCR|4VULN|2TLV|1CDMG	15TLV|2CDMG|3BEXP|4567VULN|5BPWR|8CANARM|9ERES|aRCR
14	41511 14323	   	288.95	DCR|4VULN|2TLV|1CDMG	18TLV|2CDMG|3BEXP|456aVULN|7RCR|9MGNSTR
15	41123 14622	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2CDMG|3AME|4AEFRZ|5BEXP|6CGEN|78RCR|9aVULN
16	41333 14622	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2CDMG|3AEWIND|4LWND|5RMIN|6CGEN|78RCR|9aVULN
17	41313 14623	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2CDMG|3AEWIND|4DUST|5RMIN|6CGEN|78RCR|9aVULN
18	41513 14312	   	288.69	DCR|3TLV|3VULN|1CDMG	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LIT|aRAT
19	41513 14222	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	15TLV|2CDMG|38BEXP|456VULN|5BPWR|7RCR|9MGNSTR|aAEBURN
20	41511 14322	   	287.97	DCR|3VULN|2TLV|1AEBURN|1CDMG	18TLV|2CDMG|3BEXP|456VULN|7RCR|9MGNSTR|aAEBURN
21	16632 16121	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1MDPS|2LWND|3CDMG|4RAT|57RCR|6RPLT|8AEBURN|9VULN|aTLV
22	16632 16231	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1MDPS|2LWND|3CDMG|4RAT|57RCR|6RPLT|8VULN|9AEBURN|aTLV
23	53132 16121	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2MDPS|3LWND|4RAT|57RCR|6RPLT|8AEBURN|9VULN|aTLV
24	53132 16231	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2MDPS|3LWND|4RAT|57RCR|6RPLT|8VULN|9AEBURN|aTLV
25	42222 14633	   	284.78	DCR|DCR|1TLV|1VULN|2DUR|1CDMG	1TLV|25DUR|3RCVC|4BEXP|6CDMG|78RCR|9ZMB|aVULN
26	42232 14633	   	284.78	DCR|DCR|1TLV|1VULN|2DUR|1CDMG	1TLV|25DUR|3RCVC|4FEWX|6CDMG|78RCR|9ZMB|aVULN
27	43111 31262	   	284.06	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|2BEXP|36aVULN|4ERES|5AART|7DUST|8aDUR|9RCR|aBPWR
28	12434 36723	   	283.24	ACR|2TLV|2VULN|3FRZARM|1AEBURN|1ASPD	1MDPS|2MBVNT|349FRZARM|49BPWR|5RCR|6ASPD|79TLV|89VULN|aAEBURN
29	12434 16722	 * 	283.24	ACR|3TLV|2VULN|3FRZARM|1DMG	1MDPS|2MBVNT|349FRZARM|49BPWR|5RCR|6DMG|79aTLV|89VULN
30	41513 41121	   	281.65	DCR|3VULN|2TLV|1ASPD|1CDMG	15TLV|2CDMG|3BEXP|459VULN|5BPWR|6MULHEA|7RCR|8FEWX|aASPD
31	41513 14311	   	281.65	DCR|3TLV|3VULN|1CDMG|1MSE	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LIT|aMSE
32	41513 14332	   	281.65	DCR|3TLV|3VULN|1CDMG	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LEGI|aLWND
33	41513 14333	   	281.65	DCR|3TLV|3VULN|1CDMG	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LEGI|aLHND
34	41513 14321	   	281.55	DCR|3TLV|3VULN|1CDMG|1MSE	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9MSE|aCANSTR
35	41513 14322	   	281.55	DCR|3TLV|3VULN|1CDMG|1MSE	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9MSE|aLWND
36	41513 14323	   	281.55	DCR|3TLV|3VULN|1CDMG|1MSE	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9MSE|aLHND
37	41513 14331	   	281.55	DCR|3TLV|3VULN|1CDMG	158TLV|2CDMG|3BEXP|456VULN|5BPWR|7RCR|9LEGI|aCANSTR
38	41425 22332	   	280.69	DCR|2TLV|2VULN|1AEFBLL|2CDMG|1AART	13TLV|29CDMG|4AART|5aVULN|6LWND|7RCR|8AEFBLL
39	41513 14212	   	279.11	DCR|3VULN|2TLV|1CDMG|1AART	15TLV|2CDMG|38BEXP|456VULN|5BPWR|7RCR|9CGEN|aAART
40	41511 14312	   	279.01	DCR|3VULN|2TLV|1CDMG|1AART	18TLV|2CDMG|3BEXP|456VULN|7RCR|9CGEN|aAART
