0	Index      	 *	Score 	Summary	Detail	
1	31131 23242	 * 	299.41	DCR|3VULN|1TLV|2DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aASPD
2	31141 23242	   	299.41	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aASPD
3	52141 23242	 * 	299.41	DCR|3VULN|1TLV|2DMG|1AEFBLL|1ASPD	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|89DMG|aASPD
4	21131 23663	 * 	299.07	DCR|4VULN|1TLV|1AEPOI|2DUR|1AART	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8AEPOI|9AART
5	21131 23641	 * 	296.56	DCR|4VULN|1TLV|3DUR|1AEPOI	1LHND|249DUR|345aVULN|4BPWR|6TLV|7RCR|8AEPOI
6	31131 23445	 * 	296.17	DCR|4VULN|1TLV|1DMG|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8ZMB|9DMG
7	34854 31424	 * 	295.27	DCR|4VULN|2TLV|2AEFBLL	1MDPS|2MBVNT|346aVULN|5MGNSTR|7aAEFBLL|8aTLV|9RCR|aBPWR
8	21131 23445	   	295.01	DCR|4VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8ZMB|9DMG
9	33164 13353	 * 	294.61	ACR|2TLV|2VULN|2DMG|1ASPD|1CDMG	1MDPS|2SPLARM|3RCR|4aTLV|5CDMG|6ASPD|7aDMG|8LWND|9aVULN|aBPWR
10	21131 23234	 * 	294.02	DCR|3VULN|1TLV|1DMG|1AEPOI|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aAEPOI
11	21131 23664	   	291.67	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD|1AART	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9AART|aASPD
12	21131 23243	   	291.54	DCR|3VULN|1TLV|2DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG|aRAT
13	22362 33155	 * 	290.21	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG|1AART	1LHND|2VULN|3CDMG|4AEPOI|5TLV|6AART|7LWND|8CGEN|9aRCR
14	22413 23155	 * 	290.21	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG|1AART	1LHND|2VULN|3TLV|4CDMG|5AART|6AEFBLL|7LWND|8CGEN|9aRCR
15	21141 23663	   	289.93	DCR|4VULN|1TLV|1AEPOI|1AART	1LHND|2DUR|345aVULN|6TLV|7RCR|8AEPOI|9AART
16	22433 33663	   	289.93	DCR|4VULN|1TLV|1AEPOI|1AART	1LHND|245aVULN|3TLV|6DUR|7RCR|8AEPOI|9AART
17	31131 23145	   	289.23	DCR|4VULN|1TLV|1DMG|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8CGEN|9DMG
18	31131 23235	   	289.23	DCR|4VULN|1TLV|1DMG|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8DMG|9MLV
19	31141 23145	   	289.23	DCR|4VULN|1TLV|1DMG|1AEBURN	1MDPS|2AEBURN|345aVULN|6TLV|7RCR|8CGEN|9DMG
20	31141 23235	   	289.23	DCR|4VULN|1TLV|1DMG|1AEBURN	1MDPS|2AEBURN|345aVULN|6TLV|7RCR|8DMG|9MLV
21	52141 23235	 * 	289.23	DCR|4VULN|1TLV|1AEFBLL|1DMG	1AEFBLL|2MDPS|345aVULN|6TLV|7RCR|8DMG|9MLV
22	22352 35114	 * 	289.00	ACR|DCR|4VULN|3CDMG	18LHND|2578VULN|358CDMG|4aRCR|58BPWR|6RCVC|9LWND
23	22352 35134	   	289.00	ACR|DCR|4VULN|3CDMG	18LHND|2578VULN|358CDMG|4aRCR|58BPWR|6RCVC|9FEWX
24	22352 35124	   	288.90	ACR|DCR|4VULN|3CDMG	18LHND|2578VULN|358CDMG|4aRCR|58BPWR|6RCVC|9DUST
25	33165 31744	 * 	288.85	ACR|4VULN|3TLV	1MDPS|2aSPLARM|3RCR|46aTLV|589aVULN|7MBVNT|aBPWR
26	31131 23443	   	288.77	DCR|3VULN|1TLV|1DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aASPD
27	31141 23443	   	288.77	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8ZMB|9DMG|aASPD
28	21131 23145	   	288.07	DCR|4VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8CGEN|9DMG
29	21131 23655	   	288.07	DCR|4VULN|1TLV|1AEPOI|2DUR	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8AEPOI|9BEXP
30	21131 23225	   	287.97	DCR|4VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8DMG|9ERES
31	21131 23443	   	287.61	DCR|3VULN|1TLV|1DMG|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aASPD
32	21131 23633	   	287.61	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD|aRAT
33	31131 23345	 * 	287.51	DCR|5VULN|1TLV|2AEBURN	1MDPS|24AEBURN|3459aVULN|4BPWR|6TLV|7RCR|8BEXP
34	31141 23345	   	287.51	DCR|5VULN|1TLV|1AEBURN	1MDPS|2AEBURN|3459aVULN|6TLV|7RCR|8BEXP
35	21131 23215	   	287.08	DCR|3VULN|1TLV|1DMG|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9BELT|aAEBURN
36	22434 33234	 * 	286.39	DCR|2TLV|2VULN|1DMG|1AEPOI	1LHND|24VULN|35TLV|6DUR|7RCR|8DMG|9RAT|aAEPOI
37	21131 23345	   	286.35	DCR|5VULN|1TLV|2DUR	1LHND|24DUR|3459aVULN|4BPWR|6TLV|7RCR|8BEXP
38	51321 23551	   	286.14	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1AEFBLL|2LWND|3CDMG|4ZMB|5TLV|6DMSP|7CGEN|89RCR|aVULN
39	31131 23241	   	285.76	DCR|3VULN|1TLV|2DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aLHND
40	31131 23244	   	285.76	DCR|3VULN|1TLV|2DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aLWND
41	31141 23241	   	285.76	DCR|3VULN|1TLV|2DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aLHND
42	31141 23244	   	285.76	DCR|3VULN|1TLV|2DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aLWND
43	52141 23241	   	285.76	DCR|3VULN|1TLV|2DMG|1AEFBLL	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|89DMG|aLHND
