0	Index      	 *	Score 	Summary	Detail	
1	12521 13241	 * 	290.57	DCR|2TLV|2VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAEPOI
2	63221 21344	 * 	290.22	DCR|3VULN|2TLV|2ASPD|1DUR|1NUKE	1NUKE|26aVULN|3DUR|4aASPD|58AAC|7aTLV|9RCR|aBPWR
3	12521 13146	 * 	284.26	DCR|3TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|67VULN|8LWND|9RCR
4	12521 13145	   	281.61	DCR|2TLV|2VULN|3DUR|1ASPD|1AART	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LWND|9RCR|aAART
5	12521 13245	   	281.51	DCR|2TLV|2VULN|3DUR|1ASPD|1AART	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAART
6	12521 12234	 * 	280.21	DCR|2TLV|1VULN|3DUR|2ASPD|1AEPOI	1aASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI
7	12521 24234	   	280.21	DCR|2TLV|1VULN|3DUR|2ASPD|1AEPOI	1aASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9AEPOI
8	12521 12264	   	277.45	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6aVULN|7ZMB|8RCR|9BASICY
9	52584 32114	 * 	277.23	DCR|2TLV|2VULN|1DMG|1AART|1DUR	1AART|2ZMB|3MBVNT|4DUR|58TLV|6aVULN|7DMG|9RCR
10	62521 13241	   	276.82	DCR|2TLV|2VULN|3DUR|1AEPOI|1NUKE	1NUKE|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAEPOI
11	15121 21344	   	274.57	DCR|2TLV|2VULN|2ASPD|2DUR|1NUKE	1aASPD|2NUKE|36VULN|4aDUR|58AAC|7aTLV|9RCR|aBPWR
12	12521 11146	 * 	274.47	DCR|3TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR
13	12521 14236	 * 	274.47	DCR|3TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|6VULN|7AAC|8RCR|9DMG
14	12521 11145	   	271.82	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD|1AART	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR|aAART
15	12521 14235	   	271.82	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD|1AART	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9DMG|aAART
16	12521 11245	   	271.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD|1AART	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aAART
17	25322 41612	 * 	271.37	DCR|3TLV|1VULN|2DMG|1AEFBLL	127LWND|3CGEN|467TLV|57DMG|7BPWR|8RCR|9AEFBLL|aVULN
