0	Index      	 *	Score 	Summary	Detail	
1	33353 26326	 * 	317.43	DCR|4VULN|3TLV|1AART	1AART|2569VULN|3RAT|49aTLV|7RCR|89ZMB|9BPWR
2	33621 32531	 * 	316.40	DCR|5VULN|1TLV|2DMG|1AART	1AART|2456aVULN|3TLV|7aDMG|8aCGEN|9RCR|aBPWR
3	33363 26411	   	311.50	DCR|4VULN|1TLV|2DMG|2RAT|1AART	1AART|2569VULN|39RAT|49DMG|7RCR|8MDPS|9BPWR|aTLV
4	33621 26326	   	310.39	DCR|4VULN|2TLV|2RAT|1AART	1AART|2459VULN|3aTLV|69RAT|7RCR|89ZMB|9BPWR
5	33353 12426	   	305.86	DCR|3TLV|3VULN|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49aTLV|69CDMG|7RCR|8SELL|9BPWR
6	63621 32531	   	305.29	DCR|5VULN|1TLV|2DMG	1DLOT|2456aVULN|3TLV|7aDMG|8aCGEN|9RCR|aBPWR
7	33364 21226	 * 	304.79	ACR|4VULN|1TLV|2DMG|1AART	1AART|2789VULN|3RAT|49DMG|5RCR|69ERES|9BPWR|aTLV
8	33353 26321	   	303.78	DCR|4VULN|2TLV|1AART	1AART|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aBEXP
9	33353 26324	   	303.78	DCR|4VULN|2TLV|1AART	1AART|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aMLV
10	33353 26322	   	303.68	DCR|4VULN|2TLV|1AART	1AART|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aAETHUN
11	33353 26323	   	303.68	DCR|4VULN|2TLV|1AART	1AART|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aAEWIND
12	33353 26325	   	303.68	DCR|4VULN|2TLV|1AART	1AART|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aBASICY
13	33353 26111	   	300.16	DCR|4VULN|2TLV|2RAT|1AART	1AART|256aVULN|3aRAT|4aTLV|7RCR|8DMSP|9RCVC|aBPWR
14	33621 26111	   	300.16	DCR|4VULN|2TLV|2RAT|1AART	1AART|245aVULN|3aTLV|6aRAT|7RCR|8DMSP|9RCVC|aBPWR
15	35221 26411	 * 	299.96	DCR|4VULN|1TLV|2ASPD|2RAT|1AART	1AART|29ASPD|3459VULN|69RAT|7RCR|8MDPS|9BPWR|aTLV
16	33624 32531	   	298.05	DCR|4VULN|1TLV|2DMG|1AART	1AART|246aVULN|3TLV|5DMSP|7aDMG|8aCGEN|9RCR|aBPWR
17	35221 32214	   	293.92	DCR|4VULN|1TLV|1DMG|1ASPD|1AART	1AART|2ASPD|3456VULN|7DMG|8TLV|9CGEN|aRCR
18	35221 32224	   	293.92	DCR|4VULN|1TLV|1DMG|1ASPD|1AART	1AART|2ASPD|3456VULN|7DMG|8TLV|9RMIN|aRCR
19	63621 32314	   	293.82	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1DLOT|2456VULN|3TLV|7DMG|8AART|9RCR|aCDMG
20	33135 11156	   	293.55	DCR|4VULN|2TLV|1AART	1AART|256aVULN|3aLHND|4RAT|7RCR|8FEWX|9aTLV|aBPWR
21	33135 11356	   	293.45	DCR|4VULN|2TLV|1AART	1AART|256aVULN|3aLHND|4RAT|7RCR|8DUST|9aTLV|aBPWR
22	33353 23327	   	293.45	DCR|4VULN|2TLV|1AART	1AART|256aVULN|3RAT|4aTLV|7aLWND|8RCR|9MBVNT|aBPWR
23	33353 63327	   	293.45	DCR|4VULN|2TLV|1AART	1AART|257aVULN|3RAT|4aTLV|6aLWND|8RCR|9MBVNT|aBPWR
24	33353 26141	   	293.35	DCR|4VULN|2TLV|1AART	1AART|256aVULN|3RAT|4aTLV|7RCR|8DMSP|9aAEFRZ|aBPWR
25	63353 26321	   	292.68	DCR|4VULN|2TLV	1DLOT|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aBEXP
26	63353 26322	   	292.58	DCR|4VULN|2TLV	1DLOT|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aAETHUN
27	63353 26323	   	292.58	DCR|4VULN|2TLV	1DLOT|2569VULN|3RAT|49TLV|7RCR|89ZMB|9BPWR|aAEWIND
28	33353 12421	   	292.21	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49TLV|69CDMG|7RCR|8SELL|9BPWR|aBEXP
29	33353 12424	   	292.21	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49TLV|69CDMG|7RCR|8SELL|9BPWR|aMLV
30	33353 12422	   	292.11	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49TLV|69CDMG|7RCR|8SELL|9BPWR|aAETHUN
31	33353 12423	   	292.11	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49TLV|69CDMG|7RCR|8SELL|9BPWR|aAEWIND
32	33353 12425	   	292.11	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1AART|259VULN|3RAT|49TLV|69CDMG|7RCR|8SELL|9BPWR|aBASICY
33	33363 12263	   	289.47	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1AART|25aVULN|3RAT|4DMG|6CDMG|7RCR|8TLV|9DUR
34	33352 26326	   	289.24	DCR|3VULN|2TLV|2RAT|1AART	1AART|269VULN|39RAT|4aTLV|5AEFRZ|7RCR|89ZMB|9BPWR
35	63353 26111	   	289.05	DCR|4VULN|2TLV|2RAT	1DLOT|256aVULN|3aRAT|4aTLV|7RCR|8DMSP|9RCVC|aBPWR
36	63621 26111	   	289.05	DCR|4VULN|2TLV|2RAT	1DLOT|245aVULN|3aTLV|6aRAT|7RCR|8DMSP|9RCVC|aBPWR
