0	Index      	 *	Score 	Summary	Detail	
1	23621 14531	 * 	316.66	紫4易伤3等级3矿等1伤害	167等级2策反3789易伤4核567矿等67序列升级a伤害
2	23621 14335	 * 	305.36	紫3等级3矿等2易伤1雷电	167等级2策反37易伤4核567矿等67序列升级8平台9赏金邻近a雷电
3	24352 21363	 * 	304.22	紫橙2等级2易伤3攻速	19等级2赏金邻近39易伤47核5额外掉落689攻速9序列升级a平台
4	23621 14226	   	301.04	紫3等级3矿等2易伤1雷电1攻速	167等级2策反37易伤4核567矿等67序列升级8攻速9额外掉落a雷电
5	22352 21363	   	300.12	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a平台
6	25352 21363	   	300.12	紫橙2等级2易伤3攻速	19等级29易伤3赏金塔47核5额外掉落689攻速9序列升级a平台
7	25121 62163	 * 	297.66	紫3易伤3雷电2等级1矿等	19等级279易伤3金币生成4核5矿等6全技能89a雷电9序列升级
8	23621 14532	   	296.60	紫4易伤3等级3矿等	167等级2a策反3789易伤4核567矿等67序列升级
9	23621 14533	   	296.50	紫4易伤3等级3矿等	167等级2策反3789易伤4核567矿等67序列升级a掉矿
10	24352 21361	   	295.91	紫橙2等级2易伤3攻速	19等级2赏金邻近39易伤47核5额外掉落689攻速9序列升级a低血量敌人
11	24352 21362	   	295.91	紫橙2易伤2等级3攻速	19等级2赏金邻近39易伤47核5额外掉落689攻速9序列升级a金币生成
12	25522 23351	 * 	295.15	橙4易伤2等级1雷电2暴击	1a等级258a易伤3立即金币4雷电6核7毒液对黄9a暴击a序列升级
13	25221 62163	   	293.43	紫3易伤2等级2雷电1矿等1暴击	19等级279易伤3掉矿4核5矿等6全技能89雷电9序列升级a暴击
14	22352 21361	   	291.81	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a低血量敌人
15	22352 21362	   	291.81	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a金币生成
16	22352 21366	   	291.81	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a基地爆炸
17	25352 21361	   	291.81	紫橙2等级2易伤3攻速	19等级29易伤3赏金塔47核5额外掉落689攻速9序列升级a低血量敌人
18	25352 21362	   	291.81	紫橙2等级2易伤3攻速	19等级29易伤3赏金塔47核5额外掉落689攻速9序列升级a金币生成
19	22352 21364	   	291.71	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a挖尘
20	22352 21365	   	291.71	紫橙2等级2易伤3攻速	19等级2赏金塔39易伤47核5额外掉落689攻速9序列升级a喷火对愈
21	22335 56121	 * 	291.38	橙3易伤3等级1雷电1攻速	167等级2赏金塔367易伤4全技能5平台67序列升级8雷电9核a攻速
22	24335 31126	 * 	291.17	橙橙2易伤1等级	1等级2赏金邻近3a易伤4全技能5平台6双倍秒伤79核8策反
23	23621 14211	 * 	291.06	紫3等级3矿等2易伤2攻速	167等级2策反37易伤4核567矿等67序列升级89攻速a时间
24	23621 14623	   	288.91	紫3等级3矿等2易伤1伤害1攻速	167等级2策反37易伤4核567矿等67序列升级8挖尘9伤害a攻速
25	21521 62362	 * 	288.55	橙橙1等级1易伤1雷电	1等级2喷火对愈3时间4雷电5掉矿6双倍秒伤7全技能8a核9易伤
26	62124 15323	 * 	287.87	紫橙2雷电1等级1易伤1伤害1暴击	1敌人爆炸2伤害3金币生成48核5a雷电6等级7暴击9易伤
27	22612 13323	 * 	287.58	橙橙2等级2矿等	13等级2赏金塔36序列升级46掉矿56矿等7a核8双倍矿9赏金邻近
28	22632 13323	   	287.58	橙橙2等级2矿等	13等级2赏金塔36序列升级46技能点56矿等7a核8双倍矿9赏金邻近
29	24612 13323	   	287.58	橙橙2等级2矿等	13等级2赏金邻近36序列升级46掉矿56矿等7a核8双倍矿9赏金塔
30	24632 13323	   	287.58	橙橙2等级2矿等	13等级2赏金邻近36序列升级46技能点56矿等7a核8双倍矿9赏金塔
31	24352 21131	   	287.13	紫橙2雷电1等级1易伤1攻速	1等级2赏金邻近3易伤47核5额外掉落6攻速8a雷电9时间
32	23621 14161	   	287.10	紫3易伤3等级3矿等	167等级2策反379易伤4核567矿等67序列升级8金币生成a时间
33	22335 31126	   	287.07	橙橙2易伤1等级	1等级2赏金塔3a易伤4全技能5平台6双倍秒伤79核8策反
34	22335 31526	   	287.07	橙橙2易伤1等级	1等级2赏金塔3a易伤4全技能5平台6双倍秒伤79核8技能
35	25335 31126	   	287.07	橙橙2易伤1等级	1等级2a易伤3赏金塔4全技能5平台6双倍秒伤79核8策反
36	23621 14523	   	287.00	紫3易伤3等级3矿等	167等级2策反378易伤4核567矿等67序列升级9双倍秒伤a时间
