0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45332 36233	2	 * 	278.50	橙4易伤2时间2等级1伤害	13等级2368易伤3序列升级49时间5金币生成7核a伤害
2	45322 36231	4	 * 	278.08	橙5易伤2时间2等级	1a等级2468a易伤3基地爆炸5金币生成7核9a时间a序列升级
3	35366 32113	2	 * 	272.95	橙5易伤1伤害1等级1全技能	135掉矿23567易伤357序列升级4全技能8等级9伤害a核
4	35336 36232	2	   	272.77	橙5易伤2时间2雷电	136掉矿2358a易伤38序列升级48时间78雷电9核
5	35433 51213	10	 * 	271.76	橙4易伤3时间1伤害	178掉矿247a易伤3伤害5a最后敌人67a时间7a序列升级9核
6	45433 11443	10	 * 	269.85	橙2易伤2伤害2时间2等级1暴击1全技能	17等级24易伤37伤害57时间6加一7序列升级8全技能9暴击a核
7	25412 51323	7	 * 	267.01	橙3易伤3时间2伤害	179策反267易伤39伤害49低血量敌人578时间79序列升级a核
8	11434 31523	7	   	266.91	橙3易伤3时间2伤害	179敌人爆炸2随机矿35伤害479易伤679时间79序列升级8赏金邻近a核
9	13253 51523	7	   	265.57	橙3易伤3时间1伤害1等级	179敌人爆炸2立即金币379易伤4等级5伤害679时间79序列升级8赏金邻近a核
10	35412 61311	9	   	265.27	橙3易伤3时间1伤害1等级	17掉矿27a易伤3伤害4低血量敌人567时间7序列升级8等级9核
11	45322 22161	7	   	264.52	橙4易伤1伤害1等级1攻速1全技能	1等级247a易伤3基地爆炸5攻速6全技能8伤害9核
12	35336 36231	2	   	264.23	橙4易伤2时间2雷电1攻速	136掉矿2358易伤38序列升级48时间78雷电9核a攻速
13	45332 36213	2	   	263.92	橙4易伤2等级1伤害1时间	13等级2368易伤3序列升级4时间5金币生成7核9立即金币a伤害
14	45332 36222	2	   	263.92	橙4易伤2等级1伤害1时间	13等级2368易伤3序列升级4时间5金币生成7核9伤害a平台
15	45332 36221	2	   	263.82	橙4易伤2等级1伤害1时间	13等级2368易伤3序列升级4时间5金币生成7核9伤害a挖尘
16	45332 36223	2	   	263.82	橙4易伤2等级1伤害1时间	13等级2368易伤3序列升级4时间5金币生成7核9伤害a掉矿
17	45322 36232	2	   	263.82	橙4易伤2等级1伤害1时间	13等级2368易伤3序列升级4挖青5金币生成7核9时间a伤害
18	31151 44121	2	   	261.90	橙5易伤1伤害2雷电	127掉矿34678易伤57雷电7序列升级9伤害a核
19	33151 44121	2	   	261.90	橙5易伤1伤害2雷电	127掉矿27序列升级34678易伤57雷电9伤害a核
20	45433 22222	7	   	261.71	橙3易伤2时间1伤害1等级1全技能	1等级247易伤3伤害5a时间6全技能8最后敌人9核
21	45433 22322	7	   	261.71	橙3易伤2时间1伤害1等级1全技能	1等级247易伤3伤害5a时间6全技能8低血量敌人9核
22	45433 22322	8	   	261.71	橙3易伤2时间1伤害1等级1全技能	1等级247易伤3伤害5a时间6全技能8敌人爆炸9核
23	32434 61311	10	 * 	260.84	橙4易伤3伤害	178掉矿28最后敌人357伤害4789易伤6挖青78序列升级a核
24	45433 22221	7	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1等级247易伤3伤害5时间6全技能8最后敌人9核a暴击
25	45433 22321	7	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1等级247易伤3伤害5时间6全技能8低血量敌人9核a暴击
26	45433 22321	8	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1等级247易伤3伤害5时间6全技能8敌人爆炸9核a暴击
27	45322 36232	4	   	260.10	橙4易伤1伤害1等级1时间	1等级2468易伤3基地爆炸5金币生成7核9时间a伤害
