0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63434 33223	10	 * 	289.20	橙3易伤3伤害2时间2等级	18时间278伤害34a易伤5策反68等级8序列升级9核
2	63236 43311	4	 * 	284.53	橙4易伤2伤害2时间	19时间29伤害3金币生成4敌人爆炸5689易伤7核9序列升级a雷电
3	63236 43311	3	   	284.53	橙4易伤2伤害2时间	19时间29伤害3金币生成4最后敌人5689易伤7核9序列升级a雷电
4	63216 43311	3	   	284.43	橙4易伤2伤害2时间	19时间29伤害3金币生成4挖尘5689易伤7核9序列升级a雷电
5	63336 43311	2	   	284.43	橙4易伤2伤害2时间	19时间29伤害3掉矿4最后敌人5689易伤7核9序列升级a雷电
6	63316 43311	2	   	284.33	橙4易伤2伤害2时间	19时间29伤害3掉矿4挖尘5689易伤7核9序列升级a雷电
7	63225 22313	5	 * 	282.46	橙3易伤3伤害3时间	149时间259伤害3金币生成6核7最后敌人89a易伤9序列升级
8	63225 26313	5	   	282.46	橙3易伤3伤害3时间	149时间259伤害3金币生成6核7低血量敌人89a易伤9序列升级
9	63226 33315	6	   	282.46	橙3易伤3伤害3时间	149时间29a伤害3金币生成5基地爆炸689易伤7核9序列升级
10	63231 63315	4	   	282.46	橙3易伤3伤害3时间	159时间29a伤害3金币生成4敌人爆炸689易伤7核9序列升级
11	63234 33315	6	   	282.46	橙3易伤3伤害3时间	159时间29a伤害3金币生成4敌人爆炸689易伤7核9序列升级
12	63234 63213	3	   	282.46	橙3易伤3伤害3时间	159时间289伤害3金币生成4最后敌人69a易伤7核9序列升级
13	66121 23262	1	   	282.46	橙3易伤3伤害3时间	15a时间2基地爆炸3随机矿48a伤害69a易伤7核a序列升级
14	63236 43213	4	   	282.46	橙3易伤3伤害3时间	19a时间289伤害3金币生成4敌人爆炸569易伤7核9序列升级
15	63336 43213	4	   	282.46	橙3易伤3伤害3时间	19a时间289伤害3矿等4敌人爆炸569易伤7核9序列升级
16	63216 33315	3	   	282.36	橙3易伤3伤害3时间	169时间29a伤害3金币生成4挖尘589易伤7核9序列升级
17	63334 63213	2	   	282.36	橙3易伤3伤害3时间	159时间289伤害3掉矿4最后敌人69a易伤7核9序列升级
18	65133 63213	3	   	282.36	橙3易伤3伤害3时间	129时间29序列升级389伤害4掉矿5基地爆炸69a易伤7核
19	63211 63315	3	   	282.36	橙3易伤3伤害3时间	159时间29a伤害3金币生成4挖尘689易伤7核9序列升级
20	63311 63213	2	   	282.26	橙3易伤3伤害3时间	159时间289伤害3掉矿4挖尘69a易伤7核9序列升级
21	63316 33213	2	   	282.26	橙3易伤3伤害3时间	169时间289伤害3掉矿4挖尘59a易伤7核9序列升级
22	63311 63315	2	   	282.26	橙3易伤3伤害3时间	159时间29a伤害3掉矿4挖尘689易伤7核9序列升级
23	63316 33315	2	   	282.26	橙3易伤3伤害3时间	169时间29a伤害3掉矿4挖尘589易伤7核9序列升级
24	63226 33312	6	   	280.46	橙3易伤3时间2伤害1暴击	149时间29伤害3金币生成5基地爆炸689易伤7核9序列升级a暴击
25	63226 63312	5	   	280.46	橙3易伤3时间2伤害1暴击	149时间29伤害3金币生成5基地爆炸689易伤7核9序列升级a暴击
26	63231 63312	4	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4敌人爆炸689易伤7核9序列升级a暴击
27	63234 33312	6	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4敌人爆炸689易伤7核9序列升级a暴击
28	63234 63312	5	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4敌人爆炸689易伤7核9序列升级a暴击
29	63234 63312	3	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4最后敌人689易伤7核9序列升级a暴击
30	63236 43112	3	   	280.46	橙3易伤3时间2伤害1暴击	189时间29伤害3金币生成4最后敌人569易伤7核9序列升级a暴击
31	63236 43112	4	   	280.46	橙3易伤3时间2伤害1暴击	189时间29伤害3金币生成4敌人爆炸569易伤7核9序列升级a暴击
32	63241 63312	4	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4基地爆炸689易伤7核9序列升级a暴击
33	63244 33312	6	   	280.46	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4基地爆炸689易伤7核9序列升级a暴击
34	63336 43112	4	   	280.46	橙3易伤3时间2伤害1暴击	189时间29伤害3矿等4敌人爆炸569易伤7核9序列升级a暴击
35	63336 43112	3	   	280.46	橙3易伤3时间2伤害1暴击	189时间29伤害3矿等4最后敌人569易伤7核9序列升级a暴击
36	63216 33312	3	   	280.36	橙3易伤3时间2伤害1暴击	169时间29伤害3金币生成4挖尘589易伤7核9序列升级a暴击
37	63211 33213	4	   	280.36	橙3易伤3时间2伤害1暴击	19a时间29伤害3金币生成4暴击589易伤6核7赏金邻近9序列升级
38	63211 63312	3	   	280.36	橙3易伤3时间2伤害1暴击	159时间29伤害3金币生成4挖尘689易伤7核9序列升级a暴击
39	63216 43112	3	   	280.36	橙3易伤3时间2伤害1暴击	189时间29伤害3金币生成4挖尘569易伤7核9序列升级a暴击
40	63311 33213	4	   	280.36	橙3易伤3时间2伤害1暴击	19a时间29伤害3矿等4暴击589易伤6核7赏金邻近9序列升级
41	63316 43112	3	   	280.36	橙3易伤3时间2伤害1暴击	189时间29伤害3矿等4挖尘569易伤7核9序列升级a暴击
42	63334 63312	2	   	280.36	橙3易伤3时间2伤害1暴击	159时间29伤害3掉矿4最后敌人689易伤7核9序列升级a暴击
43	63336 43112	2	   	280.36	橙3易伤3时间2伤害1暴击	189时间29伤害3掉矿4最后敌人569易伤7核9序列升级a暴击
44	65133 63312	3	   	280.36	橙3易伤3时间2伤害1暴击	129时间29序列升级39伤害4掉矿5基地爆炸689易伤7核a暴击
45	63311 63312	2	   	280.26	橙3易伤3时间2伤害1暴击	159时间29伤害3掉矿4挖尘689易伤7核9序列升级a暴击
46	63316 33312	2	   	280.26	橙3易伤3时间2伤害1暴击	169时间29伤害3掉矿4挖尘589易伤7核9序列升级a暴击
47	63316 43112	2	   	280.26	橙3易伤3时间2伤害1暴击	189时间29伤害3掉矿4挖尘569易伤7核9序列升级a暴击
48	63412 51232	7	 * 	279.85	橙4易伤2时间2攻速1伤害	1a时间2伤害358a易伤4低血量敌人6核7基地爆炸9a攻速a序列升级
49	63412 52232	6	   	279.85	橙4易伤2时间2攻速1伤害	1a时间2伤害358a易伤4低血量敌人6核7最后敌人9a攻速a序列升级
50	63412 53232	6	   	279.85	橙4易伤2时间2攻速1伤害	1a时间2伤害358a易伤4低血量敌人6核7基地爆炸9a攻速a序列升级
51	63412 53232	7	   	279.85	橙4易伤2时间2攻速1伤害	1a时间2伤害358a易伤4低血量敌人6核7最后敌人9a攻速a序列升级
52	63432 52232	6	   	279.85	橙4易伤2时间2攻速1伤害	1a时间2伤害348a易伤5基地爆炸6核7最后敌人9a攻速a序列升级
53	63232 13625	2	 * 	277.88	橙5易伤2时间1伤害	15时间2伤害3469a易伤7掉矿8核
54	13412 23222	10	 * 	277.19	橙4易伤3伤害1时间	18最后敌人278伤害3568易伤4挖青8序列升级9核a时间
55	13412 23222	9	   	277.19	橙4易伤3伤害1时间	18最后敌人278伤害3568易伤4挖青8序列升级9核a时间
56	63236 43312	3	   	276.22	橙4易伤2伤害2时间	19时间29伤害3金币生成4a最后敌人5689易伤7核9序列升级
57	63236 43312	4	   	276.22	橙4易伤2伤害2时间	19时间29伤害3金币生成4敌人爆炸5689易伤7核9序列升级a最后敌人
58	63236 43313	4	   	276.22	橙4易伤2伤害2时间	19时间29伤害3金币生成4敌人爆炸5689易伤7核9序列升级a基地爆炸
59	63236 43313	3	   	276.22	橙4易伤2伤害2时间	19时间29伤害3金币生成4最后敌人5689易伤7核9序列升级a基地爆炸
60	63216 43312	3	   	276.12	橙4易伤2伤害2时间	19时间29伤害3金币生成4挖尘5689易伤7核9序列升级a最后敌人
61	63216 43313	3	   	276.12	橙4易伤2伤害2时间	19时间29伤害3金币生成4挖尘5689易伤7核9序列升级a基地爆炸
62	63336 43312	2	   	276.12	橙4易伤2伤害2时间	19时间29伤害3掉矿4a最后敌人5689易伤7核9序列升级
63	63336 43313	2	   	276.12	橙4易伤2伤害2时间	19时间29伤害3掉矿4最后敌人5689易伤7核9序列升级a基地爆炸
64	43231 35152	1	   	276.04	橙4易伤2时间2攻速1等级	17攻速2最后敌人3789易伤4平台57时间6核7序列升级a等级
65	63316 43312	2	   	276.02	橙4易伤2伤害2时间	19时间29伤害3掉矿4挖尘5689易伤7核9序列升级a最后敌人
66	63316 43313	2	   	276.02	橙4易伤2伤害2时间	19时间29伤害3掉矿4挖尘5689易伤7核9序列升级a基地爆炸
67	63432 63213	5	 * 	275.52	橙2易伤3伤害3时间2等级	19a时间289伤害34易伤5基地爆炸69等级7核9序列升级
68	63433 63213	2	   	275.52	橙2易伤3伤害3时间2等级	159时间289伤害3最后敌人4a易伤69等级7核9序列升级
69	63434 33222	9	   	275.52	橙2易伤3伤害3时间2等级	18a时间278伤害34易伤5策反68等级8序列升级9核
70	63523 63213	4	   	275.52	橙2易伤3伤害3时间2等级	159时间289伤害3低血量敌人4a易伤69等级7核9序列升级
71	63533 63213	3	   	275.52	橙2易伤3伤害3时间2等级	159时间289伤害3低血量敌人4a易伤69等级7核9序列升级
72	63413 63213	4	   	275.52	橙2易伤3伤害3时间2等级	159时间289伤害3a易伤4低血量敌人69等级7核9序列升级
73	63226 33314	6	   	275.12	橙3易伤3时间2伤害	149时间29伤害3金币生成5基地爆炸689易伤7核9序列升级a雷电
74	63231 63314	4	   	275.12	橙3易伤3时间2伤害	159时间29伤害3金币生成4敌人爆炸689易伤7核9序列升级a雷电
75	63234 33314	6	   	275.12	橙3易伤3时间2伤害	159时间29伤害3金币生成4敌人爆炸689易伤7核9序列升级a雷电
76	63216 33314	3	   	275.02	橙3易伤3时间2伤害	169时间29伤害3金币生成4挖尘589易伤7核9序列升级a雷电
77	63211 63314	3	   	275.02	橙3易伤3时间2伤害	159时间29伤害3金币生成4挖尘689易伤7核9序列升级a雷电
78	63311 63314	2	   	274.92	橙3易伤3时间2伤害	159时间29伤害3掉矿4挖尘689易伤7核9序列升级a雷电
79	63316 33314	2	   	274.92	橙3易伤3时间2伤害	169时间29伤害3掉矿4挖尘589易伤7核9序列升级a雷电
80	63412 51332	7	 * 	274.80	橙3易伤2伤害2时间2攻速	1a时间28伤害35a易伤4低血量敌人6核7基地爆炸9a攻速a序列升级
