0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33237 23183	6	 * 	321.08	橙5易伤3伤害2时间	1456a易伤2加一35a伤害5a序列升级7核8全技能9a时间
2	33235 31328	8	 * 	309.41	橙4易伤3时间2伤害3雷电	148a易伤2加一3a伤害58a雷电678时间8a序列升级9核
3	33237 72712	10	 * 	305.10	橙4易伤3伤害3时间	1458易伤2加一358伤害58序列升级6额外掉落78a时间9核
4	33237 72713	9	   	305.10	橙4易伤3伤害3时间	1458易伤2加一358伤害58序列升级6额外掉落78a时间9核
5	35612 31334	10	   	304.51	橙4易伤3时间2伤害2雷电	1389易伤28雷电49敌人爆炸59伤害678时间89序列升级a核
6	23243 47476	7	   	302.53	橙3易伤3伤害3时间2等级	168时间2加一389伤害4敌人爆炸59等级789易伤89序列升级a核
7	23243 52476	6	   	302.53	橙3易伤3伤害3时间2等级	178时间2加一389伤害4敌人爆炸59等级689易伤89序列升级a核
8	33237 83183	5	   	301.54	橙4易伤3伤害2时间	145a易伤2加一35a伤害5a序列升级6立即金币7核8全技能9a时间
9	33237 47161	9	   	300.55	橙5易伤3伤害2等级	1459a易伤2加一35a伤害5a序列升级6a等级7额外掉落8核
10	33237 72712	9	   	300.18	橙4易伤3伤害2时间	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a雷电
11	33237 23844	7	   	297.23	橙5易伤2伤害1等级1时间	14567易伤2加一35伤害5序列升级8核9等级a时间
12	33237 25844	6	   	297.23	橙5易伤2伤害1等级1时间	14567易伤2加一35伤害5序列升级8核9等级a时间
13	33237 23454	9	   	297.23	橙5易伤2伤害1等级1时间	14567易伤2加一35伤害5序列升级8等级9核a时间
14	33237 23456	10	   	297.23	橙5易伤2伤害1等级1时间	14567易伤2加一35伤害5序列升级8等级9核a时间
15	33237 23845	7	   	296.63	橙5易伤3伤害1等级	14567易伤2加一35a伤害5序列升级8核9等级
16	33237 23455	9	   	296.63	橙5易伤3伤害1等级	14567易伤2加一35a伤害5序列升级8等级9核
17	33237 23835	7	   	294.03	橙5易伤3伤害1暴击	14567易伤2加一359伤害59序列升级8核a暴击
18	33237 23554	10	   	291.98	橙5易伤2伤害1等级1攻速	14567易伤2加一35伤害5序列升级8攻速9核a等级
19	33237 27164	6	   	291.98	橙5易伤2伤害1时间1攻速	1456a易伤2加一35伤害5序列升级7攻速8时间9核
20	33237 72711	10	   	291.88	橙4易伤3伤害2时间	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a策反
21	33237 72714	10	   	291.88	橙4易伤3伤害2时间	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a金币生成
22	33237 72711	9	   	291.78	橙4易伤3伤害2时间	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a挖尘
23	33237 72714	9	   	291.78	橙4易伤3伤害2时间	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a掉矿
24	33237 72713	10	   	291.63	橙4易伤3伤害2时间1卖塔	1458易伤2加一358伤害58序列升级6额外掉落78时间9核a卖塔
25	33237 23283	7	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一359伤害5序列升级8攻速a核
26	33237 23543	7	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一358伤害5序列升级9攻速a核
27	33237 23563	9	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一359伤害5序列升级8攻速a核
28	33237 23583	8	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一359伤害5序列升级8攻速a核
29	33237 25283	6	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一359伤害5序列升级8攻速a核
30	33237 25543	6	   	291.39	橙5易伤3伤害1攻速	14567易伤2加一358伤害5序列升级9攻速a核
