0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11312 46115	6	 * 	291.73	橙5易伤2时间2等级1暴击	1246a易伤3立即金币5暴击7a等级8a时间9核a序列升级
2	11123 61514	10	 * 	291.40	橙5易伤3时间3雷电	1259a易伤39a雷电4平台69a时间7随机矿8核9a序列升级
3	42715 14431	7	 * 	290.42	橙3易伤3伤害3暴击1时间1全技能	1随机矿2加一3全技能478易伤578暴击678伤害78序列升级9时间a核
4	11165 32324	5	 * 	289.87	橙4易伤2伤害2等级2雷电1全技能	1279易伤36雷电49等级5全技能89伤害9序列升级a核
5	62231 25115	7	 * 	288.27	橙3易伤3伤害3等级1时间1暴击	17a等级2最后敌人37a伤害4暴击5时间67a易伤7a序列升级8核9挖青
6	11416 31263	10	   	281.20	橙5易伤3时间1全技能	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a全技能
7	11451 31263	10	   	281.20	橙5易伤3时间1全技能	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a全技能
8	11551 31263	10	   	281.20	橙5易伤3时间1全技能	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a全技能
9	11313 14615	5	 * 	280.83	橙4易伤2时间3暴击1等级	124a易伤3立即金币5等级68a暴击7a时间9核a序列升级
10	11313 42615	6	   	280.83	橙4易伤2时间3暴击1等级	124a易伤3立即金币5等级6a时间78a暴击9核a序列升级
11	11416 31262	9	   	279.85	橙5易伤3时间	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a雷电
12	11451 31262	9	   	279.85	橙5易伤3时间	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a雷电
13	11551 31262	9	   	279.85	橙5易伤3时间	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a雷电
14	36343 32251	4	 * 	278.85	橙3易伤3时间1伤害2暴击1全技能	1双倍矿27暴击3全技能47a易伤579时间6核7序列升级8伤害
15	11313 14515	5	 * 	278.50	橙4易伤2时间2等级2暴击	124a易伤3立即金币58等级6a暴击7a时间9核a序列升级
16	11313 42515	6	   	278.50	橙4易伤2时间2等级2暴击	124a易伤3立即金币58等级6a时间7a暴击9核a序列升级
17	11412 21624	7	 * 	276.12	橙4易伤2伤害2时间	1279易伤3最后敌人49时间59伤害6平台8赏金邻近9序列升级a核
18	11412 21624	6	   	276.12	橙4易伤2伤害2时间	1279易伤3最后敌人49时间59伤害6平台8赏金邻近9序列升级a核
19	11512 21624	7	   	276.12	橙4易伤2伤害2时间	1279易伤3低血量敌人49时间59伤害6平台8赏金邻近9序列升级a核
20	11512 21624	6	   	276.12	橙4易伤2伤害2时间	1279易伤3低血量敌人49时间59伤害6平台8赏金邻近9序列升级a核
