0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44223 12423	7	 * 	314.77	橙5易伤3伤害2等级1暴击	127伤害34579易伤67等级7序列升级8核a暴击
2	22423 12413	7	   	310.02	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a攻速
3	44223 12422	7	   	309.42	橙5易伤3伤害2等级	127伤害34579易伤67等级7序列升级8核a雷电
4	23225 22116	10	 * 	306.31	橙3易伤3伤害3等级2时间1暴击	179易伤2敌人爆炸379伤害4暴击58时间679等级79序列升级a核
5	22423 12412	7	   	301.71	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a低血量敌人
6	22423 12415	7	   	301.71	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a敌人爆炸
7	22423 12416	7	   	301.71	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a基地爆炸
8	22423 12424	7	   	301.71	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9金币生成a时间
9	22423 12434	7	   	301.71	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9随机矿a时间
10	22423 12411	7	   	301.61	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a掉矿
11	22423 12414	7	   	301.61	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9时间a挖尘
12	22423 12441	7	   	301.61	橙5易伤2伤害2等级1时间	13457易伤27伤害67等级7序列升级8核9赏金塔a时间
13	22423 12116	10	 * 	301.12	橙5易伤3伤害3等级	13457易伤279伤害679等级79序列升级8平台a核
14	44223 12421	7	   	301.12	橙5易伤3伤害2等级	127伤害34579易伤67等级7序列升级8核a最后敌人
15	44223 12413	8	   	299.02	橙4易伤3伤害2等级1时间	127伤害3457易伤67等级7序列升级8时间9策反a核
16	44223 12513	7	   	299.02	橙4易伤3伤害2等级1时间	127伤害3457易伤67等级7序列升级8时间9策反a核
17	22411 62114	8	 * 	297.57	橙5易伤3伤害2时间	1357a易伤27a伤害467掉矿7a序列升级8a时间9核
18	22423 12461	7	   	295.12	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9额外掉落a全技能
19	22423 12311	8	   	293.77	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8立即金币9雷电a核
20	22426 32233	7	   	293.69	橙5易伤2等级1伤害2攻速	13489易伤2伤害5全技能69等级79攻速9序列升级a核
21	44223 12323	8	   	292.44	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8金币生成9全技能a核
22	44223 12123	7	   	292.34	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8掉矿9全技能a核
23	44223 12623	8	   	292.34	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8掉矿9全技能a核
24	23225 22216	10	   	291.72	橙3易伤3伤害3等级1时间1暴击	179易伤2敌人爆炸379伤害4暴击5时间679等级79序列升级8双倍矿a核
25	23225 22334	9	   	291.72	橙3易伤3伤害3等级1时间1暴击	17a易伤2敌人爆炸37a伤害4暴击5时间67a等级7a序列升级8核9平台
26	23225 22416	10	   	291.72	橙3易伤3伤害3等级1时间1暴击	179易伤28敌人爆炸379伤害4暴击5时间679等级79序列升级a核
27	44223 12233	8	   	291.08	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9敌人爆炸a核
28	44223 12213	8	   	290.98	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9挖尘a核
29	44223 12213	9	   	290.98	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9挖尘a核
30	44223 12341	7	   	290.98	橙4易伤3伤害3等级	127伤害3457易伤678等级7序列升级9核a雷电
31	22121 41621	6	   	290.78	橙3易伤2伤害2时间1等级1暴击	167易伤27伤害3最后敌人4暴击57时间7序列升级8雷电9核a等级
32	22325 41621	6	   	290.68	橙3易伤2伤害2时间1等级1暴击	167易伤27伤害3挖尘4暴击57时间7序列升级8雷电9核a等级
33	22423 51334	6	   	288.74	橙4易伤2伤害1等级1时间1暴击	1345易伤27伤害6暴击8核9时间a等级
34	44226 32233	7	   	287.53	橙3易伤3伤害2等级2攻速	129伤害348易伤5全技能69等级79攻速9序列升级a核
35	22213 64223	5	   	286.56	橙3易伤2伤害2等级2时间	168易伤28伤害3金币生成4加一56时间68序列升级78等级9全技能a核
36	45121 32622	9	   	286.41	橙3易伤3伤害1等级1时间	156伤害2等级3攻速468易伤6序列升级7雷电9时间a核
37	22423 16521	8	   	285.49	橙5易伤2伤害1等级	13459易伤28伤害6等级7雷电a核
38	22423 12422	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9金币生成a低血量敌人
39	22423 12423	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9金币生成a策反
40	22423 12425	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9金币生成a敌人爆炸
41	22423 12432	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9随机矿a低血量敌人
42	22423 12433	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9随机矿a策反
43	22423 12435	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9随机矿a敌人爆炸
44	22423 12462	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9额外掉落a双倍矿
45	22423 12463	7	   	285.46	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9额外掉落a基地爆炸
46	22423 12421	7	   	285.36	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9金币生成a赏金邻近
47	22423 12431	7	   	285.36	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9随机矿a赏金邻近
48	22423 12442	7	   	285.36	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9赏金塔a金币生成
49	22423 12443	7	   	285.36	橙5易伤2伤害2等级	13457易伤27伤害67等级7序列升级8核9赏金塔a立即金币
50	51221 36511	1	 * 	285.09	橙4易伤1等级3攻速3雷电1伤害	178攻速2金币生成378雷电4等级5伤害678a易伤78序列升级9核
51	52221 36511	2	   	285.09	橙4易伤1等级3攻速3雷电1伤害	178攻速2金币生成378雷电4等级5伤害678a易伤78序列升级9核
