0	Index      	 *	Score 	Summary	Detail	
1	31832 28822	 * 	299.29	橙橙3易伤1攻速1暴击	1加一25雷电3攻速467易伤8a核9暴击
2	61132 12156	   	285.34	橙橙2易伤1攻速1暴击1策反	1额外掉落2平台3a易伤4敌人爆炸5攻速69核7策反8暴击
3	66233 44513	 * 	278.45	橙橙2易伤1伤害	1额外掉落2加一37易伤47敌人爆炸57基地爆炸69核7序列升级8平台a伤害
4	34411 63375	 * 	278.35	橙橙2易伤2暴击	1加一2随机矿3a易伤4赏金塔5a敌人爆炸6全技能78核9a暴击a序列升级
5	34434 63375	   	278.35	橙橙2易伤2暴击	1加一2随机矿3a易伤4a最后敌人5赏金邻近6全技能78核9a暴击a序列升级
6	38343 41548	 * 	277.00	橙3易伤3伤害2攻速1暴击	1加一247伤害34金币生成47序列升级57攻速679易伤8暴击a核
7	31832 27472	   	275.73	橙橙2易伤1攻速1暴击	1加一25雷电3攻速46易伤7暴击8激光减费9a核
8	31832 45472	   	275.73	橙橙2易伤1攻速1暴击	1加一25雷电3攻速47易伤6暴击8激光减费9a核
9	34411 63372	   	271.84	橙橙2易伤1暴击	1加一2随机矿3a易伤4赏金塔5敌人爆炸6全技能78核9暴击
10	34434 63372	   	271.84	橙橙2易伤1暴击	1加一2随机矿3a易伤4最后敌人5赏金邻近6全技能78核9暴击
11	31732 28822	   	271.74	橙橙3易伤1卖塔	1加一25雷电3技能467易伤8a核9卖塔
12	33484 33372	   	271.74	橙橙2易伤1暴击	1加一2技能点3全技能4赏金塔5a易伤6敌人爆炸78核9暴击
13	33611 63372	   	271.74	橙橙2易伤1暴击	1加一2技能点3a易伤4赏金塔5敌人爆炸6全技能78核9暴击
14	33634 63372	   	271.74	橙橙2易伤1暴击	1加一2技能点3a易伤4最后敌人5赏金邻近6全技能78核9暴击
15	34418 63372	   	271.74	橙橙2易伤1暴击	1加一2随机矿3a易伤4赏金塔5挖尘6全技能78核9暴击
16	34474 63372	   	271.74	橙橙2易伤1暴击	1加一2随机矿3a易伤4挖青5赏金邻近6全技能78核9暴击
17	46223 13532	 * 	270.74	橙4易伤2矿等2暴击1攻速	1368易伤23矿等3序列升级4额外掉落5攻速79暴击a核
