0	Index      	 *	Score 	Summary	Detail	
1	61126 12422	 * 	244.97	ACR|3VULN|3ASPD|3BEXP|1BASICY	158VULN|289ASPD|3RCR|4MDPS|678BEXP|8BPWR|aBASICY
2	31126 41834	 * 	243.03	ACR|3VULN|1BASARM|2DMG|2BEXP	18DMG|28BEXP|3RCR|4MDPS|578VULN|6MBVNT|8BPWR|9LHND|aBASARM
3	31126 41844	   	243.03	ACR|3VULN|1BASARM|2DMG|2BEXP	18DMG|28BEXP|3RCR|4MDPS|578VULN|6MBVNT|8BPWR|9LWND|aBASARM
4	61161 34336	 * 	242.36	ACR|4VULN|3DMG|2ASPD	189aVULN|2aASPD|3RCR|4BELT|589aCGEN|6MBVNT|789DMG|89aBPWR
5	61162 11353	   	242.07	ACR|3VULN|3ASPD|3BEXP|1CDMG	189VULN|289ASPD|3RCR|4BELT|5LHND|6LWND|789BEXP|89BPWR|aCDMG
6	61162 21353	   	241.97	ACR|3VULN|3ASPD|3BEXP|1CDMG	189VULN|289ASPD|3RCR|4BELT|5LHND|6DUST|789BEXP|89BPWR|aCDMG
7	61135 12361	 * 	240.68	ACR|4VULN|3BEXP|2ASPD|1DMG	1567VULN|27ASPD|3RCR|47aBEXP|7BPWR|8FLTFST|9DMG
8	61123 13362	 * 	239.55	ACR|2VULN|3ASPD|2BEXP|1DMG|1CDMG	18VULN|28aASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9DMG
9	31126 26413	 * 	236.92	ACR|3VULN|3DMG|2BEXP|1ASPD	189DMG|28BEXP|3RCR|4MDPS|578VULN|6DMSP|8BPWR|aASPD
10	61124 12422	   	235.07	ACR|3ASPD|2VULN|3BEXP|1BASICY	18VULN|289ASPD|3RCR|4MDPS|5RCVC|678BEXP|8BPWR|aBASICY
11	31123 23511	   	233.99	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9VULN
12	31123 13511	   	233.89	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9VULN
13	31123 63511	   	233.89	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9VULN
14	61142 31613	 * 	233.73	ACR|2VULN|2ASPD|1DMG|2CDMG|1BEXP|1AART	18VULN|28ASPD|3RCR|4AART|5FEWX|6ZMB|78CDMG|8BPWR|9BEXP|aDMG
15	31124 51422	 * 	231.77	ACR|3VULN|3BEXP|2DMG|1ASPD	18DMG|268BEXP|3RCR|4MDPS|5RCVC|78aVULN|8BPWR|9ASPD
16	62225 12362	 * 	230.52	ACR|5VULN|3DMG|2BEXP	1567aVULN|27BEXP|379DMG|4RCR|7BPWR|8FLTFST
17	31123 14365	   	230.40	ACR|3VULN|3DMG|2BEXP|1CDMG	189DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78aVULN|8BPWR
18	61135 12362	   	229.41	ACR|4VULN|2ASPD|2BEXP|1DMG	1567VULN|27ASPD|3RCR|47BEXP|7BPWR|8FLTFST|9DMG|aMLV
19	61135 12363	   	229.41	ACR|4VULN|2ASPD|2BEXP|1DMG	1567VULN|27ASPD|3RCR|47BEXP|7BPWR|8FLTFST|9DMG|aCGEN
20	61161 34316	   	229.37	ACR|3VULN|3DMG|2ASPD	18aVULN|2aASPD|3RCR|4BELT|58aCGEN|6MBVNT|789DMG|8aBPWR
21	31126 22422	   	229.31	ACR|3VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58aVULN|6DMSP|8BPWR|9ASPD
