0	Index      	 *	Score 	Summary	Detail	
1	16226 33432	 * 	228.75	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1CGEN|2RCR|3AEMAG|47VULN|5AART|6MDPS|8ASPD|9DMG|aBASARM
2	16226 23432	 * 	227.97	ACR|1BASARM|1VULN|2AART|1ASPD|1DMG	1CGEN|2RCR|3AEMAG|4VULN|56AART|7MDPS|8ASPD|9DMG|aBASARM
3	16132 61432	   	214.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1CGEN|2RCR|3DUST|4RMIN|5AART|6ZMB|7VULN|8ASPD|9DMG|aBASARM
4	16412 31432	   	214.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1CGEN|2RCR|3RMIN|4DUR|5AART|6AAC|7VULN|8ASPD|9DMG|aBASARM
5	16632 31432	   	214.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1CGEN|2RCR|3DUR|4RMIN|5AART|6AAC|7VULN|8ASPD|9DMG|aBASARM
6	16453 43132	   	214.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1CGEN|2RCR|3RMIN|4VULN|5MBVNT|6AAC|7DMG|8ASPD|9AART|aBASARM
7	16132 31432	   	214.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1CGEN|2RCR|3DUST|4RMIN|5AART|6AAC|7VULN|8ASPD|9DMG|aBASARM
8	51124 33132	   	207.54	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	17VULN|2CDMG|3CGEN|4FEWX|5RCR|6RPLT|8ASPD|9AART|aBASARM
9	51124 33232	   	207.54	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	17VULN|2CDMG|3CGEN|4FEWX|5RCR|6RPLT|8DMG|9AART|aBASARM
10	51146 13132	   	207.54	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	17VULN|2CDMG|3CGEN|4RPLT|5RCR|6FEWX|8ASPD|9AART|aBASARM
11	51146 13232	   	207.54	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	17VULN|2CDMG|3CGEN|4RPLT|5RCR|6FEWX|8DMG|9AART|aBASARM
12	51514 33132	   	207.54	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	17VULN|2CDMG|3FEWX|4CGEN|5RCR|6RPLT|8ASPD|9AART|aBASARM
13	51514 33232	   	207.54	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	17VULN|2CDMG|3FEWX|4CGEN|5RCR|6RPLT|8DMG|9AART|aBASARM
14	16135 14132	   	206.56	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	15CGEN|2RCR|35DUST|4RMIN|5BPWR|6VULN|7BEXP|8ASPD|9AART|aBASARM
15	16135 14232	   	206.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	15CGEN|2RCR|35DUST|4RMIN|5BPWR|6VULN|7BEXP|8DMG|9AART|aBASARM
16	16412 22132	   	206.56	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|3RMIN|4DUR|5AART|6BEXP|7VULN|8AEMAG|9ASPD|aBASARM
17	16632 22132	   	206.56	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|3DUR|4RMIN|5AART|6BEXP|7VULN|8AEMAG|9ASPD|aBASARM
18	16132 22132	   	206.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|3DUST|4RMIN|5AART|6BEXP|7VULN|8AEMAG|9ASPD|aBASARM
19	16132 22232	   	206.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|38DUST|4RMIN|5AART|6BEXP|7VULN|9ASPD|aBASARM
20	16133 42132	   	206.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|3DUST|4RMIN|5BEXP|6AART|7VULN|8AEMAG|9ASPD|aBASARM
21	16133 42232	   	206.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|38DUST|4RMIN|5BEXP|6AART|7VULN|9ASPD|aBASARM
22	16241 14132	   	206.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1CGEN|2RCR|3AEMAG|4RMIN|5DUST|6VULN|7BEXP|8ASPD|9AART|aBASARM
23	16241 14232	   	206.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1CGEN|2RCR|3AEMAG|4RMIN|5DUST|6VULN|7BEXP|8DMG|9AART|aBASARM
24	16453 13132	   	206.44	ACR|2VULN|1BASARM|1ASPD|1AART	1CGEN|2RCR|3RMIN|47VULN|5MBVNT|6FEWX|8ASPD|9AART|aBASARM
