0	Index      	 *	Score 	Summary	Detail	
1	12436 23215	 * 	242.10	ACR|2VULN|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aDMG
2	12436 23224	 * 	223.88	ACR|2VULN|1BASARM|2ASPD|2BEXP	1LIT|24VULN|34BEXP|4BPWR|5RCR|6aASPD|7DMSP|8BASARM|9SPLARM
3	12436 26211	   	222.15	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7RCVC|8BASARM|9CDMG|aAEFBLL
4	12436 26213	   	222.00	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG|1SELL	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7RCVC|8BASARM|9CDMG|aSELL
5	12436 23216	   	220.04	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aZMB
6	12436 23211	   	219.94	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aAEFBLL
7	12436 23214	   	219.94	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aERES
8	12436 23213	   	219.80	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG|1SELL	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aSELL
9	12436 26221	 * 	217.86	ACR|2VULN|1BASARM|3BEXP|1ASPD	1aLIT|24VULN|34aBEXP|4aBPWR|5RCR|6ASPD|7RCVC|8BASARM|9aSPLARM
10	13136 26215	   	215.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1LIT|24LHND|34VULN|4BPWR|5RCR|6ASPD|7RCVC|8BASARM|9CDMG|aDMG
11	12436 23221	   	215.66	ACR|2VULN|1BASARM|3BEXP|1ASPD	1aLIT|24VULN|34aBEXP|4aBPWR|5RCR|6ASPD|7DMSP|8BASARM|9aSPLARM
12	12416 23215	   	214.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	14LIT|2VULN|3BEXP|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aDMG
13	14512 62312	 * 	214.33	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	19LIT|2CDMG|3BASARM|4VULN|5RCR|6BEXP|7RCVC|8AART|aDMG
14	14512 62332	   	214.23	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1LIT|2CDMG|3BASARM|4VULN|5RCR|6BEXP|7RCVC|8AART|9TLV|aDMG
15	12636 23215	   	213.62	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1LIT|24VULN|34FEWX|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aDMG
16	13136 23215	   	213.62	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	17LIT|24LHND|34VULN|4BPWR|5RCR|6ASPD|8BASARM|9CDMG|aDMG
17	14512 25342	 * 	213.61	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1LIT|2CDMG|3BASARM|47VULN|5RCR|6MBVNT|8AART|9RCVC|aDMG
18	13156 23215	   	213.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	17LIT|2LHND|34VULN|5RCR|6ASPD|8BASARM|9CDMG|aDMG
19	12236 23215	   	213.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1LIT|24VULN|34DUST|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aDMG
20	12256 23215	   	213.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1LIT|24VULN|3DUST|5RCR|6ASPD|7DMSP|8BASARM|9CDMG|aDMG
21	12436 23241	   	212.70	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AAC	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9AAC|aCGEN
22	12436 23243	   	212.70	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AAC	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9AAC|aFEWX
23	34151 21215	 * 	212.63	3VULN|3ASPD|2AART|2BEXP|1DMG|2CDMG	17BEXP|245ASPD|347VULN|47BPWR|67CDMG|8DMG|9aAART
24	12436 23242	   	212.60	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AAC	1LIT|24VULN|34BEXP|4BPWR|5RCR|6ASPD|7DMSP|8BASARM|9AAC|aAME
25	14512 34321	 * 	212.56	ACR|2BASARM|2VULN|2BEXP|1CDMG	1LIT|2CDMG|3aBASARM|4aVULN|5RCR|6AME|7aBEXP|8LHND|9FEWX|aBPWR
