0	Index      	 *	Score 	Summary	Detail	
1	56135 31112	 * 	220.95	ACR|3ASPD|3DMG|2BEXP|1SELL	1SELL|2aBEXP|3ZMB|4RCR|5DMSP|69aDMG|78aASPD|aBPWR
2	35122 31155	 * 	209.61	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|2AME|3RCVC|4ERES|5RCR|67BEXP|8BASARM|9DMG|aAART
3	43132 31155	   	206.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1DMSP|2VULN|3ERES|4MLV|5RCR|67BEXP|8BASARM|9DMG|aAART
4	56135 31212	 * 	205.30	ACR|3DMG|2ASPD|2BEXP|1SELL	1SELL|2aBEXP|38ZMB|4RCR|5DMSP|69aDMG|7aASPD|aBPWR
5	35122 31154	 * 	204.60	ACR|1BASARM|3BEXP|1VULN|1DMG	1VULN|2AME|3RCVC|4ERES|5RCR|67aBEXP|8BASARM|9DMG
6	35122 31153	   	201.65	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1VULN|2AME|3RCVC|4ERES|5RCR|67BEXP|8BASARM|9DMG|aAAC
7	43132 31154	   	201.39	ACR|1BASARM|3BEXP|1VULN|1DMG	1DMSP|2VULN|3ERES|4MLV|5RCR|67aBEXP|8BASARM|9DMG
8	31113 55326	 * 	199.40	DCR|2VULN|1BASARM|2DMG|1ASPD|1BEXP	17VULN|2FEWX|37DUR|4BEXP|5ASPD|67DMG|7BPWR|8BASARM|9LWND|aRCR
9	33152 54323	 * 	199.37	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|27LHND|3DUR|4ASPD|5RCR|6DMG|8BASARM|9LWND|aAART
10	32113 55326	   	199.30	DCR|2VULN|1BASARM|2DMG|1ASPD|1BEXP	17VULN|2DUST|37DUR|4BEXP|5ASPD|67DMG|7BPWR|8BASARM|9LWND|aRCR
11	31213 55326	   	199.20	DCR|2VULN|1BASARM|2DMG|1ASPD|1BEXP	17VULN|2FEWX|37DUST|4BEXP|5ASPD|67DMG|7BPWR|8BASARM|9LWND|aRCR
12	25112 41361	 * 	198.79	ACR|1BASARM|2ASPD|2BEXP	1LWND|2aTLV|3RCVC|4MLV|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
13	43132 31153	   	198.43	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	1DMSP|2VULN|3ERES|4MLV|5RCR|67BEXP|8BASARM|9DMG|aAAC
14	35122 13155	   	196.75	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1VULN|2AME|36RCVC|4ERES|5RCR|7BEXP|8BASARM|9DMG|aAART
15	31322 31353	 * 	196.23	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|2FEWX|4DUR|5RCR|6RCVC|7BEXP|8BASARM|aAART
16	33352 31353	   	196.23	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|2LHND|4FEWX|5RCR|6RCVC|7BEXP|8BASARM|aAART
17	46312 11361	   	195.68	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2FEWX|3aCGEN|4MLV|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
18	42312 11361	   	195.58	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2DUST|3aCGEN|4MLV|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
19	42362 11361	   	195.48	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2DUST|3aCGEN|4ERES|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
20	46112 11361	   	195.48	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2FEWX|3aERES|4MLV|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
21	42112 11361	   	195.38	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2DUST|3aERES|4MLV|5RCR|6DUR|7aBEXP|8BASARM|9aASPD|aBPWR
22	35122 13154	   	195.31	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2AME|36RCVC|4ERES|5RCR|7aBEXP|8BASARM|9DMG
