0	Index      	 *	Score 	Summary	Detail	
1	13231 14434	 * 	237.92	ACR|3VULN|3ASPD|2DMG|1BEXP	168ASPD|28aVULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP
2	33231 16434	 * 	237.92	ACR|3VULN|3DMG|2ASPD|1BEXP	178DMG|28aVULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP
3	13233 64421	   	232.61	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG|1AAC	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78DMG|8BPWR|9AAC|aCDMG
4	33233 63421	   	232.61	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG|1AAC	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aCDMG
5	33533 63421	   	232.61	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG|1AAC	18DMG|28VULN|3LHND|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aCDMG
6	13231 14435	   	232.16	ACR|2VULN|3ASPD|2DMG|1BEXP|1AAC	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP|aAAC
7	33231 16435	   	232.16	ACR|2VULN|3DMG|2ASPD|1BEXP|1AAC	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP|aAAC
8	33231 43463	 * 	231.21	ACR|4VULN|2ASPD|2DMG|1BEXP	18DMG|2689VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|aBEXP
9	13231 44421	   	230.57	ACR|3VULN|2ASPD|2DMG|1CDMG|1AAC	18ASPD|268VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9AAC|aCDMG
10	33231 43421	   	230.57	ACR|3VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|268VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9AAC|aCDMG
11	33531 43421	   	230.57	ACR|3VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|268VULN|3LHND|4RCR|5DUR|78ASPD|8BPWR|9AAC|aCDMG
12	33233 63424	   	229.88	ACR|3VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|28aVULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC
13	16223 23734	 * 	229.30	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2RCVC|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9DMG|aVULN
