0	Index      	 *	Score 	Summary	Detail	
1	64512 13312	 * 	213.64	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP|1AAC	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|9BEXP
2	41216 11253	 * 	209.10	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1aBEXP|2LIT|3SELL|4RCR|5AART|6aDMG|7AEMAG|8TLV|9aASPD|aBPWR
3	41216 13253	 * 	209.10	ACR|2ASPD|2DMG|2BEXP|1AART|1SELL	1aBEXP|2LIT|3SELL|4RCR|5AART|6aDMG|7AEFBLL|8TLV|9aASPD|aBPWR
4	64512 13212	   	205.33	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9BEXP
5	64512 13112	   	205.23	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9BEXP
6	13412 65223	 * 	204.19	ACR|2VULN|1BASARM|2BEXP|1DMG	1RPLT|2ERES|39BEXP|47VULN|5RCR|6BASARM|8CGEN|aDMG
7	13412 65321	 * 	204.19	ACR|2VULN|1BASARM|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|47VULN|5RCR|6BASARM|8ASPD|aBELT
8	13412 65322	   	204.19	ACR|2VULN|1BASARM|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|47VULN|5RCR|6BASARM|8ASPD|aDUR
9	13412 65323	   	204.09	ACR|2VULN|1BASARM|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|47VULN|5RCR|6BASARM|8ASPD|aNUKE
10	32122 36224	 * 	203.40	DCR|1BASARM|2ASPD|2DMG|1AART|1AAC	1AEMAG|2TLV|36DMG|4AART|5AAC|79ASPD|8BASARM|aRCR
11	62463 33122	 * 	202.78	3VULN|1BASARM|3BEXP|1AART|1ASPD|1DMG|1AAC	148VULN|2AART|34aBEXP|4BPWR|5ASPD|6DMG|7AAC|9BASARM
