0	Index      	 *	Score 	Summary	Detail	
1	43326 21522	 * 	239.98	ACR|2VULN|3ASPD|1DMG|1BASICY|1BEXP|1CDMG	127ASPD|27BPWR|3BEXP|4RCR|57VULN|67DUR|8CDMG|9DMG|aBASICY
2	43321 34245	 * 	237.93	ACR|1BASARM|2ASPD|2DMG|2BEXP	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9aDMG
3	43321 34248	   	234.00	ACR|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aCDMG
4	43321 34242	 * 	231.61	ACR|1BASARM|3BEXP|2ASPD|1DMG	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG
5	43321 34263	 * 	230.18	ACR|1BASARM|2ASPD|2BEXP|1VULN|1AART	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aAART
6	43321 34262	 * 	225.20	ACR|1BASARM|3BEXP|2ASPD|1VULN	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN
7	43321 34645	   	223.10	ACR|1BASARM|2ASPD|2DMG|1BEXP	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DMSP|9aDMG
8	43321 34264	   	222.24	ACR|1BASARM|2ASPD|2BEXP|1VULN|1AAC	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aAAC
9	43321 34241	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aDUR
10	43321 34243	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aMLV
11	43321 34247	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aZMB
12	43321 34255	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CGEN|aDMG
13	43321 34275	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9ZMB|aDMG
14	43321 34642	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|3aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DMSP|9DMG
15	43321 34215	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9TLV|aDMG
16	43321 34244	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aERES
17	43321 34246	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DMG|aAEMAG
18	43321 34283	 * 	220.25	ACR|1BASARM|2ASPD|2BEXP|2CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9aCDMG
19	43326 21521	   	219.91	ACR|2VULN|3ASPD|1DMG|1CDMG|1BEXP	127ASPD|27BPWR|3BEXP|4RCR|57VULN|67DUR|8CDMG|9DMG|aCGEN
20	43326 21523	   	219.91	ACR|2VULN|3ASPD|1DMG|1CDMG|1BEXP	127ASPD|27BPWR|3BEXP|4RCR|57VULN|67DUR|8CDMG|9DMG|aLWND
21	43321 34648	   	219.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DMSP|9DMG|aCDMG
22	43321 34584	   	219.06	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DUST|9CDMG|aDMG
23	43321 32284	 * 	218.49	ACR|3ASPD|2VULN|2BEXP|1DMG	127ASPD|27BPWR|37BEXP|4RCR|5MBVNT|6MDPS|8DMG|9aVULN
24	43324 32341	 * 	216.35	ACR|3ASPD|2VULN|2BEXP|1BASICY	127ASPD|27BPWR|37BEXP|4RCR|57FEWX|6MDPS|8aVULN|9BASICY
25	43321 32351	   	216.14	ACR|3ASPD|2VULN|2BEXP|1BASICY	127ASPD|27BPWR|37BEXP|4RCR|5MBVNT|6MDPS|8aVULN|9BASICY
26	43322 32341	   	216.14	ACR|3ASPD|2VULN|2BEXP|1BASICY	127ASPD|27BPWR|37BEXP|4RCR|57DUST|6MDPS|8aVULN|9BASICY
27	43321 32628	 * 	215.94	ACR|3ASPD|1BASARM|2BEXP	127ASPD|27BPWR|37BEXP|4RCR|5MBVNT|6MDPS|8ERES|9DUR|aBASARM
28	31261 22522	 * 	215.62	ACR|2VULN|2ASPD|2DMG|2BEXP	1LWND|29VULN|3LIT|4DUST|5RCR|69DMG|7aBEXP|89ASPD|9BPWR
29	43321 34663	   	215.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DMSP|9VULN|aAART
30	41253 32325	   	215.21	ACR|3ASPD|2BEXP|1VULN|1DMG|1AART	178ASPD|27BEXP|3LWND|4DMG|5RCR|67DUST|7BPWR|9VULN|aAART
31	43321 34225	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1AART	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DUR|aAART
32	43321 34233	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1AART	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9LWND|aAART
33	43321 34267	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aCGEN
34	43321 34268	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aLIT
35	43321 34281	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aLIT
36	43321 34284	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aRPLT
37	43321 34287	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aCGEN
38	43321 34662	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	12ASPD|2BPWR|3aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DMSP|9VULN
39	43321 32355	 * 	213.88	ACR|3ASPD|3BEXP|1VULN|1BASICY	127ASPD|27BPWR|37aBEXP|4RCR|5MBVNT|6MDPS|8VULN|9BASICY
40	43322 32344	   	213.88	ACR|3ASPD|3BEXP|1VULN|1BASICY	127ASPD|27BPWR|37aBEXP|4RCR|57DUST|6MDPS|8VULN|9BASICY
41	43321 34261	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aDUST
42	43321 34266	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9VULN|aTLV
43	43321 34282	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aERES
44	43321 34285	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aAME
45	43321 34286	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|38BEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CDMG|aTLV
46	43321 34535	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1AART	12ASPD|2BPWR|39BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DUST|aAART
47	43321 34883	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1CDMG	12ASPD|2BPWR|3aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|8TLV|9CDMG
48	43321 34423	 * 	213.81	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1AAC	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8LWND|9AAC|aBASICY
49	43321 34723	   	213.81	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1AAC	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8FEWX|9AAC|aBASICY
50	43321 34523	   	213.71	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1AAC	12ASPD|2BPWR|3BEXP|4RCR|5MBVNT|6MDPS|7BASARM|8DUST|9AAC|aBASICY
51	43321 32762	   	212.57	ACR|3ASPD|3BEXP|1BASICY|1AART	127ASPD|27BPWR|378BEXP|4RCR|5MBVNT|6MDPS|9BASICY|aAART
52	43321 32763	   	212.57	ACR|3ASPD|3BEXP|1BASICY|1CDMG	127ASPD|27BPWR|378BEXP|4RCR|5MBVNT|6MDPS|9BASICY|aCDMG
53	43326 21513	   	212.38	ACR|2VULN|3ASPD|2BEXP|1CDMG	127ASPD|27BPWR|3aBEXP|4RCR|57VULN|67DUR|8CDMG|9LWND
54	41253 32421	 * 	212.21	ACR|3BEXP|2ASPD|2DMG|1VULN	17ASPD|279BEXP|3LWND|4aDMG|5RCR|67DUST|7BPWR|8VULN
55	41253 43121	 * 	211.71	ACR|3DMG|3BEXP|2ASPD	17ASPD|289BEXP|37LWND|47aDMG|5RCR|6MDPS|7BPWR
56	43321 34222	   	211.55	ACR|1BASARM|3BEXP|2ASPD	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9DUR
57	43321 34232	   	211.55	ACR|1BASARM|3BEXP|2ASPD	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9LWND
58	43321 34252	   	211.55	ACR|1BASARM|3BEXP|2ASPD	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9CGEN
59	43321 34272	   	211.55	ACR|1BASARM|3BEXP|2ASPD	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9ZMB
60	43321 34212	   	211.45	ACR|1BASARM|3BEXP|2ASPD	12ASPD|2BPWR|38aBEXP|4RCR|5MBVNT|6MDPS|7BASARM|9TLV
