0	Index      	 *	Score 	Summary	Detail	
1	21143 62216	 * 	235.95	ACR|2VULN|3ASPD|3BEXP|1AART	17MLV|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aAART
2	14541 42754	 * 	235.51	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|89DMG|aCDMG
3	51521 12326	 * 	229.16	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|4CGEN|5aASPD|6DMG|7BEXP|8MDPS|9BASARM
4	21513 55132	 * 	228.52	ACR|1BASARM|2VULN|2BEXP|1CDMG|1AART	1MLV|2RCR|3AART|4ERES|56BEXP|79VULN|8CDMG|aBASARM
5	21515 61332	   	228.52	ACR|2VULN|1BASARM|2BEXP|1CDMG|1AART	1MLV|2RCR|3AART|4ERES|5CDMG|69VULN|78BEXP|aBASARM
6	21143 62262	 * 	227.04	ACR|3VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36aVULN|47BEXP|578ASPD|7BPWR|9AAC
7	21243 23424	 * 	226.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1MLV|2RCR|3LWND|48BEXP|5ASPD|6AART|7BELT|9DMG|aBASARM
8	21112 26526	 * 	226.51	ACR|2VULN|1BASARM|1ASPD|2CDMG|1BEXP	17MLV|2RCR|37VULN|4AEMAG|5BEXP|67CDMG|7BPWR|8ERES|9ASPD|aBASARM
9	21515 61232	 * 	226.04	ACR|3VULN|1BASARM|1BEXP|1CDMG|1AART	1MLV|2RCR|3AART|4ERES|5CDMG|689VULN|7BEXP|aBASARM
10	61515 23132	 * 	222.34	ACR|2VULN|1BASARM|1DMG|1CDMG|1AART	1AME|2RCR|3AART|4ERES|59VULN|6ZMB|7DMG|8CDMG|aBASARM
11	14541 42582	 * 	221.36	ACR|1BASARM|3BEXP|1VULN|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68aBEXP|7BASARM|9CDMG
12	14542 82473	 * 	221.16	ACR|2BASARM|2VULN|2BEXP|1DMG	1MBVNT|2LHND|3aVULN|4RCR|5LWND|6DMG|7aBASARM|8ERES|9aBEXP|aBPWR
13	14541 42753	   	220.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|89DMG|aLWND
14	14541 42751	   	220.46	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|89DMG|aERES
15	14541 42752	   	220.46	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|89DMG|aDUST
16	14541 42748	 * 	220.32	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1SELL	1MBVNT|2LHND|3VULN|4RCR|5aASPD|6BEXP|7BASARM|8DMG|9SELL
17	21112 34236	   	220.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MLV|2RCR|3VULN|4AEMAG|56BEXP|7CGEN|8ASPD|9CDMG|aBASARM
18	21143 64322	   	220.09	ACR|2VULN|1BASARM|1ASPD|1BEXP|1AART	1MLV|2RCR|36VULN|4BEXP|5ASPD|7CGEN|8BASARM|9ERES|aAART
