0	Index      	 *	Score 	Summary	Detail	
1	12111 11324	 * 	258.19	ACR|3ASPD|3DMG|3BEXP|1VULN|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aVULN
2	12131 31234	 * 	255.36	ACR|1BASARM|3BEXP|2ASPD|1DMG|1AART	128BEXP|3RCR|45ASPD|6AART|7AME|9DMG|aBASARM
3	12131 21234	   	253.46	ACR|1BASARM|3BEXP|2ASPD|1DMG|1AART	126BEXP|3RCR|45ASPD|7CGEN|8AART|9DMG|aBASARM
4	12111 11614	 * 	252.31	ACR|3ASPD|3DMG|3BEXP|1AART	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8RMIN|aAART
5	12161 11614	   	252.11	ACR|3ASPD|3DMG|3BEXP|1AART	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8RMIN|aAART
6	12111 11611	   	251.31	ACR|3ASPD|3DMG|3BEXP|1CDMG	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8RMIN|aCDMG
7	12161 11611	   	251.11	ACR|3ASPD|3DMG|3BEXP|1CDMG	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8RMIN|aCDMG
8	13111 11416	 * 	243.03	ACR|1BASARM|2ASPD|2DMG|2BEXP	17BEXP|27AEFBLL|3RCR|4CGEN|59ASPD|67DMG|7BPWR|8TLV|aBASARM
9	12131 36441	 * 	242.74	ACR|3ASPD|3BEXP|1DMG|2CDMG|1AART	12aBEXP|3RCR|45aASPD|6AART|7DMG|8ERES|9aCDMG|aBPWR
10	12111 11231	 * 	242.47	ACR|3BEXP|2ASPD|2DMG|1VULN|1AART	127BEXP|3RCR|4CGEN|57ASPD|67DMG|7BPWR|8TLV|9AART|aVULN
11	12161 11431	   	242.47	ACR|3BEXP|2ASPD|2DMG|1VULN|1AART	127BEXP|3RCR|4AME|57ASPD|67DMG|7BPWR|8CGEN|9AART|aVULN
12	12161 11531	   	242.37	ACR|3BEXP|2ASPD|2DMG|1VULN|1AART	127BEXP|3RCR|4AME|57ASPD|67DMG|7BPWR|8ERES|9AART|aVULN
13	12131 25214	   	241.70	ACR|1BASARM|3BEXP|2ASPD|1AART	126BEXP|3RCR|45ASPD|7AAC|8AART|9MLV|aBASARM
14	12131 25254	   	241.60	ACR|1BASARM|3BEXP|2ASPD|1AART	126BEXP|3RCR|45ASPD|7AAC|8AART|9TLV|aBASARM
15	12131 33454	 * 	241.09	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|458ASPD|6AART|7LHND|9BASARM|aRCVC
16	12114 11434	 * 	240.90	ACR|1BASARM|3BEXP|2DMG|1AART	127BEXP|3RCR|478CGEN|5AAC|67DMG|7BPWR|9AART|aBASARM
17	12164 11234	   	240.60	ACR|1BASARM|3BEXP|2DMG|1AART	127BEXP|3RCR|47AME|5AAC|67DMG|7BPWR|8AEMAG|9AART|aBASARM
18	12133 31234	   	240.58	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	128BEXP|3RCR|4ASPD|5RCVC|6AART|7AME|9DMG|aBASARM
19	12131 33451	   	239.79	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|458ASPD|6AART|7LHND|9BASARM|aZMB
20	12131 33456	   	239.79	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|458ASPD|6AART|7LHND|9BASARM|aCGEN
