0	Index      	 *	Score 	Summary	Detail	
1	34534 14444	 * 	268.55	ACR|3DMG|2VULN|2ASPD|1AART|1CDMG	1RCR|2AART|38aDMG|4LEGI|58ASPD|6MBVNT|78VULN|8BPWR|9CDMG
2	34534 14441	   	264.55	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP|1CDMG	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78VULN|8BPWR|9CDMG|aBEXP
3	34534 14442	   	250.90	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78VULN|8BPWR|9CDMG|aLIT
4	34534 14443	   	250.80	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78VULN|8BPWR|9CDMG|aERES
5	34534 14431	   	248.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78VULN|8BPWR|9CGEN|aBEXP
6	34534 14413	 * 	247.26	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78aVULN|8BPWR|9VENTOX
7	34534 14432	   	247.26	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|2AART|38DMG|4LEGI|58ASPD|6MBVNT|78aVULN|8BPWR|9CGEN
8	34524 23213	 * 	246.74	ACR|1BASARM|1AART|1ASPD|1DMG|1VULN|1BEXP	1RCR|2AART|3DMG|4LWND|5ASPD|6BEXP|7RCVC|8FEWX|9BASARM|aVULN
9	34524 23313	   	246.74	ACR|1BASARM|1AART|1ASPD|1DMG|1VULN|1BEXP	1RCR|2AART|3DMG|4LWND|5ASPD|6BEXP|7RCVC|8LHND|9BASARM|aVULN
10	34524 22213	   	244.54	ACR|1BASARM|1AART|1ASPD|1DMG|1VULN|1BEXP	1RCR|2AART|3DMG|47LWND|5ASPD|6BEXP|8FEWX|9BASARM|aVULN
11	34524 22313	   	244.54	ACR|1BASARM|1AART|1ASPD|1DMG|1VULN|1BEXP	1RCR|2AART|3DMG|47LWND|5ASPD|6BEXP|8LHND|9BASARM|aVULN
12	34534 22313	   	244.34	ACR|1BASARM|1AART|1ASPD|1DMG|1VULN|1BEXP	1RCR|2AART|3DMG|4LEGI|5ASPD|6BEXP|7LWND|8AEFBLL|9BASARM|aVULN
13	31224 18611	 * 	242.26	ACR|1BASARM|2ASPD|1AART|1DMG|1BEXP	1RCR|2ZMB|3AART|4LWND|57ASPD|6MBVNT|8BEXP|9BASARM|aDMG
14	31234 18611	   	242.16	ACR|1BASARM|2ASPD|1AART|1DMG|1BEXP	1RCR|2ZMB|3AART|4LEGI|57ASPD|6MBVNT|8BEXP|9BASARM|aDMG
15	31334 18611	   	241.26	ACR|1BASARM|2ASPD|1AART|1DMG|1BEXP	1RCR|2ZMB|3LHND|4AART|57ASPD|6MBVNT|8BEXP|9BASARM|aDMG
16	33464 33213	 * 	240.73	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1RCR|23AEMAG|3BPWR|4DMG|56AART|7VULN|8CDMG|9LIT|aBASARM
17	34633 22511	   	239.32	ACR|1BASARM|1AART|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2AART|3CDMG|4LWND|5AEMAG|6ASPD|7RPLT|8BEXP|9BASARM|aDMG
