0	Index      	 *	Score 	Summary	Detail	
1	14211 72325	 * 	317.78	DCR|2LIT|4VULN|2FLTARM	19LIT|23ZMB|479aVULN|5MBVNT|69FLTARM|8RCR|9BPWR
2	14211 72327	   	308.28	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aDUR
3	12661 12115	 * 	306.76	DCR|3LIT|2VULN|2DMG|1MLV|1CDMG	167LIT|27DMG|3CDMG|4MLV|57BEXP|7BPWR|89VULN|aRCR
4	14211 73321	 * 	304.71	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aCGEN
5	14211 73322	   	304.71	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aTLV
6	14211 73323	   	304.71	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aLWND
7	14211 73324	   	304.71	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aRMIN
8	14211 73328	   	304.71	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aFEWX
9	14211 73325	   	304.61	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aERES
10	14211 73326	   	304.61	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aDUR
11	14211 73327	   	304.61	DCR|3LIT|2FLTARM|2VULN	179LIT|23ZMB|49VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aBLASTR
12	14211 73311	   	304.46	DCR|3LIT|2FLTARM|2VULN|1SELL	17aLIT|23ZMB|4aVULN|5MBVNT|6aFLTARM|8RCR|9SELL|aBPWR
13	14211 72321	   	298.62	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aRMIN
14	14211 72322	   	298.62	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aLWND
15	14211 72323	   	298.62	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aLHND
16	14211 72324	   	298.62	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aRPLT
17	14211 72326	   	298.52	DCR|2LIT|3VULN|2FLTARM	19LIT|23ZMB|479VULN|5MBVNT|69FLTARM|8RCR|9BPWR|aDUST
18	14211 72311	   	298.38	DCR|2LIT|3VULN|2FLTARM|1SELL	1aLIT|23ZMB|47aVULN|5MBVNT|6aFLTARM|8RCR|9SELL|aBPWR
19	11521 43212	 * 	296.75	ACR|3LIT|2MLV|2VULN|1DMG|1CDMG	169LIT|29FEWX|3RCR|4DMG|56VULN|69BPWR|79MLV|8AART|aCDMG
20	15521 43212	   	296.75	ACR|3LIT|2MLV|2VULN|1DMG|1CDMG	169LIT|29BEXP|3RCR|4DMG|56VULN|69BPWR|79MLV|8AART|aCDMG
21	12233 66213	 * 	295.52	DCR|2LIT|1VULN|1MLV|2ASPD|2CDMG|1DMG	19LIT|2DMG|39ZMB|45CDMG|6RCR|7MLV|89ASPD|9BPWR|aVULN
22	42361 62331	 * 	295.10	DCR|2LIT|2FLTARM|2VULN|3DUR|2ASPD|1SELL	1SELL|28aDUR|3RCVC|4aFLTARM|58VULN|68LIT|7RCR|8aBPWR|9aASPD
23	11651 62221	   	292.07	DCR|2LIT|4VULN|1FLTARM	19LIT|2FEWX|3579VULN|4ZMB|6FLTARM|89LWND|9BPWR|aRCR
24	12234 41362	 * 	290.06	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	19LIT|2DMG|3ZMB|4CDMG|5FLTARM|6MBVNT|7MLV|8VULN|aRCR
25	14211 74714	 * 	289.65	DCR|2LIT|2VULN|1FLTARM|1MLV	1aLIT|23ZMB|4aVULN|5MBVNT|6FLTARM|7MLV|8RCR|9aFEWX|aBPWR
26	14211 74724	   	289.65	DCR|2LIT|2VULN|1FLTARM|1MLV	1aLIT|23ZMB|4aVULN|5MBVNT|6FLTARM|7MLV|8RCR|9aLWND|aBPWR
27	42361 62321	 * 	288.31	DCR|3LIT|3VULN|1FLTARM|3DUR|1SELL	1SELL|28aDUR|3RCVC|4FLTARM|58aVULN|68aLIT|7RCR|8aBPWR|9RMIN
28	12663 12421	 * 	287.83	DCR|2LIT|2VULN|1MLV|3CDMG|1DMG	1aLIT|2DMG|35aCDMG|4MLV|69VULN|7aLWND|8RCR|aBPWR
